experiment,processes,repetitions,stage,category,time_avg_s,time_max_s,time_p50_s,time_p95_s,time_p99_s,max_over_avg,max_percent_of_total,cache_valid_repetitions,cache_miss_rate_percent,ipc,io_valid_repetitions,minor_faults_total,major_faults_total,logical_read_total_bytes,logical_write_total_bytes,physical_read_total_bytes,physical_write_total_bytes,send_messages_total,receive_messages_total,send_total_bytes,receive_total_bytes,send_max_rank_bytes,receive_max_rank_bytes,send_messages_avg,send_messages_p95,send_messages_p99,send_messages_max,receive_messages_avg,receive_messages_p95,receive_messages_p99,receive_messages_max,send_bytes_avg,send_bytes_p95,send_bytes_p99,receive_bytes_avg,receive_bytes_p95,receive_bytes_p99
full_io,8192,6,geometry_load,io,1.767920072205,2.4087746379999997,1.7629912425,1.8012034967,1.895262901405,1.362453107345,3.2015100312499998,0,nan,nan,6,42308115.5,0.0,8479474637.5,0.0,64182272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full_io,8192,6,local_volume_mesh,compute,5.373098495395,8.1243125225,5.28493561275,6.189001691574999,6.5340891192,1.511909646795,10.43207138155,0,nan,nan,6,5988475.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full_io,8192,6,metis_partition,compute,2.45500764439,2.6401368014999997,2.45057398225,2.5088249154,2.549932309965,1.0754088133800002,3.4865386153099998,0,nan,nan,6,20929498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full_io,8192,6,part_face_create,compute,0.0298926004357,0.04897423949995,0.029624465250000002,0.03182150260005,0.032550153165,1.6387269568849998,0.06409299771605,0,nan,nan,6,1341303.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full_io,8192,6,partition_result_io,io,5.710962574470001,14.018234641,5.024742452,10.6042589959,12.24548415025,2.45027747542,18.1868895252,0,nan,nan,6,234974783.0,5.0,943103.5,209474304329.0,14241792.0,209604925440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full_io,8192,6,quality_rank_io,io,0.01114948807035,0.160121503,0.009368933749980001,0.02335102737505,0.03321866504505,14.61720998425,0.2067345703805,0,nan,nan,6,50609.5,0.0,960419.5,7081580.0,223232.0,33554432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full_io,8192,6,quality_reduce,communication,0.000198186600891,0.02359482650005,4.11952500201e-05,0.0002729307749945,0.0012728005350250001,95.29192021085001,0.0273372776877,0,nan,nan,6,25059.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full_io,8192,6,quality_reduce_pre_collective_wait,synchronization,6.299225003755,9.279174179,7.93596946375,8.874312023275,9.12751158923,1.448705464605,11.792942139400001,0,nan,nan,6,161434.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full_io,8192,6,quality_summary_io,io,1.421985656745e-06,0.011648906500055,0.0,0.0,0.0,8192.0,0.0132352247358,0,nan,nan,6,1.0,0.0,117.0,208.0,0.0,4096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full_io,8192,6,quality_surface_compute,postprocess,0.030983187392550002,0.513660867,0.0290285355,0.036748015324999994,0.041473965769999996,16.4269912981,0.6480545117115,0,nan,nan,6,106184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full_io,8192,6,quality_volume_compute,postprocess,1.4574827962049999,3.556296575,1.38905538075,1.8287851180499999,2.04454394077,2.4406588736300003,4.548315749385001,0,nan,nan,6,1641450.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full_io,8192,6,refined_surface_save,io,0.0146553520481,0.09512077099995,0.0135785815,0.02456083775,0.03736611929,6.42247396766,0.12324193859650001,0,nan,nan,6,208776.0,0.0,861254.0,574900946.0,4096.0,582516736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full_io,8192,6,refined_volume_save,io,0.9492376958665001,2.1584260765,0.91798127575,1.1627500253249998,1.2850862911,2.274983711885,2.8538519927,0,nan,nan,6,482985.5,0.0,902206.5,141238638131.0,0.0,141257033728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full_io,8192,6,submesh_initialization,setup,0.0002238200847785,0.02106035749995,0.00016144199995,0.0003412017250215,0.00038358285498699997,84.9396434727,0.0239385829215,0,nan,nan,6,40097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full_io,8192,6,surface_refine,compute,0.004260464929385,0.00792688399997,0.004174722000015,0.00506281385001,0.005429616040005,1.8477990375200002,0.00986698630237,0,nan,nan,6,148131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full_io,8192,6,testout_io,io,1.995778442375e-06,0.01634941699995,0.0,0.0,0.0,8192.0,0.02112281868185,0,nan,nan,6,1.0,0.0,234.0,496.0,0.0,8192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full_io,8192,6,vertex_count_allgather,communication,0.0236213462398,0.03311688900005,0.024150036,0.025009742975,0.025716301880050002,1.320623964995,0.0396381999271,0,nan,nan,6,855140.0,0.0,0.0,0.0,0.0,0.0,8192.0,8192.0,32768.0,268435456.0,4.0,32768.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,32768.0,32768.0,32768.0
