experiment,processes,collective,cold_arrival_wait_max_s,cold_aligned_execution_max_s,cold_wait_percent_of_pair,warm_arrival_wait_max_s,warm_aligned_execution_max_s,warm_wait_percent_of_pair
full_io,1024,face_allgatherv,5.056365344,0.850220323,85.60555334446146,0.153413351,0.852970588,15.244018217584054
full_io,1024,volume_size_exchange,23.106846641,0.0109139249998,99.95278986920623,30.153522737,0.0643780989999,99.78695376839941
full_io,1024,vertex_count_allgather,10.564682163,0.0103919969997,99.90173121396151,24.547108641,0.0552883949999,99.77527232440401
full_io,1024,element_count_allgather,0.00452783000037,0.00758841400011,37.36991430835022,0.0387571839997,0.00560114900009,87.37294974516622
full_io,1024,quality_reduce,12.813676232,0.00233423000009,99.98178660974871,11.973319416,0.00385463000021,99.96781686576979
full_io,2048,face_allgatherv,0.198285551,1.71890875,10.34248593877914,0.198548102,1.695383152,10.483384842013912
full_io,2048,volume_size_exchange,16.510037369,0.0163280259999,99.90120013923425,28.51218795,0.0520106399999,99.81791668393558
full_io,2048,vertex_count_allgather,12.668382105,0.024819496,99.80446622703886,12.28699406,0.0187623399997,99.8475320054304
full_io,2048,element_count_allgather,0.0017339799997,0.00717991500005,19.45255132294728,0.00795367199999,0.0184741839998,30.095789836501307
full_io,2048,quality_reduce,7.496068124,0.0312346340002,99.58504878833253,8.67149452,0.017082675,99.80338927057207
full_io,4096,face_allgatherv,4.166804387,4.067387645,50.603682435469345,0.209873861,4.067407826,4.90671123292797
full_io,4096,volume_size_exchange,19.078733589,0.0352794669998,99.81542616458177,20.614550435,0.0434514829999,99.78966270226725
full_io,4096,vertex_count_allgather,20.657320136,1.189673291,94.5545216783481,9.480596068,0.0192705499999,99.79714925719708
full_io,4096,element_count_allgather,0.00888589000033,0.00290116199994,75.38687366549715,0.00427390799996,0.0308994920001,12.150966355122648
full_io,4096,quality_reduce,15.674993266,0.0143426579998,99.90858339658685,10.201701003,0.0127087199999,99.87558047557772
full_io,8192,face_allgatherv,3.054006556,8.020102268,27.57789908458642,0.267957901,8.010456204,3.2368264935932434
full_io,8192,volume_size_exchange,12.395692554,3.419583546,78.3779712451558,12.01367998,0.085236381,99.29550400666665
full_io,8192,vertex_count_allgather,10.744488752,0.032678842,99.69677708252219,13.66285685,0.0335549360001,99.75500929349687
full_io,8192,element_count_allgather,0.010727991,0.00798621000001,57.32540224396578,0.012559796,0.00807525899995,60.86630735915381
full_io,8192,quality_reduce,9.273984903,0.026721096,99.71269819728876,9.284363455,0.0204685570001,99.78002228332868
