algorithm,timing,ranks,repeat,stage,mean_seconds,max_seconds,calls_sum
balance,natural,2048,1,adjacency_build,0.011101588015624109,0.020675967000215678,2048
balance,natural,2048,1,element_count_allgather,0.01963463583984537,0.02053274199988664,2048
balance,natural,2048,1,face_allgatherv,0.8316301164067356,1.524214430000029,2048
balance,natural,2048,1,face_collective_setup,0.00018151617089745553,0.0008029289999740286,2048
balance,natural,2048,1,face_global_merge,0.0894145237480487,0.11608165600000575,2048
balance,natural,2048,1,face_local_extract,0.17349072818994216,0.18660079200003565,2048
balance,natural,2048,1,face_map_setup,0.007970742303707534,0.009763930999952208,2048
balance,natural,2048,1,face_pipeline_total,1.1073445426274395,1.7980612720000408,2048
balance,natural,2048,1,local_volume_mesh,6.468956782024412,9.125869512999998,2048
balance,natural,2048,1,metis_partition,2.3079182255786153,2.3085834159999195,2048
balance,natural,2048,1,metis_seed,0.0008221389350585584,1.6837405389999276,1
balance,natural,2048,1,part_face_create,0.025327839031248356,0.036232606999874406,2048
balance,natural,2048,1,partition_cost_balance,0.00011563392382818449,0.23681827600012184,1
balance,natural,2048,1,partition_cost_setup,0.00018387430029298546,0.3765745670000342,1
balance,natural,2048,1,partition_distribution,2.3066698246279307,2.3084874659998604,2048
balance,natural,2048,1,submesh_initialization,0.00021969788915610078,0.0005240460000095482,2048
balance,natural,2048,1,surface_refine,0.0072140311630823906,0.009277055999973527,2048
balance,natural,2048,1,vertex_count_allgather,2.789471833542968,5.376979970999855,2048
balance,natural,2048,1,vertex_exchange,0.022341531477050314,0.035991476999925,2048
balance,natural,2048,1,vertex_exchange_prepare,0.00030021223291321064,0.0009553140000662097,2048
balance,natural,2048,1,vertex_exchange_unpack,0.006774875775388822,0.021667882999963695,2048
balance,natural,2048,1,vertex_numbering_local,0.03897568840771426,0.07735258399998202,2048
balance,natural,2048,1,volume_exchange_pack,0.5165643519379897,0.7625244890000431,2048
balance,natural,2048,1,volume_exchange_unpack,0.5530090323027337,0.9199131590000889,2048
balance,natural,2048,1,volume_payload_exchange,0.03853675296484538,0.0772631579998233,2048
balance,natural,2048,1,volume_payload_prepare,0.004811182814942194,0.035863720999941506,2048
balance,natural,2048,1,volume_refine,1.600368407984375,2.1519075720000274,2048
balance,natural,2048,1,volume_size_exchange,0.2593354473769577,0.5111807539999518,2048
balance,natural,2048,2,adjacency_build,0.011078983226562311,0.02293571800009886,2048
balance,natural,2048,2,element_count_allgather,0.009859700322264464,0.013846224000189977,2048
balance,natural,2048,2,face_allgatherv,0.8390328036025452,1.529279399999723,2048
balance,natural,2048,2,face_collective_setup,0.00018345270654385182,0.001576576999923418,2048
balance,natural,2048,2,face_global_merge,0.08941550431835199,0.11328301599996848,2048
balance,natural,2048,2,face_local_extract,0.17348166188378755,0.18708824499981347,2048
balance,natural,2048,2,face_map_setup,0.008009084282226242,0.010251973000322323,2048
balance,natural,2048,2,face_pipeline_total,1.1147852579711919,1.7965061290001358,2048
balance,natural,2048,2,local_volume_mesh,6.468406492539061,9.083990116999757,2048
balance,natural,2048,2,metis_partition,2.3115049189316483,2.313026714999978,2048
balance,natural,2048,2,metis_seed,0.0008204127919921866,1.6802053979999982,1
balance,natural,2048,2,part_face_create,0.02533822631542071,0.040673950999917,2048
balance,natural,2048,2,partition_cost_balance,0.00011322083447251607,0.23187626899971292,1
balance,natural,2048,2,partition_cost_setup,0.0001891959218749406,0.38747324799987837,1
balance,natural,2048,2,partition_distribution,2.3102298879780228,2.3129327850001573,2048
balance,natural,2048,2,submesh_initialization,0.00023907776904730227,0.021312111000042933,2048
balance,natural,2048,2,surface_refine,0.007223765222164058,0.009803181999814115,2048
balance,natural,2048,2,vertex_count_allgather,2.8372876510419998,5.501254752000023,2048
balance,natural,2048,2,vertex_exchange,0.02238296224024161,0.04541311000002679,2048
balance,natural,2048,2,vertex_exchange_prepare,0.0002989326640570056,0.0009822349998103164,2048
balance,natural,2048,2,vertex_exchange_unpack,0.006772419707514521,0.02229271099986363,2048
balance,natural,2048,2,vertex_numbering_local,0.03889629269434147,0.07527799400031654,2048
balance,natural,2048,2,volume_exchange_pack,0.5157389937719723,0.8126693909998721,2048
balance,natural,2048,2,volume_exchange_unpack,0.5532028346743216,0.9490060190000804,2048
balance,natural,2048,2,volume_payload_exchange,0.03822415271436186,0.137126384000112,2048
balance,natural,2048,2,volume_payload_prepare,0.004811764858396517,0.0981325249999827,2048
balance,natural,2048,2,volume_refine,1.6014539400683627,2.2025505530000373,2048
balance,natural,2048,2,volume_size_exchange,0.304874085923339,0.5382701030002863,2048
balance,natural,2048,3,adjacency_build,0.0111993369228498,0.02303509800003667,2048
balance,natural,2048,3,element_count_allgather,0.01098432497558477,0.012002717000086705,2048
balance,natural,2048,3,face_allgatherv,0.8484101592045912,1.551758714999778,2048
balance,natural,2048,3,face_collective_setup,0.0001799555952213261,0.001953401999799098,2048
balance,natural,2048,3,face_global_merge,0.0893674200297867,0.11542545000020255,2048
balance,natural,2048,3,face_local_extract,0.17355014756933707,0.19372296300025482,2048
