algorithm,timing,ranks,partition_seed,repeat,core_seconds,face_pipeline_seconds,face_exchange_seconds,vertex_wait_seconds,compute_imbalance,element_imbalance,volume_elements_sum,face_payload_receive_bytes,predicted_actual_correlation,compute_wait_correlation,cut_before,cut_after,partition_moves,compute_max_seconds,compute_mean_seconds,vertex_wait_mean_seconds,face_completion_spread,vertex_arrival_spread,post_face_compute_max_seconds,face_completion_wait_correlation,partition_adopted,partition_proposed_moves,closure_total_before,closure_total_after,closure_max_before,closure_max_after,candidate_closure_total,candidate_closure_max,seed_max_seconds,candidate_max_seconds,partition_rejection_flags,seed_lower_seconds,candidate_upper_seconds,net_gain_lower_seconds,correction_seconds,search_timed_out,search_skipped,metis_partition_seconds,partition_cost_setup_seconds,partition_cost_balance_seconds,phase_0_max_seconds,phase_0_prediction_wape,phase_1_max_seconds,phase_1_prediction_wape,phase_2_max_seconds,phase_2_prediction_wape,phase_3_max_seconds,phase_3_prediction_wape
sparse,natural,1024,-1,1,20.34315652799978,0.5325731879997875,0.260042830000657,,1.3643572636769519,1.5627617242158485,2413166080,21260960,0.6466896697930383,,10873,10873,0,14.570388162001109,10.67930559678615,,0.012490439000430342,7.25953744699973,14.571259972999997,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7830608109998138,0.38703222799995274,0.03574087299966777,0.0271508470000299,,11.159188802000244,,4.17802824499995,,0.10688432999995712,
sparse,natural,1024,-1,2,20.31682861399986,0.5654234819999147,0.26872670600050697,,1.3545821180274653,1.5627617242158485,2413166080,21260960,0.6487314841604767,,10873,10873,0,14.474906631999602,10.685883446533222,,0.015014138000424282,7.264435099999901,14.475648122000166,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7594398979999823,0.39871365599992714,0.03683300700004111,0.02763480499970683,,10.925202635999995,,4.239939809000134,,0.11340723699959199,
sparse,natural,1024,-1,3,20.117884805999893,0.4326645040000585,0.23025676099950942,,1.3524716686548632,1.5627617242158485,2413166080,21260960,0.6529045295163183,,10873,10873,0,14.446139771000162,10.68128827080567,,0.015637329000128375,7.1933010970001305,14.446969660999912,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6902148809999744,0.3888648510001076,0.03662210399988908,0.027002976999938255,,10.883822886000416,,4.218202152000231,,0.10896994899985657,
sparse,natural,1024,17,1,20.023006411000097,0.4574055969997062,0.2273930679998557,,1.3486797194194764,1.5627617242158485,2413166080,21260960,0.6506896100532068,,10873,10873,0,14.413702474999354,10.687268643146474,,0.014336068000375235,7.177708045000145,14.414476505000039,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7226514240001052,0.3939225570002236,0.036310339999999997,0.03785037099987676,,10.910665617000177,,4.200278568000158,,0.10922056600020369,
sparse,natural,1024,17,2,20.174939752999762,0.5202994070000386,0.2616374569997788,,1.3553016816073904,1.5627617242158485,2413166080,21260960,0.6492268253488009,,10873,10873,0,14.477014940000117,10.681765644111318,,0.02076227599991398,7.229749428000105,14.4778385110003,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.729456773000038,0.3922512540002572,0.035955035999904794,0.039898032999644784,,10.992822117999822,,4.2711482670001715,,0.11369858999978533,
sparse,natural,1024,17,3,20.26075863599999,0.4657701900000575,0.22604008300049827,,1.359956756965542,1.5627617242158485,2413166080,21260960,0.64735952704364,,10873,10873,0,14.531678248999924,10.685397292649448,,0.0036787299995921785,7.18887576599991,14.53293126699964,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.746407771000122,0.3983074909997413,0.036807527000291884,0.02813116800007265,,11.061113793000004,,4.243374373000279,,0.11279584199974124,
sparse,natural,1024,41,1,20.209226712000145,0.49055529500037665,0.22955487899980653,,1.3559786382266388,1.5627617242158485,2413166080,21260960,0.6470477205788189,,10873,10873,0,14.488120003999484,10.68462260065334,,0.01352770200037412,7.233421819000341,14.488918453000224,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7574585739998838,0.39468918600005054,0.03659342400032983,0.027840756999466976,,10.949119869999777,,4.2099658319998525,,0.14820781700018415,
sparse,natural,1024,41,2,20.216727542999706,0.5066330609997749,0.2649415840000984,,1.3457852713750327,1.5627617242158485,2413166080,21260960,0.6507588526208467,,10873,10873,0,14.378264887000114,10.683922014029305,,0.026433542000177113,7.272653143000298,14.379260081000211,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7427968619999774,0.38916839600005915,0.03629940100017848,0.033316955999907805,,10.801031996999882,,4.2178151319999415,,0.12196145300049466,
sparse,natural,1024,41,3,20.276917505000256,0.5290240989997983,0.2664088360002097,,1.3518217100184327,1.5627617242158485,2413166080,21260960,0.6507488928470878,,10873,10873,0,14.444590154999787,10.685277539153317,,0.013940266999725281,7.1738662540001314,14.445430405000025,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8329500830000143,0.40613506999989113,0.03671470600011162,0.028265855999961786,,10.885038320999683,,4.210117568999976,,0.10784590499997648,
sparse,natural,2048,-1,1,14.92216431900033,0.532458773000144,0.318490099000428,,1.2942319839308951,1.55136143553302,2552900608,28109144,0.4013542055586761,,14861,14861,0,10.388479056000506,8.026751915408694,,0.022088250999786396,5.174254517000463,10.389173164000113,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1269089819998044,0.39074411199999304,0.037788186999932805,0.023860257000251295,,8.752421436000077,,2.3221795019999263,,0.07963213199991515,
sparse,natural,2048,-1,2,15.042086959000244,0.5232580729998517,0.3211803270000928,,1.3056002000432654,1.55136143553302,2552900608,28109144,0.402116286342535,,14861,14861,0,10.47647392700037,8.024258824909186,,0.029122197999640775,5.244932667000285,10.477234854000017,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.177650296000138,0.396946148999632,0.03764992500009612,0.020729538000523462,,8.799479128999792,,2.2516249410000455,,0.06925254599946129,
sparse,natural,2048,-1,3,14.928996631000246,0.52189139300026,0.28953427800024656,,1.3098955604210638,1.55136143553302,2552900608,28109144,0.4020602428283778,,14861,14861,0,10.515403733999847,8.027665755749021,,0.017045382000105747,5.284891271000106,10.51609098200015,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11065143299993,0.38528427499977624,0.03776878400003625,0.02269348500021806,,8.850224516000253,,2.3387019179999697,,0.06912599799989039,
sparse,natural,2048,17,1,15.015613741999914,0.540870785000152,0.3388311899998371,,1.3079577089611318,1.55136143553302,2552900608,28109144,0.4003522155321866,,14861,14861,0,10.495408448000035,8.024272020489253,,0.01968157000010251,5.258716052999716,10.496113015999981,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.109832290999748,0.3887260109995623,0.03760062300034406,0.02079401399987546,,8.827242022000064,,2.2758603370002675,,0.0648783600004208,
sparse,natural,2048,17,2,14.934798090000186,0.4914537780000501,0.28863020600010714,,1.3071276436070567,1.55136143553302,2552900608,28109144,0.39931130651314467,,14861,14861,0,10.48874756100031,8.024271854626459,,0.0033377320005456568,5.2952914299999065,10.489439809000032,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1082496579997496,0.3918127850001838,0.038257094000073266,0.04647808300023826,,8.826555608000035,,2.3566668920002485,,0.06916242099987358,
sparse,natural,2048,17,3,15.002147908000097,0.5351188580002599,0.29024944000002506,,1.3066420122669404,1.55136143553302,2552900608,28109144,0.3999598732066982,,14861,14861,0,10.483020717999807,8.02287131408888,,0.023869468000157212,5.2964898499999435,10.483722224999838,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1282656719999977,0.3931062900001052,0.03776042400022561,0.021461960999658913,,8.817968212999858,,2.3525416779998523,,0.06507494500056055,
sparse,natural,2048,41,1,14.912461942999926,0.5551815050002915,0.3513307920002262,,1.298210696475243,1.55136143553302,2552900608,28109144,0.4012781271106691,,14861,14861,0,10.419103922000431,8.025741853991207,,0.020071936000476853,5.254380298999877,10.419811449999997,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0994637940002576,0.386668304000068,0.03748606199997084,0.02286492899975201,,8.781468468000185,,2.317893845999606,,0.07433474799972828,
sparse,natural,2048,41,2,15.203668463999747,0.5864497940001456,0.3452836500000558,,1.3134035445789627,1.55136143553302,2552900608,28109144,0.4020587588090463,,14861,14861,0,10.541295778999938,8.025938275032718,,0.03251005999982226,5.39956399599987,10.542135608999615,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.123442834999878,0.3884961240000848,0.03783328800000163,0.03548390199966889,,8.862598525000067,,2.2954441130000305,,0.06996084799993696,
sparse,natural,2048,41,3,14.942033169000297,0.5641046300002017,0.30194393099964145,,1.3051439369459077,1.55136143553302,2552900608,28109144,0.4007833038032649,,14861,14861,0,10.47420264199991,8.025323755868635,,0.03571482899997136,5.196843646999696,10.474877767999715,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1467339679998076,0.38775970500000767,0.037928285999896616,0.034138044999508566,,8.82218900099997,,2.3300100840001505,,0.06572611100000358,
sparse,natural,4096,-1,1,14.344654177999928,0.763177996000195,0.5401062460000503,,1.5261877820011984,1.6539991294710623,2799585280,40708528,0.18490286439257686,,20315,20315,0,9.839287498999965,6.446970428565677,,0.0018317199996999989,5.804178344999855,9.840322088999983,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.527613411999937,0.39818586800038247,0.03925815699994928,0.020946594999713852,,9.009356952999951,,1.2845132160000503,,0.039894050000384595,
sparse,natural,4096,-1,2,14.344900134999989,0.8258321240000441,0.5517122940000263,,1.5223001862683663,1.6539991294710623,2799585280,40708528,0.18615224476131756,,20315,20315,0,9.817573408000499,6.44917047015966,,0.003414803999930882,5.586389530999895,9.818201855000098,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.530719885000053,0.3967892529999517,0.03916227499985325,0.020813079999697948,,8.985302895000132,,1.2485628389999874,,0.042932683000344696,
sparse,natural,4096,-1,3,14.476224036000076,0.7726086349998695,0.5404615549996379,,1.5361742915997303,1.6539991294710623,2799585280,40708528,0.18398217508466824,,20315,20315,0,9.906796144000054,6.449005297233158,,0.04068185000005542,5.8123083880000195,9.907836577000126,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.512602006999714,0.3946281679995991,0.03914107599985073,0.039329160999841406,,9.063101103999998,,1.2467525340002794,,0.042353678999916156,
sparse,natural,4096,17,1,14.444150954999714,0.8103380160000597,0.5532216229998994,,1.5412917003457378,1.6539991294710623,2799585280,40708528,0.18408295561815743,,20315,20315,0,9.937517769999886,6.447525648630128,,0.026615966000008484,5.821270927000114,9.938561339999978,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.531073490000381,0.39919723899993187,0.039201435999984824,0.02762811499997042,,9.10725654099997,,1.2917513799998233,,0.04045387399992251,
sparse,natural,4096,17,2,14.348258075000103,0.8300962819998858,0.5526391859998512,,1.51882385380414,1.6539991294710623,2799585280,40708528,0.18733822270440922,,20315,20315,0,9.793858827999884,6.448317758158446,,0.048534055999880366,5.613374544999715,9.7949369199996,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.505128569000135,0.3968805740000789,0.03932813699975668,0.021495615000276302,,8.963383758999953,,1.2516499209996255,,0.03804060299989942,
sparse,natural,4096,17,3,14.27039080700024,0.8166817739997896,0.5325769979999677,,1.5153168401869892,1.6539991294710623,2799585280,40708528,0.18639513218424614,,20315,20315,0,9.771308379999482,6.448359921080074,,0.0518464730002961,5.667231810999965,9.771934647999842,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5479783250002583,0.39698579500009146,0.039123195000229316,0.025108045000251877,,8.902122038000016,,1.2456577590000961,,0.04092923999996856,
sparse,natural,4096,41,1,14.257440398000199,0.7836256059999869,0.5573090359994239,,1.5204900709823344,1.6539991294710623,2799585280,40708528,0.18507498442062312,,20315,20315,0,9.806266893000156,6.449411989033692,,0.046018676000130654,5.728057977999924,9.807372382999802,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4977347919998465,0.3977633029999197,0.03903385400008119,0.024435311000161164,,8.972502889000225,,1.231325280999954,,0.05256605499971556,
