rank,host,stage,category,time_s,calls,cache_references,cache_misses,cache_miss_rate_percent,instructions,cycles,ipc,minor_faults,major_faults,rchar_bytes,wchar_bytes,physical_read_bytes,physical_write_bytes,voluntary_context_switches,involuntary_context_switches,send_messages,receive_messages,send_bytes,receive_bytes
0,cn2624,geometry_load,io,2.039936904,1,0,0,0,0,0,0,6922,0,1035098,0,10432512,0,201,3,0,0,0,0
0,cn2624,coarse_local_size,setup,0.530957082,1,0,0,0,0,0,0,8035,0,0,0,0,0,235,30,0,0,0,0
0,cn2624,coarse_edge_mesh,setup,0.0141506160003,1,0,0,0,0,0,0,525,0,0,0,0,0,2,0,0,0,0,0
0,cn2624,coarse_surface_mesh,setup,8.616246544,1,0,0,0,0,0,0,14631,0,0,0,0,0,24,18,0,0,0,0
0,cn2624,coarse_volume_mesh,setup,13.301134719,1,0,0,0,0,0,0,28056,0,0,0,0,0,35562,1563170,0,0,0,0
0,cn2624,coarse_mesh_save,io,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,cn2624,submesh_initialization,setup,0.000134821999836,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
0,cn2624,metis_partition,compute,0.127520208,1,0,0,0,0,0,0,273,0,0,0,0,0,0,0,0,0,0,0
0,cn2624,face_map_setup,compute,0.0073176410001,1,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0
0,cn2624,face_local_extract,compute,0.163816731,1,0,0,0,0,0,0,835,0,0,0,0,0,0,0,0,0,0,0
0,cn2624,face_pre_collective_wait,synchronization,0.0001383419999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,cn2624,face_collective_setup,compute,0.00295392099997,1,0,0,0,0,0,0,16,0,0,0,0,0,3,0,0,0,0,0
0,cn2624,face_allgatherv,communication,0.0562145800004,1,0,0,0,0,0,0,1146,0,0,0,0,0,1,1,1,1,607384,4859624
0,cn2624,face_global_merge,compute,0.079806106,1,0,0,0,0,0,0,358,0,0,0,0,0,0,0,0,0,0,0
0,cn2624,part_face_create,compute,0.0205763250001,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
0,cn2624,surface_refine,compute,0.0671356100002,1,0,0,0,0,0,0,3878,0,0,0,0,0,0,1,0,0,0,0
0,cn2624,refined_surface_save,io,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,cn2624,local_volume_mesh,compute,59.909985048,1,0,0,0,0,0,0,67467,0,0,0,0,0,52186,4354123,0,0,0,0
0,cn2624,volume_refine,compute,6.554198593,1,0,0,0,0,0,0,99226,0,0,0,0,0,0,11,0,0,0,0
0,cn2624,refined_volume_save,io,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,cn2624,adjacency_build,compute,0.00350514799993,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
0,cn2624,vertex_numbering_local,compute,0.0618225769999,1,0,0,0,0,0,0,1247,0,0,0,0,0,0,0,0,0,0,0
0,cn2624,vertex_count_allgather,communication,19.617215951,1,0,0,0,0,0,0,59,0,0,0,0,0,0,32,1,1,4,32
0,cn2624,element_count_allgather,communication,0.00126665700009,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,4,32
0,cn2624,vertex_exchange_prepare,compute,1.23410000015e-05,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
0,cn2624,vertex_exchange,communication,0.0111582940003,1,0,0,0,0,0,0,173,0,0,0,0,0,2,0,2,0,346236,0
0,cn2624,vertex_exchange_unpack,compute,6.60000296193e-07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
