实验结果总览 / Experiment result overview
========================================================
状态: 完整，可分析
有效正式运行: 160 / 160
异常项: 0

优先查看：
1. 本文件：快速判断实验是否完整及主要指标。
2. analysis/summary.csv：论文分析用的重复实验中位数。
3. analysis/issues.txt：仅在异常项不为 0 时查看。
4. repeat_*/run.log.gz：只在排查某次失败时查看。

核心汇总（时间单位 s，通信量单位 GiB）：
algorithm timing ranks repeats core face_exchange vertex_wait imbalance recv_GiB speedup
balance natural 1024 5 20.183 0.737 - 1.306 4.630 1.017
balance natural 2048 5 16.324 1.529 - 1.354 9.264 0.967
balance natural 4096 5 15.671 2.811 - 1.409 18.533 0.979
balance natural 8192 5 18.766 6.389 - 1.441 37.071 0.983
balance split 1024 5 20.318 0.702 6.306 1.298 4.630 1.012
balance split 2048 5 16.379 1.513 5.405 1.354 9.264 0.962
balance split 4096 5 15.878 2.790 6.780 1.408 18.533 0.984
balance split 8192 5 18.864 6.388 12.118 1.440 37.071 0.982
baseline natural 1024 5 20.529 0.717 - 1.340 4.630 1.000
baseline natural 2048 5 15.793 1.527 - 1.301 9.264 1.000
baseline natural 4096 5 15.340 2.762 - 1.482 18.533 1.000
baseline natural 8192 5 18.444 6.358 - 1.518 37.071 1.000
baseline split 1024 5 20.571 0.698 7.239 1.346 4.630 1.000
baseline split 2048 5 15.752 1.518 5.584 1.298 9.264 1.000
baseline split 4096 5 15.624 2.776 6.593 1.484 18.533 1.000
baseline split 8192 5 18.527 6.337 10.960 1.515 37.071 1.000
combined natural 1024 5 20.039 0.235 - 1.313 0.020 1.024
combined natural 2048 5 15.830 0.256 - 1.355 0.027 0.998
combined natural 4096 5 14.082 0.415 - 1.404 0.040 1.089
combined natural 8192 5 12.992 0.337 - 1.438 0.063 1.420
combined split 1024 5 20.022 0.230 6.249 1.305 0.020 1.027
combined split 2048 5 15.986 0.273 5.033 1.362 0.027 0.985
combined split 4096 5 14.193 0.388 5.046 1.411 0.040 1.101
combined split 8192 5 13.052 0.326 6.607 1.438 0.063 1.419
sparse natural 1024 5 20.238 0.264 - 1.350 0.020 1.014
sparse natural 2048 5 14.987 0.257 - 1.295 0.026 1.054
sparse natural 4096 5 14.212 0.347 - 1.482 0.038 1.079
sparse natural 8192 5 13.208 0.344 - 1.515 0.061 1.396
sparse split 1024 5 20.281 0.242 7.287 1.360 0.020 1.014
sparse split 2048 5 14.912 0.267 5.107 1.292 0.026 1.056
sparse split 4096 5 14.322 0.343 5.438 1.474 0.038 1.091
sparse split 8192 5 13.375 0.336 6.024 1.519 0.061 1.385
