algorithm,timing,ranks,successful_repeats,core_median,core_cv,face_pipeline_seconds_median,face_exchange_seconds_median,vertex_wait_seconds_median,compute_imbalance_median,element_imbalance_median,volume_elements_sum_median,face_payload_receive_bytes_median,predicted_actual_correlation_median,compute_wait_correlation_median,cut_before_median,cut_after_median,partition_moves_median,speedup_vs_baseline
balance,natural,4096,5,15.671427387999756,0.007253132313807312,3.0936622279998574,2.811023600000226,,1.4088460346552023,1.8895403639384596,2820190208,19900160280,0.1851507889630818,,20315,21330,2539,0.978865888167056
balance,split,4096,5,15.877506894999897,0.009419526043419967,3.132047744999909,2.7896456210000906,6.7796513450000475,1.4080244262120778,1.8895403639384596,2820190208,19900160280,0.1860421430214751,-0.5150794321969858,20315,21330,2539,0.9840614973324703
baseline,natural,4096,5,15.340225688999908,0.007954101852971398,3.0395096399997783,2.7621505059996707,,1.482000907380506,1.6539991294710623,2799585280,19900160280,0.2270542425770661,,20315,20315,0,1.0
baseline,split,4096,5,15.62444320900022,0.006362834044566467,3.135982736999992,2.7761284729999716,6.593460741999934,1.4838246434818092,1.6539991294710623,2799585280,19900160280,0.22714865378952806,-0.5004801624902576,20315,20315,0,1.0
combined,natural,4096,5,14.081659839000167,0.1381271757039766,0.691248609000013,0.4151162680000198,,1.404410113309641,1.8895403639384596,2820190208,42858200,0.186840848506082,,20315,21330,2539,1.0893762428853773
combined,split,4096,5,14.193031889000011,0.012660400049680063,0.744287247999992,0.3879621599999865,5.045629156999894,1.4105616782377401,1.8895403639384596,2820190208,42858200,0.1851408271312398,-0.9999882519127007,20315,21330,2539,1.1008531039171123
sparse,natural,4096,5,14.212076618000083,0.007215683566339029,0.649116936000155,0.3465751280000404,,1.481813782415243,1.6539991294710623,2799585280,40708528,0.22766354701681574,,20315,20315,0,1.0793796080138625
sparse,split,4096,5,14.321549753,0.00961982153043388,0.7311305690000154,0.342960223000091,5.438416912000093,1.4741184656449897,1.6539991294710623,2799585280,40708528,0.22715146622325666,-0.999987648551729,20315,20315,0,1.0909743343751814
