stage,category,time_min_s,time_avg_s,time_max_s,max_over_avg,max_percent_of_total,cache_references_total,cache_misses_total,cache_miss_rate_percent,instructions_total,cycles_total,ipc,minor_faults_total,major_faults_total,rchar_total_bytes,wchar_total_bytes,physical_read_total_bytes,physical_write_total_bytes,send_messages_total,receive_messages_total,send_total_bytes,receive_total_bytes,send_max_rank_bytes,receive_max_rank_bytes
geometry_load,io,1.716739093,1.741493968,1.764748619,1.0133532768,1.49487639172,0,0,0,0,0,0,45897,0,8280737,0,0,0,0,0,0,0,0,0
coarse_local_size,setup,0.446864769,0.4616463515,0.477424227,1.03417740755,0.404414656056,0,0,0,0,0,0,71088,0,0,0,0,0,0,0,0,0,0,0
coarse_edge_mesh,setup,0.0119874959996,0.012615921875,0.013263973,1.05136771862,0.011235594625,0,0,0,0,0,0,4106,0,0,0,0,0,0,0,0,0,0,0
coarse_surface_mesh,setup,8.10352494,8.2871991835,8.48608743,1.0239994529,7.18836191207,0,0,0,0,0,0,117812,0,0,0,0,0,0,0,0,0,0,0
coarse_volume_mesh,setup,14.194917455,14.4425280898,14.670772182,1.01580361076,12.4272606008,0,0,0,0,0,0,213816,0,0,0,0,0,0,0,0,0,0,0
coarse_mesh_save,io,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
submesh_initialization,setup,0.0001230820003,0.000212608125139,0.000290704000236,1.36732309758,0.00024624841309,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
metis_partition,compute,0.111025888,0.12138010825,0.125293334,1.03223943203,0.106132989719,0,0,0,0,0,0,2780,0,0,0,0,0,0,0,0,0,0,0
face_map_setup,compute,0.00714871399987,0.00769198799998,0.00791216300013,1.02862393963,0.00670220423974,0,0,0,0,0,0,1506,0,0,0,0,0,0,0,0,0,0,0
face_local_extract,compute,0.163917818,0.172200326125,0.180044189,1.04555080151,0.15251113088,0,0,0,0,0,0,5929,0,0,0,0,0,0,0,0,0,0,0
face_pre_collective_wait,synchronization,3.85800003642e-05,0.01102838625,0.0301725339996,2.73589746638,0.0255584326678,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
face_collective_setup,compute,0.000107081000351,0.00012181125004,0.00014806199988,1.21550349276,0.000125419782596,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0
face_allgatherv,communication,0.0621618509999,0.0623491685,0.062474755,1.00201424499,0.0529208723116,0,0,0,0,0,0,7233,0,0,0,0,0,8,8,4859624,38876992,607936,4859624
face_global_merge,compute,0.075381224,0.08139758175,0.0838906939998,1.03062882454,0.071061802568,0,0,0,0,0,0,3185,0,0,0,0,0,0,0,0,0,0,0
