rank,host,total_wall_seconds,coarse_points,coarse_surface_elements,coarse_volume_elements,facemap_entries,physical_boundary_faces,partition_boundary_faces,local_points_before_adjacency,local_surface_elements_before_adjacency,local_volume_elements_before_adjacency,shared_vertices,adjacent_processes,vertex_send_items,vertex_receive_items,volume_send_items,volume_receive_items,local_points_after_adjacency,local_surface_elements_after_adjacency,local_volume_elements_after_adjacency,peak_rss_mib,hardware_cache_available,process_io_available
0,cn3472,37.748474612,8067,12694,26411,16427,12694,3733,70989,38400,366848,11192,10,11235,119,21897,22035,80244,38400,388883,300.69140625,1,1
1,cn3473,37.753407976,8067,12694,26411,16427,12694,3733,89075,46080,463424,6641,5,4033,2657,12922,12956,94585,46080,476380,302.70703125,1,1
2,cn3474,37.716376807,8067,12694,26411,16427,12694,3733,75839,38912,395200,5313,5,3899,1464,10358,10336,80218,38912,405536,283.265625,1,1
3,cn3475,37.704916768,8067,12694,26411,16427,12694,3733,68537,38400,351872,3745,4,1347,2416,7248,7231,71652,38400,359103,267.51171875,1,1
4,cn3476,37.741889332,8067,12694,26411,16427,12694,3733,63229,36864,322560,13039,8,9346,3839,25835,25839,74122,36864,348399,298.9296875,1,1
5,cn3477,37.745920925,8067,12694,26411,16427,12694,3733,49901,29696,253568,10024,7,7148,3036,19959,19874,58446,29696,273442,301.95703125,1,1
6,cn3478,37.759716115,8067,12694,26411,16427,12694,3733,106317,51200,559104,4817,5,1524,3323,9258,9249,110400,51200,568353,356.42578125,1,1
7,cn3479,37.726649741,8067,12694,26411,16427,12694,3733,77295,43008,397632,7801,7,2269,5551,15202,15233,83868,43008,412865,294.25390625,1,1
8,cn3480,37.735907086,8067,12694,26411,16427,12694,3733,64251,35840,330304,10800,8,7984,2947,21235,21164,73275,35840,351468,290.1875,1,1
9,cn3481,37.717889841,8067,12694,26411,16427,12694,3733,81135,39936,425280,3897,3,984,2929,7491,7536,84200,39936,432816,278.7265625,1,1
10,cn3482,37.730727129,8067,12694,26411,16427,12694,3733,67455,35328,350272,9520,6,5327,4258,18648,18646,75438,35328,368918,258.8046875,1,1
11,cn3483,37.71847504,8067,12694,26411,16427,12694,3733,88847,48128,458816,3145,3,684,2463,5924,5888,91495,48128,464704,277.08984375,1,1
12,cn3484,37.746370581,8067,12694,26411,16427,12694,3733,98883,50176,516032,3793,4,3793,33,7245,7207,102102,50176,523239,281.28515625,1,1
13,cn3485,37.73308363,8067,12694,26411,16427,12694,3733,64149,33792,332928,10256,6,3361,6965,20202,20249,72698,33792,353177,289.328125,1,1
