stage,category,time_min_s,time_avg_s,time_max_s,max_over_avg,max_percent_of_total,cache_references_total,cache_misses_total,cache_miss_rate_percent,instructions_total,cycles_total,ipc,minor_faults_total,major_faults_total,rchar_total_bytes,wchar_total_bytes,physical_read_total_bytes,physical_write_total_bytes,send_messages_total,receive_messages_total,send_total_bytes,receive_total_bytes,send_max_rank_bytes,receive_max_rank_bytes
geometry_load,io,1.742790603,1.79982453888,2.039442742,1.13313420167,3.20265464824,0,0,0,0,0,0,391506,0,66246280,0,121929728,0,0,0,0,0,0,0
coarse_local_size,setup,0.456577836,0.481313081516,0.684513925,1.42218018019,1.0749317245,0,0,0,0,0,0,533498,0,0,0,0,0,0,0,0,0,0,0
coarse_edge_mesh,setup,0.0122966390001,0.0129373872031,0.0154313549999,1.19277213843,0.0242327474076,0,0,0,0,0,0,32555,0,0,0,0,0,0,0,0,0,0,0
coarse_surface_mesh,setup,8.059069759,8.30742272094,9.217638456,1.10956656061,14.4749896817,0,0,0,0,0,0,1022544,0,0,0,0,0,0,0,0,0,0,0
coarse_volume_mesh,setup,13.118978842,13.3880645961,13.859076099,1.03518144834,21.7637071023,0,0,0,0,0,0,1708513,0,0,0,0,0,0,0,0,0,0,0
coarse_mesh_save,io,0,0.00433174321875,0.277231566,64,0.435352729059,0,0,0,0,0,0,505,0,112,3191042,0,3194880,0,0,0,0,0,0
submesh_initialization,setup,0.000216462999902,0.000262361203131,0.000337062999961,1.284728824,0.000529309483097,0,0,0,0,0,0,2301,0,0,0,0,0,0,0,0,0,0,0
metis_partition,compute,0.162910181,0.177425887562,0.234239669,1.3202113413,0.367840071837,0,0,0,0,0,0,82592,0,0,0,0,0,0,0,0,0,0,0
face_map_setup,compute,0.00664147500004,0.00753033995313,0.00859202100003,1.14098713385,0.0134925464818,0,0,0,0,0,0,30356,0,0,0,0,0,0,0,0,0,0,0
face_local_extract,compute,0.150876763,0.159660419172,0.171402821,1.07354610422,0.269163742669,0,0,0,0,0,0,49689,0,0,0,0,0,0,0,0,0,0,0
face_pre_collective_wait,synchronization,8.59809999838e-05,0.0690812917812,0.092283176,1.33586349677,0.144917597579,0,0,0,0,0,0,664,0,0,0,0,0,0,0,0,0,0,0
face_collective_setup,compute,9.84609999932e-05,0.000212336312501,0.00259428999993,12.2178348554,0.00407396332148,0,0,0,0,0,0,1012,0,0,0,0,0,0,0,0,0,0,0
face_allgatherv,communication,0.063985784,0.0665263130156,0.0677012819999,1.01766171806,0.106315230638,0,0,0,0,0,0,54337,0,0,0,0,0,64,64,4859624,311015936,83720,4859624
face_global_merge,compute,0.0728984040001,0.0780197463125,0.083087935,1.06496033283,0.130477779915,0,0,0,0,0,0,32926,0,0,0,0,0,0,0,0,0,0,0
part_face_create,compute,0.017736506,0.018947410875,0.0197163400001,1.04058227956,0.0309617066697,0,0,0,0,0,0,1922,0,0,0,0,0,0,0,0,0,0,0
surface_refine,compute,0.010346179,0.0147330198906,0.019942658,1.35360286948,0.0313171068874,0,0,0,0,0,0,2715,0,0,0,0,0,0,0,0,0,0,0
refined_surface_save,io,0.022568255,0.0291796101406,0.037601464,1.28862119195,0.0590477491621,0,0,0,0,0,0,692,0,7120,20143437,0,20275200,0,0,0,0,0,0
local_volume_mesh,compute,9.288648719,11.8838489664,15.577471669,1.31081030338,24.4622028464,0,0,0,0,0,0,369085,0,0,0,0,0,0,0,0,0,0,0
volume_refine,compute,0.542337329,0.861934960172,1.313224902,1.52357772069,2.06223285899,0,0,0,0,0,0,509927,0,0,0,0,0,0,0,0,0,0,0
refined_volume_save,io,1.157089771,1.808651234,2.519209391,1.3928663214,3.95605990784,0,0,0,0,0,0,721,0,7530,2206066117,0,2206199808,0,0,0,0,0,0
adjacency_build,compute,0.00330130399993,0.00385663195313,0.00435359699998,1.12885985826,0.00683670464553,0,0,0,0,0,0,665,0,0,0,0,0,0,0,0,0,0,0
vertex_numbering_local,compute,0.00662279599999,0.0151304222969,0.01973813,1.30453265697,0.0309959247642,0,0,0,0,0,0,8987,0,0,0,0,0,0,0,0,0,0,0
vertex_count_allgather,communication,0.000202743000045,4.51592876334,7.86211976,1.74097515085,12.3463404369,0,0,0,0,0,0,4566,0,0,0,0,0,64,64,256,16384,4,256
element_count_allgather,communication,6.62999999577e-05,0.00128415804687,0.00149411799998,1.16350008757,0.00234629973135,0,0,0,0,0,0,272,0,0,0,0,0,64,64,256,16384,4,256
vertex_exchange_prepare,compute,8.8599999799e-06,0.000170170109374,0.00644192699997,37.8558080714,0.0101161297766,0,0,0,0,0,0,1150,0,0,0,0,0,0,0,0,0,0,0
vertex_exchange,communication,0.000365303999956,0.0040676390625,0.010899426,2.67954600508,0.0171159977298,0,0,0,0,0,0,5354,0,0,0,0,0,228,228,7113282,7113282,326392,325424
vertex_exchange_unpack,compute,3.71999999516e-06,0.001909824375,0.00609136700007,3.18949065674,0.00956562517551,0,0,0,0,0,0,20298,0,0,0,0,0,0,0,0,0,0,0
partition_result_io,io,4.704483454,7.17527900802,10.265759157,1.43071219189,16.1209141129,0,0,0,0,0,0,3202081,4,7752,2721279523,8007680,2722058240,0,0,0,0,0,0
volume_exchange_pack,compute,0.152236652,0.261004296531,0.321900126,1.23331351352,0.505498346961,0,0,0,0,0,0,4049,0,0,0,0,0,0,0,0,0,0,0
volume_size_exchange,communication,3.04000000142e-05,1.82805184984,5.800551833,3.17307839682,9.10894133369,0,0,0,0,0,0,1661,0,0,0,0,0,304,304,1216,1216,36,36
volume_payload_prepare,compute,2.65199998921e-05,0.000290000281261,0.00134341800003,4.63247136931,0.00210964682348,0,0,0,0,0,0,5839,0,0,0,0,0,0,0,0,0,0,0
volume_payload_exchange,communication,0.00114689299994,0.428648872328,2.655211094,6.19437321642,4.16963123167,0,0,0,0,0,0,7993,0,0,0,0,0,304,304,150935160,150935160,4212000,4225800
volume_exchange_unpack,compute,0.113234508,0.184869558297,0.259683232,1.40468357469,0.407795567342,0,0,0,0,0,0,115600,0,0,0,0,0,0,0,0,0,0,0
final_mesh_save,io,1.283716905,1.8693106103,2.621941328,1.4026247503,4.11738579789,0,0,0,0,0,0,10460,0,7916,2279683470,360448,2279825408,0,0,0,0,0,0
