seed	parts	coarse_cells	variant	metis_header	idx_bits
-1	1024	26411	cell_order_v1	5.2.1	32
17	1024	26411	cell_order_v1	5.2.1	32
41	1024	26411	cell_order_v1	5.2.1	32
