rank,host,total_wall_seconds,coarse_points,coarse_surface_elements,coarse_volume_elements,facemap_entries,physical_boundary_faces,partition_boundary_faces,local_points_before_adjacency,local_surface_elements_before_adjacency,local_volume_elements_before_adjacency,shared_vertices,adjacent_processes,vertex_send_items,vertex_receive_items,volume_send_items,volume_receive_items,local_points_after_adjacency,local_surface_elements_after_adjacency,local_volume_elements_after_adjacency,peak_rss_mib,hardware_cache_available,process_io_available
0,cn4335,34.617738963,8067,12694,26411,18116,12694,5422,35621,21504,180480,2553,2,2538,16,4936,4953,37651,21504,185433,221.05859375,1,1
1,cn4336,34.640331047,8067,12694,26411,18116,12694,5422,44341,25088,227328,5073,4,3870,1255,9833,9794,48592,25088,237122,223.59765625,1,1
2,cn4337,34.64729854,8067,12694,26411,18116,12694,5422,36893,25600,181760,8449,11,5523,3025,16523,16608,43993,25600,198368,244.32421875,1,1
3,cn4338,34.615315861,8067,12694,26411,18116,12694,5422,36179,21504,183744,2041,4,1089,969,3855,3840,37933,21504,187584,241.3984375,1,1
4,cn4339,34.638581586,8067,12694,26411,18116,12694,5422,31247,20480,155840,7328,12,5883,1621,14479,14531,37537,20480,170371,247.6015625,1,1
5,cn4340,34.617219195,8067,12694,26411,18116,12694,5422,35469,23552,176384,4001,5,984,3049,7806,7753,38859,23552,184137,241.5390625,1,1
6,cn4341,34.655143889,8067,12694,26411,18116,12694,5422,39659,24576,200000,7800,12,5720,2194,15276,15328,46130,24576,215328,251.359375,1,1
7,cn4342,34.645844767,8067,12694,26411,18116,12694,5422,54325,27648,283264,2841,3,1260,1599,5446,5457,56692,27648,288721,261.1328125,1,1
8,cn4343,34.646283779,8067,12694,26411,18116,12694,5422,39219,23040,199744,6577,8,6542,162,12876,12916,44961,23040,212660,243.59765625,1,1
9,cn4344,34.641622198,8067,12694,26411,18116,12694,5422,51609,26624,268544,3081,5,714,2416,5960,5921,54277,26624,274465,270.0078125,1,1
10,cn4345,34.648694298,8067,12694,26411,18116,12694,5422,24825,16896,122752,6753,9,5986,913,13515,13430,30587,16896,136182,250.52734375,1,1
11,cn4346,34.634026954,8067,12694,26411,18116,12694,5422,35359,21504,178880,6017,10,2218,3919,11876,11893,40400,21504,190773,240.80078125,1,1
12,cn4347,34.62690775,8067,12694,26411,18116,12694,5422,35135,20480,179136,4737,9,4571,249,9271,9246,39168,20480,188382,241.625,1,1
13,cn4348,34.643298624,8067,12694,26411,18116,12694,5422,29045,22016,140032,9495,12,7085,2710,18819,18828,37220,22016,158860,242.4921875,1,1
14,cn4349,34.651048924,8067,12694,26411,18116,12694,5422,36311,26112,177344,9512,13,2205,7450,18807,18871,44445,26112,196215,244.9609375,1,1
15,cn4350,34.630059952,8067,12694,26411,18116,12694,5422,27901,18944,138112,8017,9,3,8016,15995,16022,34717,18944,154134,241.40625,1,1
16,cn4351,34.598135448,8067,12694,26411,18116,12694,5422,42505,23040,219392,1889,2,1891,0,3626,3623,44014,23040,223015,221.83984375,1,1
17,cn4352,34.596547719,8067,12694,26411,18116,12694,5422,29933,18944,150272,4016,3,2112,1921,7754,7722,33337,18944,157994,221.859375,1,1
18,cn4353,34.593067594,8067,12694,26411,18116,12694,5422,34199,19968,174272,2417,3,2438,15,4638,4647,36242,19968,178919,222.23046875,1,1
19,cn4354,34.636935912,8067,12694,26411,18116,12694,5422,44474,28160,223104,7082,8,3592,3631,13649,13601,50635,28160,236705,245.41015625,1,1
20,cn4355,34.633063909,8067,12694,26411,18116,12694,5422,55999,28160,292544,2993,5,2964,32,5721,5662,58580,28160,298206,271.23046875,1,1
21,cn4356,34.626682408,8067,12694,26411,18116,12694,5422,53099,27136,276672,3217,5,1376,1890,6220,6213,55878,27136,282885,263.0703125,1,1
