algorithm,timing,ranks,successful_repeats,core_median,core_cv,face_pipeline_seconds_median,face_exchange_seconds_median,vertex_wait_seconds_median,compute_imbalance_median,element_imbalance_median,volume_elements_sum_median,face_payload_receive_bytes_median,predicted_actual_correlation_median,compute_wait_correlation_median,cut_before_median,cut_after_median,partition_moves_median,speedup_vs_baseline
balance,natural,1024,5,20.18344610999975,0.003423634989292608,1.0089510359998712,0.7369660210001712,,1.3057096744906838,1.5382336711381377,2408699904,4971395352,0.5234578793892638,,10873,11416,1605,1.017118685486948
balance,split,1024,5,20.317589116000363,0.0033783577822474996,1.0162506759997996,0.7023970749996806,6.306108221000159,1.2977497585506497,1.5382336711381377,2408699904,4971395352,0.5241877337314313,-0.9876568903212607,10873,11416,1605,1.0124539245554662
baseline,natural,1024,5,20.5289601759996,0.006049768480875652,0.9887086680000721,0.7165749600003437,,1.3395710796390898,1.5627617242158485,2413166080,4971395352,0.6469036329087934,,10873,10873,0,1.0
baseline,split,1024,5,20.57062283799999,0.009712162223350427,1.000768149999658,0.6977425569998559,7.238922133999949,1.345873379594483,1.5627617242158485,2413166080,4971395352,0.6479769471578611,-0.9887865297251706,10873,10873,0,1.0
combined,natural,1024,5,20.038911325000072,0.005090938897975624,0.46611658200026795,0.2346789160001208,,1.3132009349767235,1.5382336711381377,2408699904,22004584,0.5221901207934333,,10873,11416,1605,1.0244548639919453
combined,split,1024,5,20.022170297999992,0.006133153463350832,0.43831003600007534,0.23048235499982184,6.248979591000079,1.3051172389668741,1.5382336711381377,2408699904,22004584,0.5239975849146403,-0.99999968758876,10873,11416,1605,1.02739226226913
sparse,natural,1024,5,20.238275771999724,0.006548563936965064,0.5076286909998089,0.2637135899999521,,1.3503235346766238,1.5627617242158485,2413166080,21260960,0.6485070293864219,,10873,10873,0,1.0143631012480838
sparse,split,1024,5,20.281238132,0.008417454565990329,0.5240268450002077,0.2418237719998615,7.286776192999923,1.3601298575982157,1.5627617242158485,2413166080,21260960,0.6482268353872456,-0.9999998533363222,10873,10873,0,1.0142685916962535
