rank,host,total_wall_seconds,coarse_points,coarse_surface_elements,coarse_volume_elements,facemap_entries,physical_boundary_faces,partition_boundary_faces,local_points_before_adjacency,local_surface_elements_before_adjacency,local_volume_elements_before_adjacency,shared_vertices,adjacent_processes,vertex_send_items,vertex_receive_items,volume_send_items,volume_receive_items,local_points_after_adjacency,local_surface_elements_after_adjacency,local_volume_elements_after_adjacency,peak_rss_mib,hardware_cache_available,process_io_available
88,cn5076,37.653626091,8067,12694,26411,16427,12694,3733,60805,36352,308736,12487,10,10404,2228,24516,24488,71488,36352,333224,299,0,1
89,cn5077,37.64683003,8067,12694,26411,16427,12694,3733,74691,37888,389696,9264,6,3013,6302,18075,18055,82472,37888,407751,278.71875,0,1
90,cn5078,37.687808298,8067,12694,26411,16427,12694,3733,107389,52736,563072,4881,6,1940,2976,9278,9254,111558,52736,572326,350.046875,0,1
91,cn5079,37.650514529,8067,12694,26411,16427,12694,3733,85350,51712,432128,5786,7,1454,4335,11126,11075,90208,51712,443203,296.60546875,0,1
92,cn5080,37.626474599,8067,12694,26411,16427,12694,3733,72847,38400,378048,7889,2,7844,47,15562,15645,79195,38400,393693,263.8125,0,1
93,cn5081,37.578692656,8067,12694,26411,16427,12694,3733,58997,28672,309888,4873,2,726,4194,9582,9524,63061,28672,319412,265.921875,0,1
94,cn5082,37.661942557,8067,12694,26411,16427,12694,3733,83891,46592,431680,7850,5,2841,5026,15304,15289,90374,46592,446969,272.2421875,0,1
95,cn5083,37.632237205,8067,12694,26411,16427,12694,3733,64919,33792,337472,7440,8,2176,5329,14427,14441,71247,33792,351913,293.40234375,0,1
96,cn5084,37.585146945,8067,12694,26411,16427,12694,3733,75689,34304,401408,2265,1,2265,0,4393,4419,77545,34304,405827,283.734375,0,1
97,cn5085,37.602206964,8067,12694,26411,16427,12694,3733,72771,44544,367936,6026,4,3773,2284,11659,11638,77639,44544,379574,271.22265625,0,1
98,cn5086,37.624009861,8067,12694,26411,16427,12694,3733,65075,35328,336064,8872,6,5439,3502,17238,17308,72433,35328,353372,264.765625,0,1
99,cn5087,37.660313337,8067,12694,26411,16427,12694,3733,109279,53760,572864,3401,3,0,3401,6436,6436,112161,53760,579300,349.93359375,0,1
100,cn5088,37.649385158,8067,12694,26411,16427,12694,3733,59807,37376,301120,13360,9,8735,4818,26328,26381,71011,37376,327501,290.50390625,0,1
101,cn5089,37.64433925,8067,12694,26411,16427,12694,3733,74151,45568,374464,9217,6,4292,5039,18120,18016,81934,45568,392480,265.61328125,0,1
102,cn5090,37.612491869,8067,12694,26411,16427,12694,3733,67167,40960,339648,4409,4,3622,818,8512,8484,70940,40960,348132,260.94921875,0,1
103,cn5091,37.636127178,8067,12694,26411,16427,12694,3733,77765,39936,405248,8689,6,184,8538,17070,17086,85164,39936,422334,278.75,0,1
104,cn5092,37.640063695,8067,12694,26411,16427,12694,3733,67619,35840,350400,9505,10,6003,3569,18553,18620,75696,35840,369020,296.015625,0,1
105,cn5093,37.654787602,8067,12694,26411,16427,12694,3733,87445,45568,454656,6369,4,1814,4602,12436,12408,92809,45568,467064,264.671875,0,1
106,cn5094,37.656700201,8067,12694,26411,16427,12694,3733,84301,44032,437888,7409,6,6402,1104,14581,14515,90453,44032,452403,265.30078125,0,1
107,cn5095,37.61451777,8067,12694,26411,16427,12694,3733,74179,39936,383424,3761,2,0,3761,7212,7212,77352,39936,390636,263.8828125,0,1
108,cn5096,37.630638963,8067,12694,26411,16427,12694,3733,58227,33792,297408,9152,7,7124,2151,18147,18183,65650,33792,315591,258.16796875,0,1
109,cn5097,37.682495782,8067,12694,26411,16427,12694,3733,50127,33280,249408,13264,8,8039,5372,26331,26404,61234,33280,275812,310.69921875,0,1
110,cn5098,37.671389575,8067,12694,26411,16427,12694,3733,89657,47104,465536,9418,8,3916,5536,18282,18293,97590,47104,483829,299.32421875,0,1
111,cn5099,37.636027256,8067,12694,26411,16427,12694,3733,59632,36864,300736,10377,5,3624,6774,20389,20425,68148,36864,321161,258.796875,0,1
112,cn5100,37.620505898,8067,12694,26411,16427,12694,3733,54309,30720,278528,9377,7,9364,161,18674,18649,62236,30720,297177,283.52734375,0,1
113,cn5101,37.667883161,8067,12694,26411,16427,12694,3733,63151,37888,320576,14272,9,9800,4681,28453,28431,75155,37888,349007,293.87890625,0,1
114,cn5102,37.616313947,8067,12694,26411,16427,12694,3733,65149,40448,328448,5089,8,2783,2326,9843,9813,69263,40448,338261,268.6328125,0,1
