experiment,processes,repetitions,core_only,total_wall_max_s,speedup,ideal_speedup,parallel_efficiency_percent,total_time_cv_percent,profile_coverage_percent,unprofiled_max_s,communication_fraction_max_percent,arrival_wait_fraction_max_percent,communication_plus_wait_fraction_max_percent,communication_max_s,synchronization_max_s,io_fraction_max_percent,io_max_s,io_valid_repetitions,io_counter_available_ranks,cache_valid_repetitions,cache_available_ranks,cache_miss_rate_percent,ipc,minor_faults_total,major_faults_total,logical_read_total_bytes,logical_write_total_bytes,physical_read_total_bytes,physical_write_total_bytes,peak_rss_max_mib,local_volume_elements_avg,local_volume_elements_max,volume_imbalance_max_over_avg,setup_max_s,compute_max_s,postprocess_max_s,volume_alltoall_wait_p95_s,volume_alltoall_wait_p99_s,volume_alltoall_wait_max_s,volume_alltoall_p95_s,volume_alltoall_p99_s,volume_alltoall_max_s,volume_payload_p95_s,volume_payload_p99_s,volume_payload_max_s,volume_waitall_p95_s,volume_waitall_p99_s,volume_waitall_max_s,volume_send_neighbors_avg,volume_send_neighbors_p95,volume_send_neighbors_p99,volume_send_neighbors_max,volume_receive_neighbors_avg,volume_receive_neighbors_p95,volume_receive_neighbors_p99,volume_receive_neighbors_max,volume_send_bytes_avg,volume_send_bytes_p95,volume_send_bytes_p99,volume_send_bytes_max,volume_receive_bytes_avg,volume_receive_bytes_p95,volume_receive_bytes_p99,volume_receive_bytes_max,volume_directed_edges,volume_edge_density,volume_graph_capture
core_cache,1024,6,1,46.943224693999994,1.0,1.0,100.0,10.014681447418766,95.9376412156,2.49787004,2.04014754665,16.186902187999998,17.3369677403,0.9561821310005,7.606811706,4.02533605135,1.886487917,6,1024.0,6,1024.0,1.8592981690300001,0.540123658725,112985535.5,0.0,1060024321.0,0.0,0.0,0.0,1024.662109375,2356607.5,3682816.0,1.56276172422,24.874527079499998,17.820328400999998,0.0,0.755213146125,0.820864033325,0.9027760595000001,0.00975747860007,0.0102951467549,0.012021375000105,0.0944617669501,0.10847681125,0.115956587,0.0925814683249,0.106126878415,0.113482852,6.705078125,11.0,13.0,15.0,6.705078125,11.0,13.0,15.0,10456354.9219,15246966.0,16730982.0,20661240.0,10456354.9219,15256182.0,16755546.0,20682360.0,6866.0,0.00655432856794,0.0
core_cache,2048,6,1,42.4166642685,1.1067165583046936,2.0,55.33582791523468,12.400872007400446,95.9010998725,2.3635721629999997,4.307358305799999,13.03971232275,14.3774059498,1.8261507865,5.559899683499999,4.525876247935001,1.9176464775,6,2048.0,6,2048.0,1.808747076025,0.5304993271595,165610063.0,0.0,2120048641.0,0.0,0.0,0.0,619.755859375,1246533.5,1933824.0,1.55136143553,24.909717166,13.852485756,0.0,0.37578336702500004,0.41525685529,0.4784204655,0.02136703702495,0.021433679999950002,0.02264701449985,0.07349927289989999,0.08277810791505,0.08766180450015,0.0717530091249,0.080878650835,0.08643229900005,6.65625,10.0,12.0,15.0,6.65625,11.0,12.0,15.0,7141893.69141,9846036.0,10824190.8,11808960.0,7141893.69141,9847512.0,10832654.4,11833320.0,13632.0,0.00325170981925,0.0
core_cache,4096,6,1,43.272017403999996,1.084840215692385,4.0,27.121005392309627,12.009287834938691,96.05375234760001,2.52382513,9.622003213825,17.80664384485,19.87953608105,4.1705470474999995,7.6996594835,4.553569687435,1.9690328685,6,4096.0,6,4096.0,1.82216650968,0.5389709952485,272376424.5,0.0,4240097281.0,0.0,0.0,0.0,595.349609375,683492.5,1130496.0,1.65399912947,25.275433085499998,13.023127002999999,0.0,0.25122013774999996,0.276475744975,0.30751062500000004,0.02551549475,0.02560415949995,0.02736798699995,0.060096583499999995,0.0688060398499,0.07618090000005,0.05831367312495,0.0661805946251,0.0754663509999,6.2880859375,9.0,10.0,13.0,6.2880859375,9.0,10.0,13.0,4880201.74805,6881280.0,6898800.0,8856840.0,4880201.74805,6886590.0,6901230.0,8878800.0,25756.0,0.00153555212149,0.0
core_cache,8192,6,1,46.8097168415,1.002852139716035,8.0,12.535651746450437,10.500071231695355,96.19211561854999,2.552299771,17.1020512487,27.635778610899997,29.02782939775,8.0332725595,12.973111201,4.11835026931,1.9315714685,6,8192.0,6,8192.0,1.722437463725,0.5324642792509999,608264790.5,0.0,8480194561.0,0.0,0.0,0.0,452.673828125,393791.25,970752.0,2.46514365162,25.259674951,12.214760118000001,0.0,0.231159006125,0.24333958510499998,0.2623927075,0.021964578175,0.022279418845,0.0235607555,0.0419327668,0.048934471,0.0546758265,0.040815953725,0.047684698165,0.053750284499999995,5.44567871094,8.0,9.0,11.0,5.44567871094,8.0,9.0,11.0,3349832.70996,4423680.0,4915320.0,5898240.0,3349832.70996,4428150.0,4923840.0,5906880.0,44611.0,0.000664836858862,0.0
