rank,host,total_wall_seconds,coarse_points,coarse_surface_elements,coarse_volume_elements,facemap_entries,physical_boundary_faces,partition_boundary_faces,local_points_before_adjacency,local_surface_elements_before_adjacency,local_volume_elements_before_adjacency,shared_vertices,adjacent_processes,vertex_send_items,vertex_receive_items,volume_send_items,volume_receive_items,local_points_after_adjacency,local_surface_elements_after_adjacency,local_volume_elements_after_adjacency,peak_rss_mib,hardware_cache_available,process_io_available
92,cn4427,34.77899625,8067,12694,26411,18116,12694,5422,52313,27136,272000,2721,5,2045,712,5158,5155,54618,27136,277155,270.453125,1,1
93,cn4428,34.821579866,8067,12694,26411,18116,12694,5422,50323,26112,261696,3113,5,1753,1378,5975,5928,53018,26112,267624,300.5390625,1,1
94,cn4429,34.828340291,8067,12694,26411,18116,12694,5422,37271,26112,183232,8327,9,1915,6474,16330,16311,44276,26112,199543,250.73046875,1,1
95,cn4430,34.773106281,8067,12694,26411,18116,12694,5422,32917,22016,163456,7872,10,0,7872,15476,15521,39655,22016,178977,241.9765625,1,1
96,cn4431,34.789420704,8067,12694,26411,18116,12694,5422,40269,25600,202112,7784,10,7692,161,15239,15266,46918,25600,217378,244.86328125,1,1
97,cn4432,34.784941556,8067,12694,26411,18116,12694,5422,39027,23552,197696,7240,9,5325,2129,14151,14261,45094,23552,211957,243.9921875,1,1
98,cn4433,34.816734642,8067,12694,26411,18116,12694,5422,49757,25600,259072,2721,5,1366,1359,5214,5160,52052,25600,264232,294.140625,1,1
99,cn4434,34.770726708,8067,12694,26411,18116,12694,5422,48189,27136,247168,2601,5,860,1771,4883,4896,50411,27136,252064,242.16015625,1,1
100,cn4435,34.832446137,8067,12694,26411,18116,12694,5422,45555,27648,230592,6009,9,5271,835,11628,11603,50686,27648,242195,245.2109375,1,1
101,cn4436,34.761985363,8067,12694,26411,18116,12694,5422,43051,24064,221120,2313,2,1104,1225,4380,4396,44934,24064,225516,228.4921875,1,1
102,cn4437,34.774217929,8067,12694,26411,18116,12694,5422,29197,19968,144256,8048,7,7132,1064,16036,16083,36081,19968,160339,241.6015625,1,1
103,cn4438,34.831585948,8067,12694,26411,18116,12694,5422,38509,24576,193152,8400,9,1946,6548,16609,16629,45551,24576,209781,243.8671875,1,1
104,cn4439,34.741255629,8067,12694,26411,18116,12694,5422,35429,19456,182528,4209,3,4208,49,8285,8237,39001,19456,190765,222.4609375,1,1
105,cn4440,34.755594306,8067,12694,26411,18116,12694,5422,41551,24064,212160,4497,3,2550,1994,8733,8764,45276,24064,220924,221.72265625,1,1
106,cn4441,34.765835005,8067,12694,26411,18116,12694,5422,38447,23040,195136,5793,5,3625,2233,11395,11436,43298,23040,206572,223.71875,1,1
107,cn4442,34.750630589,8067,12694,26411,18116,12694,5422,34669,22016,174080,5673,5,414,5263,11127,11103,39442,22016,185183,228.21875,1,1
108,cn4443,34.766988136,8067,12694,26411,18116,12694,5422,51947,27136,269760,2329,6,1405,971,4365,4371,53861,27136,274131,275.98828125,1,1
109,cn4444,34.76659184,8067,12694,26411,18116,12694,5422,36457,19968,187904,5824,7,2282,3592,11365,11318,41531,19968,199222,241.3125,1,1
110,cn4445,34.78253896,8067,12694,26411,18116,12694,5422,38675,24064,194880,7136,7,2815,4358,13958,13932,44673,24064,208812,243.05859375,1,1
111,cn4446,34.766755065,8067,12694,26411,18116,12694,5422,47083,29184,237376,3145,6,440,2721,5888,5888,49769,29184,243264,242.7578125,1,1
112,cn4447,34.776890895,8067,12694,26411,18116,12694,5422,44553,25088,228480,2705,4,2660,48,5215,5191,46819,25088,233671,223.41015625,1,1
113,cn4448,34.76200524,8067,12694,26411,18116,12694,5422,40453,23552,206336,2569,3,1633,953,4901,4922,42592,23552,211258,222.328125,1,1
114,cn4449,34.796897326,8067,12694,26411,18116,12694,5422,40617,25600,204160,7512,9,6113,1562,14728,14787,46946,25600,218947,244.9140625,1,1
115,cn4450,34.766483246,8067,12694,26411,18116,12694,5422,36911,20480,189760,5177,6,908,4288,10092,10008,41480,20480,199768,241.22265625,1,1
116,cn4451,34.818904167,8067,12694,26411,18116,12694,5422,38853,26624,192000,8822,10,6726,2242,17239,17288,46194,26624,209288,245.203125,1,1
117,cn4452,34.774502503,8067,12694,26411,18116,12694,5422,36429,20992,186112,5385,6,1948,3531,10633,10578,41023,20992,196690,241.484375,1,1
118,cn4453,34.773111426,8067,12694,26411,18116,12694,5422,35101,22528,175744,5361,6,1464,3897,10288,10326,39607,22528,186070,240.86328125,1,1
119,cn4454,34.768495792,8067,12694,26411,18116,12694,5422,41157,23040,211328,2569,3,0,2569,4881,4878,43330,23040,216206,242.76953125,1,1
120,cn4455,34.82283747,8067,12694,26411,18116,12694,5422,37625,24576,187776,8040,9,4703,3410,15721,15759,44572,24576,203535,243.8828125,1,1
121,cn4456,34.772486007,8067,12694,26411,18116,12694,5422,34375,20992,173760,4737,6,1877,2972,9307,9287,38314,20992,183047,246.47265625,1,1
122,cn4457,34.779023139,8067,12694,26411,18116,12694,5422,42923,23552,221120,4833,5,2739,2128,9260,9259,47011,23552,230379,230.1953125,1,1
123,cn4458,34.813055921,8067,12694,26411,18116,12694,5422,49155,27136,252992,2873,5,0,2873,5417,5405,51604,27136,258397,251.16015625,1,1
124,cn4459,34.780618196,8067,12694,26411,18116,12694,5422,31227,20992,154816,7208,10,2293,4979,14238,14193,37657,20992,169009,247.49609375,1,1
125,cn4460,34.781694842,8067,12694,26411,18116,12694,5422,34541,21504,173952,7630,10,1091,6558,14972,14956,41068,21504,188908,250.85546875,1,1
126,cn4461,34.781717699,8067,12694,26411,18116,12694,5422,52439,29184,269504,2329,4,848,1497,4365,4390,54397,29184,273894,269.3671875,1,1
127,cn4462,34.778539757,8067,12694,26411,18116,12694,5422,52121,28672,268416,2601,4,0,2601,4909,4885,54336,28672,273301,269.64453125,1,1
128,cn4463,34.777114146,8067,12694,26411,18116,12694,5422,34723,21504,175040,6321,3,6275,64,12432,12431,39918,21504,187471,228.73828125,1,1
129,cn4464,34.741732787,8067,12694,26411,18116,12694,5422,34047,20480,172736,3817,2,426,3408,7533,7507,37153,20480,180243,222.26953125,1,1
130,cn4465,34.768138179,8067,12694,26411,18116,12694,5422,36235,20480,185792,3985,3,1934,2098,7719,7785,39587,20480,193577,222.578125,1,1
131,cn4466,34.794683516,8067,12694,26411,18116,12694,5422,46543,29184,234176,6178,7,3096,3099,11878,11897,51713,29184,246073,245.62109375,1,1
132,cn4467,34.826805277,8067,12694,26411,18116,12694,5422,41087,24064,209344,7480,15,7537,130,14668,14683,47529,24064,224027,251.49609375,1,1
133,cn4468,34.806212566,8067,12694,26411,18116,12694,5422,48317,29184,244736,2873,5,925,1951,5376,5399,50766,29184,250135,249.49609375,1,1
134,cn4469,34.786633066,8067,12694,26411,18116,12694,5422,34221,22528,170496,7120,7,5678,1528,14053,13943,40206,22528,184439,248.57421875,1,1
135,cn4470,34.801654324,8067,12694,26411,18116,12694,5422,38687,25088,193344,8911,15,2797,6230,17644,17600,46281,25088,210944,252.0546875,1,1
136,cn4471,34.816954222,8067,12694,26411,18116,12694,5422,49301,27648,253056,4137,6,4137,65,7982,7959,52840,27648,261015,251.05859375,1,1
137,cn4472,34.818709124,8067,12694,26411,18116,12694,5422,37273,24064,186368,8880,15,6091,3026,17491,17587,44902,24064,203955,251.0390625,1,1
138,cn4473,34.777782845,8067,12694,26411,18116,12694,5422,45347,24064,234944,3081,5,1629,1483,5936,5975,47904,24064,240919,248.22265625,1,1
139,cn4474,34.782729469,8067,12694,26411,18116,12694,5422,34285,22528,170880,7000,9,3614,3454,13635,13650,40157,22528,184530,248.1328125,1,1
140,cn4475,34.767316394,8067,12694,26411,18116,12694,5422,41895,22016,217408,4481,3,4478,34,8782,8746,45605,22016,226154,230.2734375,1,1
141,cn4476,34.745330243,8067,12694,26411,18116,12694,5422,27763,16384,141248,3425,3,1044,2399,6709,6692,30643,16384,147940,221.6171875,1,1
142,cn4477,34.760713148,8067,12694,26411,18116,12694,5422,37763,23040,190912,4513,3,1937,2625,8749,8800,41478,23040,199712,221.98046875,1,1
143,cn4478,34.777453947,8067,12694,26411,18116,12694,5422,34665,23552,171520,5754,8,3,5753,11098,11074,39587,23552,182594,247.07421875,1,1
144,cn4479,34.775497155,8067,12694,26411,18116,12694,5422,35867,22528,180288,7256,7,7296,95,14227,14241,42029,22528,194529,242.87109375,1,1
145,cn4480,34.781188459,8067,12694,26411,18116,12694,5422,34861,23552,172800,7664,10,5671,2168,15024,15036,41135,23552,187836,250.38671875,1,1
146,cn4481,34.776902662,8067,12694,26411,18116,12694,5422,51837,27136,269056,2449,4,1122,1344,4685,4652,53955,27136,273708,261,1,1
147,cn4482,34.770895729,8067,12694,26411,18116,12694,5422,48723,27136,250304,2737,6,1251,1516,5138,5146,51114,27136,255450,242.58984375,1,1
148,cn4483,34.780967862,8067,12694,26411,18116,12694,5422,35017,22016,176000,7511,10,5165,2432,14675,14792,41330,22016,190792,242.5234375,1,1
149,cn4484,34.779571864,8067,12694,26411,18116,12694,5422,49187,27136,253248,2449,3,1260,1207,4688,4634,51310,27136,257882,223.82421875,1,1
150,cn4485,34.778496673,8067,12694,26411,18116,12694,5422,54537,27648,284544,2705,6,1239,1482,5181,5159,56853,27648,289703,270.5390625,1,1
151,cn4486,34.780888542,8067,12694,26411,18116,12694,5422,47836,29696,240832,5273,9,2740,2585,10101,10049,52353,29696,250881,245.6796875,1,1
152,cn4487,34.783392089,8067,12694,26411,18116,12694,5422,27043,19968,131392,8680,15,6494,2392,17373,17308,34724,19968,148700,248.8671875,1,1
153,cn4488,34.777692785,8067,12694,26411,18116,12694,5422,37635,22016,191808,5265,11,3552,1842,10309,10291,42099,22016,202099,260.90625,1,1
154,cn4489,34.805559958,8067,12694,26411,18116,12694,5422,32109,21504,159232,7704,14,2632,5217,15269,15199,38891,21504,174431,248.3984375,1,1
155,cn4490,34.782787597,8067,12694,26411,18116,12694,5422,44103,25088,225856,5177,9,0,5177,10041,10073,48469,25088,235929,249.9453125,1,1
156,cn4491,34.793177159,8067,12694,26411,18116,12694,5422,40243,27136,199488,7224,13,3042,4260,14305,14230,46472,27136,213718,244.66796875,1,1
157,cn4492,34.808961933,8067,12694,26411,18116,12694,5422,33749,21504,169344,7073,13,3861,3360,13957,13977,39738,21504,183321,248.46484375,1,1
158,cn4493,34.78219117,8067,12694,26411,18116,12694,5422,34249,24064,168320,7632,9,2458,5175,14915,14982,40599,24064,183302,242.20703125,1,1
159,cn4494,34.769205962,8067,12694,26411,18116,12694,5422,31399,19968,157504,5897,7,0,5897,11629,11642,36397,19968,169146,241.0546875,1,1
160,cn4495,34.811433398,8067,12694,26411,18116,12694,5422,30141,21504,147712,8680,11,8558,269,17350,17404,37468,21504,165116,248.3203125,1,1
161,cn4496,34.802445614,8067,12694,26411,18116,12694,5422,33751,20992,170048,6017,7,3789,2295,11974,11914,38879,20992,181962,241.3125,1,1
162,cn4497,34.803167552,8067,12694,26411,18116,12694,5422,47473,27136,242816,2465,4,2435,32,4637,4616,49660,27136,247432,242.30078125,1,1
163,cn4498,34.819097784,8067,12694,26411,18116,12694,5422,40071,26112,200128,8280,11,4066,4453,16244,16288,47116,26112,216416,251.48046875,1,1
164,cn4499,34.814106121,8067,12694,26411,18116,12694,5422,31669,23040,154496,8624,10,5707,3110,17064,17113,38931,23040,171609,242.140625,1,1
165,cn4500,34.794936663,8067,12694,26411,18116,12694,5422,34053,19968,173312,4481,7,2396,2148,8778,8751,37920,19968,182063,241.12109375,1,1
166,cn4501,34.823596412,8067,12694,26411,18116,12694,5422,47577,26112,245120,5177,9,3054,2235,10120,10027,52066,26112,255147,251.49609375,1,1
167,cn4502,34.804629294,8067,12694,26411,18116,12694,5422,47695,27648,243392,3113,4,1367,1766,5908,5919,50366,27648,249311,243.16796875,1,1
168,cn4503,34.789038121,8067,12694,26411,18116,12694,5422,38235,24064,192192,7632,7,4557,3127,15031,15082,44579,24064,207274,244.0625,1,1
169,cn4504,34.781144853,8067,12694,26411,18116,12694,5422,35711,20480,182592,6608,8,2762,3940,13009,12899,41452,20480,195491,249.078125,1,1
170,cn4505,34.778282108,8067,12694,26411,18116,12694,5422,36909,20992,188928,6560,7,2479,4178,12893,12894,42380,20992,201822,242.26953125,1,1
171,cn4506,34.780019947,8067,12694,26411,18116,12694,5422,36809,23040,185216,7000,10,1342,5674,13666,13714,42777,23040,198930,242.3125,1,1
172,cn4507,34.76938823,8067,12694,26411,18116,12694,5422,46143,27648,234048,3145,6,816,2329,5956,5935,48784,27648,239983,242.7578125,1,1
173,cn4508,34.834908152,8067,12694,26411,18116,12694,5422,51338,31232,259584,4114,9,820,3296,7727,7738,54752,31232,267322,294.578125,1,1
174,cn4509,34.782936228,8067,12694,26411,18116,12694,5422,51125,28160,263296,3521,7,680,2841,6687,6754,54092,28160,270050,270.46875,1,1
175,cn4510,34.748900676,8067,12694,26411,18116,12694,5422,34917,17920,181760,1377,3,0,1377,2583,2579,36117,17920,184339,241.30859375,1,1
176,cn4511,34.831683411,8067,12694,26411,18116,12694,5422,42873,29184,211968,7984,13,5311,2840,15469,15501,49816,29184,227469,252.8984375,1,1
177,cn4512,34.821565881,8067,12694,26411,18116,12694,5422,45587,26112,233152,6656,11,3579,3219,12947,12933,51339,26112,246085,253.75390625,1,1
178,cn4513,34.799392845,8067,12694,26411,18116,12694,5422,28521,19968,140288,7041,18,3022,4104,13933,14056,34339,19968,154344,247.76171875,1,1
179,cn4514,34.806922101,8067,12694,26411,18116,12694,5422,31903,22016,157248,8592,10,949,7690,17091,17086,39379,22016,174334,248.44140625,1,1
180,cn4515,34.808888608,8067,12694,26411,18116,12694,5422,38767,23552,196032,6161,10,4625,1651,11856,11890,44140,23552,207922,243.046875,1,1
