experiment,processes,repetitions,core_only,total_wall_max_s,speedup,ideal_speedup,parallel_efficiency_percent,total_time_cv_percent,profile_coverage_percent,unprofiled_max_s,communication_fraction_max_percent,communication_max_s,synchronization_max_s,io_fraction_max_percent,io_max_s,io_valid_repetitions,io_counter_available_ranks,cache_valid_repetitions,cache_available_ranks,cache_miss_rate_percent,ipc,minor_faults_total,major_faults_total,logical_read_total_bytes,logical_write_total_bytes,physical_read_total_bytes,physical_write_total_bytes,peak_rss_max_mib,local_volume_elements_avg,local_volume_elements_max,volume_imbalance_max_over_avg,setup_max_s,compute_max_s,postprocess_max_s
strong_scaling_core_cache_l2_r2_20260811-153051,1,3,1,716.713973779,1.0,1.0,100.0,1.0051567747722308,99.225139922,5.647594616,0.00657173869966,0.0470478760003,2.00000022232e-06,0.242094170684,1.735122751,3,1.0,3,1.0,2.91115293458,0.612252857742,3878385.0,0.0,1035181.0,0.0,0.0,0.0,12562.6796875,46570944.0,46570944.0,1.0,22.945200937,686.770541457,0.0
strong_scaling_core_cache_l2_r2_20260811-153051,2,3,1,365.930654194,1.9586059969685687,2.0,97.93029984842843,0.45687789501353465,99.1024561907,3.768339333,13.8051294576,50.881216762,0.000802190999821,0.474618401768,1.73458039,3,2.0,3,2.0,2.88124197402,0.619389129888,3514811.0,0.0,2070361.0,0.0,0.0,0.0,6429.875,27030848.0,30363968.0,1.12330800721,23.146803745,331.406276025,0.0
strong_scaling_core_cache_l2_r2_20260811-153051,4,3,1,197.093331689,3.636419191035475,4.0,90.91047977588687,0.44841909635032384,99.0599441732,2.200178004,24.0781983664,47.434954934,0.0245867460003,0.914851617542,1.805611562,3,4.0,3,4.0,2.66212258518,0.637166437647,2919331.0,0.0,4140732.0,0.0,761856.0,0.0,5863.6875,13360288.0,16995712.0,1.27210670908,23.360216925,166.363493415,0.0
strong_scaling_core_cache_l2_r2_20260811-153051,8,3,1,118.918651726,6.026926502920483,8.0,75.33658128650603,1.759501649816801,99.0579450223,1.386849249,20.4312916611,24.202365961,0.021989651,1.50525561215,1.790029679,3,8.0,3,8.0,2.55298876039,0.643768724466,1588627.0,0.0,8281446.0,0.0,245760.0,0.0,1733.83203125,6091584.0,8020864.0,1.31671236907,23.23981914,91.753833957,0.0
strong_scaling_core_cache_l2_r2_20260811-153051,16,3,1,76.658870691,9.349393844685798,16.0,58.433711529286235,4.810306984284675,98.8648703551,1.168348632,23.9681001434,18.541197617,0.0450491660001,2.52119882866,1.919789114,3,16.0,3,16.0,2.3638645786,0.622930446407,2266036.0,0.0,16562881.0,0.0,0.0,0.0,1028.4609375,2953740.0,3571520.0,1.20915178723,22.564214442,51.821994366,0.0
strong_scaling_core_cache_l2_r2_20260811-153051,32,3,1,54.103457641,13.247101110149176,32.0,41.397190969216176,10.934466481921445,98.5773595378,1.03448002,22.021102801,11.923248857,0.0519273509999,3.63764036683,1.968089215,3,32.0,3,32.0,2.27260094636,0.598361185724,3511665.0,0.0,33125761.0,0.0,0.0,0.0,597.81640625,1482478.0,1918144.0,1.29387687372,22.575434759,29.195561563,0.0
strong_scaling_core_cache_l2_r2_20260811-153051,64,3,1,44.99896924,15.927342023245863,64.0,24.88647191132166,24.887625645464084,96.3302347172,2.575422412,16.2930820399,7.128365418,0.0425037069999,4.78300699405,2.152303846,3,64.0,3,64.0,2.27284198075,0.632240615763,5268789.0,0.0,66251521.0,0.0,0.0,0.0,536.453125,754856.0,1099584.0,1.45668047946,24.064219076,18.296918863,0.0
strong_scaling_core_cache_l2_r2_20260811-153051,128,3,1,38.063783723,18.829288727434797,128.0,14.710381818308434,12.705847484414644,97.2232786155,1.590706388,13.1535780171,5.087677099,0.073918883,4.88089398246,1.846045155,3,128.0,3,128.0,2.02989251563,0.564710827197,9207886.0,0.0,132503041.0,0.0,0.0,0.0,357.9375,383532.0,585152.0,1.5256927714,23.237789692,12.830290527,0.0
strong_scaling_core_cache_l2_r2_20260811-153051,256,3,1,34.842079882,20.570355621888876,256.0,8.035295164800342,26.10099121562975,96.8626797711,1.509162848,9.34439056459,3.212201189,0.0836598370001,5.49221170778,1.905442271,3,256.0,3,256.0,1.94901716009,0.549506685222,16368775.0,0.0,265006081.0,0.0,0.0,0.0,300.7578125,196490.0,292544.0,1.48884930531,23.239183206,9.533981449,0.0
