rank,host,total_wall_seconds,coarse_points,coarse_surface_elements,coarse_volume_elements,facemap_entries,physical_boundary_faces,partition_boundary_faces,local_points_before_adjacency,local_surface_elements_before_adjacency,local_volume_elements_before_adjacency,shared_vertices,adjacent_processes,vertex_send_items,vertex_receive_items,volume_send_items,volume_receive_items,local_points_after_adjacency,local_surface_elements_after_adjacency,local_volume_elements_after_adjacency,peak_rss_mib,hardware_cache_available,process_io_available
0,cn4335,53.19002682,8067,12694,26411,18116,12694,5422,35621,21504,180480,2553,2,2538,16,4936,4953,37651,21504,185433,228.5546875,1,1
1,cn4336,53.21480385,8067,12694,26411,18116,12694,5422,44341,25088,227328,5073,4,3870,1255,9833,9794,48592,25088,237122,223.8515625,1,1
2,cn4337,53.220485549,8067,12694,26411,18116,12694,5422,36893,25600,181760,8449,11,5523,3025,16523,16608,43993,25600,198368,252.5078125,1,1
3,cn4338,53.185369137,8067,12694,26411,18116,12694,5422,36179,21504,183744,2041,4,1089,969,3855,3840,37933,21504,187584,241.421875,1,1
4,cn4339,53.211032629,8067,12694,26411,18116,12694,5422,31247,20480,155840,7328,12,5883,1621,14479,14531,37537,20480,170371,246.71484375,1,1
5,cn4340,53.1919232,8067,12694,26411,18116,12694,5422,35469,23552,176384,4001,5,984,3049,7806,7753,38859,23552,184137,241.5546875,1,1
6,cn4341,53.226667054,8067,12694,26411,18116,12694,5422,39659,24576,200000,7800,12,5720,2194,15276,15328,46130,24576,215328,251.5390625,1,1
7,cn4342,53.218403151,8067,12694,26411,18116,12694,5422,54325,27648,283264,2841,3,1260,1599,5446,5457,56692,27648,288721,269.40234375,1,1
8,cn4343,53.210300855,8067,12694,26411,18116,12694,5422,39219,23040,199744,6577,8,6542,162,12876,12916,44961,23040,212660,243.94921875,1,1
9,cn4344,53.215535665,8067,12694,26411,18116,12694,5422,51609,26624,268544,3081,5,714,2416,5960,5921,54277,26624,274465,276.953125,1,1
10,cn4345,53.216861888,8067,12694,26411,18116,12694,5422,24825,16896,122752,6753,9,5986,913,13515,13430,30587,16896,136182,259.25,1,1
11,cn4346,53.201359718,8067,12694,26411,18116,12694,5422,35359,21504,178880,6017,10,2218,3919,11876,11893,40400,21504,190773,241.81640625,1,1
12,cn4347,53.195219736,8067,12694,26411,18116,12694,5422,35135,20480,179136,4737,9,4571,249,9271,9246,39168,20480,188382,247.41796875,1,1
13,cn4348,53.217367115,8067,12694,26411,18116,12694,5422,29045,22016,140032,9495,12,7085,2710,18819,18828,37220,22016,158860,249.00390625,1,1
14,cn4349,53.219438986,8067,12694,26411,18116,12694,5422,36311,26112,177344,9512,13,2205,7450,18807,18871,44445,26112,196215,251.76171875,1,1
15,cn4350,53.202156171,8067,12694,26411,18116,12694,5422,27901,18944,138112,8017,9,3,8016,15995,16022,34717,18944,154134,249.40234375,1,1
16,cn4351,53.182897489,8067,12694,26411,18116,12694,5422,42505,23040,219392,1889,2,1891,0,3626,3623,44014,23040,223015,223.61328125,1,1
17,cn4352,53.179793342,8067,12694,26411,18116,12694,5422,29933,18944,150272,4016,3,2112,1921,7754,7722,33337,18944,157994,222.52734375,1,1
18,cn4353,53.179977457,8067,12694,26411,18116,12694,5422,34199,19968,174272,2417,3,2438,15,4638,4647,36242,19968,178919,222.30859375,1,1
19,cn4354,53.215696043,8067,12694,26411,18116,12694,5422,44474,28160,223104,7082,8,3592,3631,13649,13601,50635,28160,236705,251.90234375,1,1
20,cn4355,53.223069784,8067,12694,26411,18116,12694,5422,55999,28160,292544,2993,5,2964,32,5721,5662,58580,28160,298206,278.3359375,1,1
21,cn4356,53.206850619,8067,12694,26411,18116,12694,5422,53099,27136,276672,3217,5,1376,1890,6220,6213,55878,27136,282885,269.359375,1,1
22,cn4357,53.194265192,8067,12694,26411,18116,12694,5422,32585,19456,165504,5536,6,3365,2207,10892,10878,37290,19456,176382,247.6484375,1,1
23,cn4358,53.219234807,8067,12694,26411,18116,12694,5422,39591,23040,202048,7120,8,3701,3519,13985,14089,45497,23040,216137,250.3515625,1,1
24,cn4359,53.209402042,8067,12694,26411,18116,12694,5422,34379,23552,169920,8775,11,7090,1818,17322,17347,41680,23552,187267,250.15234375,1,1
25,cn4360,53.222385453,8067,12694,26411,18116,12694,5422,37783,25088,187968,9392,10,4320,5190,18547,18660,45581,25088,206628,251.65625,1,1
26,cn4361,53.205196311,8067,12694,26411,18116,12694,5422,40227,22016,207296,5569,10,3760,1890,10872,10835,44952,22016,218131,243.55078125,1,1
27,cn4362,53.208997006,8067,12694,26411,18116,12694,5422,31147,20992,154304,8096,10,2135,6089,16107,15995,38161,20992,170299,242.33984375,1,1
