rank,host,total_wall_seconds,coarse_points,coarse_surface_elements,coarse_volume_elements,facemap_entries,physical_boundary_faces,partition_boundary_faces,local_points_before_adjacency,local_surface_elements_before_adjacency,local_volume_elements_before_adjacency,shared_vertices,adjacent_processes,vertex_send_items,vertex_receive_items,volume_send_items,volume_receive_items,local_points_after_adjacency,local_surface_elements_after_adjacency,local_volume_elements_after_adjacency,peak_rss_mib,hardware_cache_available,process_io_available
0,cn4713,42.37627534,8067,12694,26411,15125,12694,2431,161733,72192,859520,12193,6,12174,84,23652,23794,172008,72192,883314,372.984375,0,1
1,cn4714,42.260485401,8067,12694,26411,15125,12694,2431,144801,66048,767360,9553,5,5148,4485,18620,18518,152964,66048,785878,369.94140625,0,1
2,cn4715,42.188503498,8067,12694,26411,15125,12694,2431,135157,51712,731648,1241,2,412,831,2315,2315,136246,51712,733963,349.75,0,1
3,cn4716,42.329075056,8067,12694,26411,15125,12694,2431,192229,104448,992192,8403,6,3726,4728,16011,15944,199387,104448,1008136,386.08984375,0,1
4,cn4717,42.228934537,8067,12694,26411,15125,12694,2431,121017,56320,639488,10728,4,10683,65,20902,20936,130116,56320,660424,350.25,0,1
5,cn4718,42.267830765,8067,12694,26411,15125,12694,2431,155381,79872,809600,8321,5,4657,3714,15990,15950,162272,79872,825550,373.4140625,0,1
6,cn4719,42.288768252,8067,12694,26411,15125,12694,2431,152307,72192,803008,13688,5,3278,10441,26574,26571,163752,72192,829579,374.72265625,0,1
7,cn4720,42.308812085,8067,12694,26411,15125,12694,2431,181304,97792,936896,9202,5,1513,7706,17517,17516,189078,97792,954412,378.54296875,0,1
8,cn4721,42.276299435,8067,12694,26411,15125,12694,2431,145325,73216,759552,12961,5,13019,53,25463,25444,156105,73216,784996,377.1875,0,1
9,cn4722,42.281627665,8067,12694,26411,15125,12694,2431,172751,95744,889152,7337,3,3916,3455,14339,14262,178890,95744,903414,377.12109375,0,1
10,cn4723,42.230802931,8067,12694,26411,15125,12694,2431,128071,67072,665280,10338,5,6746,3625,20236,20294,136685,67072,685574,369.2421875,0,1
11,cn4724,42.233644248,8067,12694,26411,15125,12694,2431,166453,49664,925952,3441,1,0,3441,6778,6802,169148,49664,932754,354.75390625,0,1
12,cn4725,42.296822523,8067,12694,26411,15125,12694,2431,172240,86528,900160,8778,5,5534,3280,16735,16739,179599,86528,916899,373.80859375,0,1
13,cn4726,42.193337287,8067,12694,26411,15125,12694,2431,109881,51712,579712,9024,5,4600,4473,17653,17538,117672,51712,597250,349.7265625,0,1
