processes,core_source_mode,jobs_serialized,dependency_policy,core_page_cache_policy,full_io_page_cache_policy,core_cold_s,core_cold_state,core_warm_s,core_cold_penalty_percent,core_warm_speedup,core_warm_efficiency_percent,core_warm_communication_s,core_warm_communication_fraction_percent,core_warm_arrival_wait_s,core_warm_arrival_wait_fraction_percent,core_warm_communication_plus_wait_fraction_percent,warm_cache_miss_rate_percent,warm_ipc,full_io_cold_s,full_io_cold_state,full_io_warm_s,full_io_cold_penalty_percent,full_io_warm_speedup,full_io_warm_efficiency_percent,full_io_warm_io_s,full_io_warm_io_fraction_percent,full_io_extra_warm_s,full_io_extra_warm_percent,core_cold_physical_read_gib,core_warm_physical_read_gib,full_io_cold_physical_read_gib,full_io_warm_physical_read_gib,full_io_cold_physical_write_gib,full_io_warm_physical_write_gib
1024,core_timing,0,unknown,evict-first,evict-first,61.401847835,cold,46.613158613,31.72642588926715,1.0,100.0,0.987312653,2.11150328522,7.764814431,16.616949811,17.6532307325,1.85570042483,0.540355347073,139.145418322,cold,139.868129227,-0.516708780616526,1.0,100.0,67.649732955,49.0316880573,93.254970614,200.0614705994028,0.8284759521484375,0.0,0.6898002624511719,4.86358642578125,355.89220809936523,355.892276763916
2048,core_timing,0,unknown,evict-first,evict-first,46.911234417,cold,42.061672778,11.529645205971262,1.1082098151213,55.410490756065,1.852949136,4.39520636489,5.508861283,13.1399369052,14.3847954572,1.80550744456,0.530444747671,93.154107747,cold,108.390862958,-14.057232127494036,1.290405163405674,64.5202581702837,49.853672318,46.4146872515,66.32919018,157.69508390710726,1.6747398376464844,0.0,1.3650474548339844,0.009235382080078125,376.87865447998047,376.87896728515625
4096,core_timing,0,unknown,evict-first,evict-first,62.507473374,cold,42.689350469,46.424044140450114,1.0919153864111701,27.297884660279255,4.165083918,9.75672825246,7.676955865,17.9754001423,19.9831391958,1.81669267036,0.538974319637,123.854680849,cold,91.252899403,35.72684447210912,1.5327527140732335,38.318817851830836,35.88096773,41.2187048007,48.563548934,113.76033694695286,3.3549842834472656,0.0,2.876361846923828,0.00551605224609375,410.31850814819336,410.3268623352051
8192,core_timing,0,unknown,evict-first,evict-first,93.117327381,cold,46.550106274,100.03676647460105,1.0013545047272046,12.516931309090056,8.101457416,17.3976546809,13.141082794,28.2405001084,29.3830963628,1.72240306236,0.532462841834,94.907133982,cold,77.182858279,22.964005348092222,1.8121657106997224,22.65207138374653,25.647894822,32.8755777653,30.632752005,65.80597652063697,6.605617523193359,0.01102447509765625,6.605937957763672,0.06427383422851562,471.95212173461914,471.9634666442871
