experiment,processes,repetitions,stage,category,time_avg_s,time_max_s,max_over_avg,max_percent_of_total,cache_valid_repetitions,cache_miss_rate_percent,ipc,io_valid_repetitions,minor_faults_total,major_faults_total,logical_read_total_bytes,logical_write_total_bytes,physical_read_total_bytes,physical_write_total_bytes,send_messages_total,receive_messages_total,send_total_bytes,receive_total_bytes,send_max_rank_bytes,receive_max_rank_bytes
strong_scaling_core_timing_l2_r2_20260810-225842,1,3,adjacency_build,compute,0.00248666300013,0.00248666300013,1.0,0.000348977996558,0,nan,nan,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_core_timing_l2_r2_20260810-225842,1,3,coarse_edge_mesh,setup,0.0142791530001,0.0142791530001,1.0,0.00196557373156,0,nan,nan,3,521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_core_timing_l2_r2_20260810-225842,1,3,coarse_local_size,setup,0.547807441,0.547807441,1.0,0.0754075480511,0,nan,nan,3,7937.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_core_timing_l2_r2_20260810-225842,1,3,coarse_mesh_save,io,0.0,0.0,0.0,0.0,0,nan,nan,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_core_timing_l2_r2_20260810-225842,1,3,coarse_surface_mesh,setup,8.713187911,8.713187911,1.0,1.19939980165,0,nan,nan,3,15707.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_core_timing_l2_r2_20260810-225842,1,3,coarse_volume_mesh,setup,14.150878813,14.150878813,1.0,1.96635751717,0,nan,nan,3,29941.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_core_timing_l2_r2_20260810-225842,1,3,element_count_allgather,communication,1.0360000033e-05,1.0360000033e-05,1.0,1.45392120109e-06,0,nan,nan,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,4.0,4.0
strong_scaling_core_timing_l2_r2_20260810-225842,1,3,face_allgatherv,communication,0.047620381,0.047620381,1.0,0.00663813680085,0,nan,nan,3,738.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4859624.0,4859624.0,4859624.0,4859624.0
strong_scaling_core_timing_l2_r2_20260810-225842,1,3,face_collective_setup,compute,0.000159122000014,0.000159122000014,1.0,2.19036817757e-05,0,nan,nan,3,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_core_timing_l2_r2_20260810-225842,1,3,face_global_merge,compute,0.0778562420001,0.0778562420001,1.0,0.0109059051369,0,nan,nan,3,294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
