algorithm,timing,ranks,partition_seed,repeat,stage,mean_seconds,max_seconds,calls_sum
balance,natural,2048,41,1,adjacency_build,0.012219311224614726,0.027429308000137098,2048
balance,natural,2048,41,1,element_count_allgather,0.0035644944541026735,0.005860497999947256,2048
balance,natural,2048,41,1,face_allgatherv,0.8476647453281208,1.5562158739999177,2048
balance,natural,2048,41,1,face_collective_setup,0.00022430169579812365,0.0010824160003721772,2048
balance,natural,2048,41,1,face_global_merge,0.09105604711523063,0.11856224500024837,2048
balance,natural,2048,41,1,face_local_extract,0.012223425661122889,0.015675920999910886,2048
balance,natural,2048,41,1,face_map_setup,0.007409410161619556,0.016342657999757648,2048
balance,natural,2048,41,1,face_pipeline_total,0.9620710523564471,1.6744819179998558,2048
balance,natural,2048,41,1,local_volume_mesh,40.29821563851954,56.35700734800048,16384
balance,natural,2048,41,1,metis_partition,2.998785645865241,3.028837819000273,2048
balance,natural,2048,41,1,part_face_create,0.0716094045678548,0.10077948299976924,16384
balance,natural,2048,41,1,submesh_initialization,0.00014390185206059058,0.00033206300031451974,2048
balance,natural,2048,41,1,surface_refine,0.01721107529785626,0.030373587999292795,16384
balance,natural,2048,41,1,task_completion_wait,16.077640101350095,48.426568209999914,2048
balance,natural,2048,41,1,task_dispatch,0.1278242990273355,0.14552301800040368,18431
balance,natural,2048,41,1,task_geometry_setup,0.41448644323388306,0.43799973199975284,2048
balance,natural,2048,41,1,task_merge,0.01415744821630871,0.02163238699995418,2048
balance,natural,2048,41,1,task_metadata,0.0,0,0
balance,natural,2048,41,1,task_scheduler_service,0.027643408516113244,56.61370064099992,1
balance,natural,2048,41,1,vertex_count_allgather,1.9847616455034194,4.998177832999772,2048
balance,natural,2048,41,1,vertex_exchange,0.04415048649023756,0.08653739100009261,2048
balance,natural,2048,41,1,vertex_exchange_prepare,0.0003830347485360708,0.0012797350000255392,2048
balance,natural,2048,41,1,vertex_exchange_unpack,0.008576188845209387,0.030563165000330628,2048
balance,natural,2048,41,1,vertex_numbering_local,0.046551051839354596,0.12525167300009343,2048
balance,natural,2048,41,1,volume_exchange_pack,0.7201203474716822,1.3028052429999661,2048
balance,natural,2048,41,1,volume_exchange_unpack,0.8413782273242159,1.7191915460002747,2048
balance,natural,2048,41,1,volume_payload_exchange,0.11370639254541182,0.2037008799998148,2048
balance,natural,2048,41,1,volume_payload_prepare,0.007843200975585773,0.019843725000100676,2048
balance,natural,2048,41,1,volume_refine,2.1769008166245136,3.5592149169997356,2048
balance,natural,2048,41,1,volume_size_exchange,0.6124459017211947,1.3943602770000325,2048
balance,natural,2048,41,2,adjacency_build,0.012241548030273885,0.0255749300001753,2048
balance,natural,2048,41,2,element_count_allgather,0.0020033077382829445,0.00469851100001506,2048
balance,natural,2048,41,2,face_allgatherv,0.8463240588681631,1.5401087029999871,2048
balance,natural,2048,41,2,face_collective_setup,0.00022700857079838155,0.0009787729998151917,2048
balance,natural,2048,41,2,face_global_merge,0.09116022573877092,0.11960637400011365,2048
balance,natural,2048,41,2,face_local_extract,0.01217153257617365,0.027253121000057945,2048
balance,natural,2048,41,2,face_map_setup,0.007405462945800023,0.009560176000150022,2048
balance,natural,2048,41,2,face_pipeline_total,0.9607865423290999,1.6596831040001234,2048
balance,natural,2048,41,2,local_volume_mesh,40.30693570338233,57.420320167999876,16384
balance,natural,2048,41,2,metis_partition,3.042853508943848,3.0648696549999386,2048
balance,natural,2048,41,2,part_face_create,0.07165430351366947,0.10542465399976209,16384
balance,natural,2048,41,2,submesh_initialization,0.00016697178271557478,0.024027674999956616,2048
balance,natural,2048,41,2,surface_refine,0.017232104464357634,0.035429726000188566,16384
balance,natural,2048,41,2,task_completion_wait,17.128738100603027,50.28862330599998,2048
balance,natural,2048,41,2,task_dispatch,0.12852092330567,0.14676219199998286,18431
balance,natural,2048,41,2,task_geometry_setup,0.41430073300439385,0.4775431360000084,2048
balance,natural,2048,41,2,task_merge,0.014139124155273297,0.030609710000135237,2048
balance,natural,2048,41,2,task_metadata,0.0,0,0
balance,natural,2048,41,2,task_scheduler_service,0.028161730386718764,57.67522383200003,1
balance,natural,2048,41,2,vertex_count_allgather,2.0647558841518565,5.076729291999982,2048
balance,natural,2048,41,2,vertex_exchange,0.04539513519628957,0.09645238899997821,2048
balance,natural,2048,41,2,vertex_exchange_prepare,0.0003855391054670143,0.001576877999923454,2048
balance,natural,2048,41,2,vertex_exchange_unpack,0.008577473795409074,0.031741629999942234,2048
balance,natural,2048,41,2,vertex_numbering_local,0.04652355636181793,0.11292737200005831,2048
balance,natural,2048,41,2,volume_exchange_pack,0.7196874961376962,1.31186346100003,2048
balance,natural,2048,41,2,volume_exchange_unpack,0.8494511785532235,1.7832625549999648,2048
balance,natural,2048,41,2,volume_payload_exchange,0.11487684695166267,0.2086816670000644,2048
balance,natural,2048,41,2,volume_payload_prepare,0.007923510030272918,0.017999928999870463,2048
balance,natural,2048,41,2,volume_refine,2.1729942122895496,3.6604115479999564,2048
balance,natural,2048,41,2,volume_size_exchange,0.6242088576689455,1.407096700000011,2048
balance,natural,2048,41,3,adjacency_build,0.012152919778808613,0.02771294800004398,2048
balance,natural,2048,41,3,element_count_allgather,0.0024915272553682755,0.004509938999945007,2048
balance,natural,2048,41,3,face_allgatherv,0.8642427535283234,1.5733106469999711,2048
balance,natural,2048,41,3,face_collective_setup,0.00022796396435598165,0.0009698930000467954,2048
balance,natural,2048,41,3,face_global_merge,0.09115161931933458,0.11918672599995261,2048
balance,natural,2048,41,3,face_local_extract,0.01221442818505969,0.015554199999996854,2048
balance,natural,2048,41,3,face_map_setup,0.00740320088330193,0.009533419000035792,2048
balance,natural,2048,41,3,face_pipeline_total,0.9787510481357421,1.692344076999916,2048
balance,natural,2048,41,3,local_volume_mesh,40.30638800686086,58.73589790099982,16384
balance,natural,2048,41,3,metis_partition,2.9156107328090837,2.947802847000048,2048
