algorithm,timing,ranks,successful_repeats,core_median,core_cv,face_pipeline_seconds_median,face_exchange_seconds_median,vertex_wait_seconds_median,compute_imbalance_median,element_imbalance_median,volume_elements_sum_median,face_payload_receive_bytes_median,predicted_actual_correlation_median,compute_wait_correlation_median,cut_before_median,cut_after_median,partition_moves_median,speedup_vs_baseline
balance,natural,8192,5,18.7663455039999,0.004626619604993876,6.66488818699986,6.389201462999836,,1.4412683888217264,2.1635061817114876,3231747072,39805180184,0.12497633716163864,,27897,28402,2204,0.9828022663266442
balance,split,8192,5,18.864339971999925,0.004473991679075693,6.755393271000003,6.3884149729999535,12.118340379000074,1.4403942817442226,2.1635061817114876,3231747072,39805180184,0.12486268244603901,-0.2753116652160796,27897,28402,2204,0.9821018243680346
baseline,natural,8192,5,18.443606891999934,0.003939990586624346,6.633001009999987,6.358351352999989,,1.5180705738440816,2.4651436516174496,3225937920,39805180184,0.1625383459586319,,27897,27897,0,1.0
baseline,split,8192,5,18.526702701999966,0.005733545650086731,6.664755553999839,6.336631218000093,10.960219875000007,1.5146178628310338,2.4651436516174496,3225937920,39805180184,0.16260088199935835,-0.2786693863928041,27897,27897,0,1.0
combined,natural,8192,5,12.992100533000212,0.0004819903540081178,0.6175728059999983,0.3367538820000391,,1.4381497393220066,2.1635061817114876,3231747072,67358592,0.12433971929231319,,27897,28402,2204,1.4196016144697141
combined,split,8192,5,13.051930751999862,0.006292312052763731,0.6490834470000664,0.3255181240001548,6.607280459000322,1.4384181631444595,2.1635061817114876,3231747072,67358592,0.12338989710671266,-0.9999992154733909,27897,28402,2204,1.4194606954347533
sparse,natural,8192,5,13.208285740999997,0.006927200613939368,0.6112618049996854,0.34412915200002203,,1.51546149298886,2.4651436516174496,3225937920,65856952,0.16349696526374927,,27897,27897,0,1.3963664364671422
sparse,split,8192,5,13.374981347999892,0.01181573877407076,0.6530721320000339,0.3361288259999924,6.023931404999985,1.5185896648867692,2.4651436516174496,3225937920,65856952,0.16288693985963695,-0.9999968000139612,27897,27897,0,1.38517596548054
