algorithm,timing,ranks,repeat,stage,mean_seconds,max_seconds,calls_sum
balance,natural,8192,1,adjacency_build,0.015020964053221814,0.04883925900003305,8192
balance,natural,8192,1,element_count_allgather,0.01804787433911359,0.041566039999906934,8192
balance,natural,8192,1,face_allgatherv,3.15797215544873,6.389201462999836,8192
balance,natural,8192,1,face_collective_setup,0.00017755114306605702,0.0015696810000918049,8192
balance,natural,8192,1,face_global_merge,0.09222597591247789,0.12623426000004656,8192
balance,natural,8192,1,face_local_extract,0.1752335147310787,0.22917216400014695,8192
balance,natural,8192,1,face_map_setup,0.0084798034364017,0.013043387999914557,8192
balance,natural,8192,1,face_pipeline_total,3.4377836347269306,6.66488818699986,8192
balance,natural,8192,1,local_volume_mesh,5.386380789051393,7.718958075000046,8192
balance,natural,8192,1,metis_partition,3.214806053152956,3.2688869659998545,8192
balance,natural,8192,1,metis_seed,0.00030427082165529473,2.4925865710001744,1
balance,natural,8192,1,part_face_create,0.029956375861817985,0.056031211000117764,8192
balance,natural,8192,1,partition_cost_balance,3.868770947265676e-05,0.3169297160000042,1
balance,natural,8192,1,partition_cost_setup,4.63467866210765e-05,0.37967287599985866,1
balance,natural,8192,1,partition_distribution,3.2142857142330343,3.2687521240000024,8192
balance,natural,8192,1,submesh_initialization,0.00021473284094394862,0.021015123000097446,8192
balance,natural,8192,1,surface_refine,0.004340761578125629,0.017426857999907952,8192
balance,natural,8192,1,vertex_count_allgather,5.381533688910155,11.988180577999856,8192
balance,natural,8192,1,vertex_exchange,0.00933539539245995,0.04010617399990224,8192
balance,natural,8192,1,vertex_exchange_prepare,8.926104577630656e-05,0.0017701629999464785,8192
balance,natural,8192,1,vertex_exchange_unpack,0.0031638202077631516,0.011285603000033007,8192
balance,natural,8192,1,vertex_numbering_local,0.013840244315430295,0.03191378899987285,8192
balance,natural,8192,1,volume_exchange_pack,0.1623001698747555,0.3060866119999446,8192
balance,natural,8192,1,volume_exchange_unpack,0.18855871994628703,0.4310355459999755,8192
balance,natural,8192,1,volume_payload_exchange,0.019778451858276314,0.0473323540002184,8192
balance,natural,8192,1,volume_payload_prepare,0.0026916916751698328,0.005850713999961954,8192
balance,natural,8192,1,volume_refine,0.44312431026098664,0.7343849809999483,8192
balance,natural,8192,1,volume_size_exchange,0.15892880467358358,0.2558767419998276,8192
balance,natural,8192,2,adjacency_build,0.014992346296759829,0.040827075999914086,8192
balance,natural,8192,2,element_count_allgather,0.00884137214550601,0.013436348000141152,8192
balance,natural,8192,2,face_allgatherv,3.145554142428955,6.397229860999687,8192
