rank,host,total_wall_seconds,coarse_points,coarse_surface_elements,coarse_volume_elements,facemap_entries,physical_boundary_faces,partition_boundary_faces,local_points_before_adjacency,local_surface_elements_before_adjacency,local_volume_elements_before_adjacency,shared_vertices,adjacent_processes,vertex_send_items,vertex_receive_items,volume_send_items,volume_receive_items,local_points_after_adjacency,local_surface_elements_after_adjacency,local_volume_elements_after_adjacency,peak_rss_mib,hardware_cache_available,process_io_available
0,cn4713,42.848633041,8067,12694,26411,15125,12694,2431,161733,72192,859520,12193,6,12174,84,23652,23794,172008,72192,883314,377.57421875,0,1
1,cn4714,42.805336457,8067,12694,26411,15125,12694,2431,144801,66048,767360,9553,5,5148,4485,18620,18518,152964,66048,785878,377.37890625,0,1
2,cn4715,42.733386974,8067,12694,26411,15125,12694,2431,135157,51712,731648,1241,2,412,831,2315,2315,136246,51712,733963,349.28125,0,1
3,cn4716,42.87316067,8067,12694,26411,15125,12694,2431,192229,104448,992192,8403,6,3726,4728,16011,15944,199387,104448,1008136,384.8046875,0,1
4,cn4717,42.772453914,8067,12694,26411,15125,12694,2431,121017,56320,639488,10728,4,10683,65,20902,20936,130116,56320,660424,349.92578125,0,1
5,cn4718,42.81895216,8067,12694,26411,15125,12694,2431,155381,79872,809600,8321,5,4657,3714,15990,15950,162272,79872,825550,373.75390625,0,1
6,cn4719,42.832524037,8067,12694,26411,15125,12694,2431,152307,72192,803008,13688,5,3278,10441,26574,26571,163752,72192,829579,374.93359375,0,1
7,cn4720,42.863297278,8067,12694,26411,15125,12694,2431,181304,97792,936896,9202,5,1513,7706,17517,17516,189078,97792,954412,376.31640625,0,1
8,cn4721,42.870506994,8067,12694,26411,15125,12694,2431,145325,73216,759552,12961,5,13019,53,25463,25444,156105,73216,784996,370.640625,0,1
9,cn4722,42.877916249,8067,12694,26411,15125,12694,2431,172751,95744,889152,7337,3,3916,3455,14339,14262,178890,95744,903414,383.99609375,0,1
10,cn4723,42.819782796,8067,12694,26411,15125,12694,2431,128071,67072,665280,10338,5,6746,3625,20236,20294,136685,67072,685574,375.74609375,0,1
11,cn4724,42.839596462,8067,12694,26411,15125,12694,2431,166453,49664,925952,3441,1,0,3441,6778,6802,169148,49664,932754,352.0234375,0,1
12,cn4725,42.858786232,8067,12694,26411,15125,12694,2431,172240,86528,900160,8778,5,5534,3280,16735,16739,179599,86528,916899,375.890625,0,1
13,cn4726,42.74720061,8067,12694,26411,15125,12694,2431,109881,51712,579712,9024,5,4600,4473,17653,17538,117672,51712,597250,349.84765625,0,1
14,cn4727,42.83417535,8067,12694,26411,15125,12694,2431,149713,71168,788992,13049,5,3187,9896,25619,25726,160567,71168,814718,370.68359375,0,1
15,cn4728,42.787040251,8067,12694,26411,15125,12694,2431,144149,74752,749952,6641,4,0,6641,12932,12963,149639,74752,762915,376.421875,0,1
16,cn4729,42.838079395,8067,12694,26411,15125,12694,2431,96975,48640,507072,13736,6,13589,187,27251,27177,108335,48640,534249,367.5234375,0,1
17,cn4730,42.727958822,8067,12694,26411,15125,12694,2431,100697,46592,532480,11081,4,7356,3896,21915,21949,109928,46592,554429,353.84375,0,1
18,cn4731,42.743096001,8067,12694,26411,15125,12694,2431,104903,54784,545216,12913,6,7752,5294,25362,25358,115746,54784,570574,349.7734375,0,1
19,cn4732,42.782733163,8067,12694,26411,15125,12694,2431,129382,73728,662528,11514,6,6414,5164,22632,22451,138918,73728,684979,375.5546875,0,1
20,cn4733,42.843421543,8067,12694,26411,15125,12694,2431,173571,88576,905536,9609,6,4545,5161,18795,18866,181585,88576,924402,375.359375,0,1
21,cn4734,42.796305576,8067,12694,26411,15125,12694,2431,146405,73216,765952,10017,6,3454,6578,19596,19677,154547,73216,785629,380.47265625,0,1
22,cn4735,42.825786916,8067,12694,26411,15125,12694,2431,159309,79872,833280,10153,6,3956,6232,19894,19926,167585,79872,853206,373.6015625,0,1
23,cn4736,42.778317756,8067,12694,26411,15125,12694,2431,137021,64512,722944,8601,6,0,8601,16857,16808,144374,64512,739752,351.53125,0,1
24,cn4737,42.80177677,8067,12694,26411,15125,12694,2431,130433,69632,675328,14920,7,14836,125,29162,29216,142843,69632,704544,369.71875,0,1
25,cn4738,42.782632796,8067,12694,26411,15125,12694,2431,141689,66048,748800,6081,4,4076,2099,11870,11834,146884,66048,760634,369.56640625,0,1
26,cn4739,42.822277789,8067,12694,26411,15125,12694,2431,170049,81408,895360,7626,3,2647,5010,14734,14716,176269,81408,910076,373.37109375,0,1
