stage,category,time_min_s,time_avg_s,time_max_s,max_over_avg,max_percent_of_total,cache_references_total,cache_misses_total,cache_miss_rate_percent,instructions_total,cycles_total,ipc,minor_faults_total,major_faults_total,rchar_total_bytes,wchar_total_bytes,physical_read_total_bytes,physical_write_total_bytes,send_messages_total,receive_messages_total,send_total_bytes,receive_total_bytes,send_max_rank_bytes,receive_max_rank_bytes
geometry_load,io,1.719102004,1.73759571988,1.767184431,1.01702853592,1.48719846597,0,0,0,0,0,0,45637,0,8280737,0,0,0,0,0,0,0,0,0
coarse_local_size,setup,0.446296861,0.462402641625,0.469548385,1.01545350898,0.395154928723,0,0,0,0,0,0,73010,0,0,0,0,0,0,0,0,0,0,0
coarse_edge_mesh,setup,0.012139299,0.0126374900001,0.0130828310002,1.03523967181,0.0110100371262,0,0,0,0,0,0,4030,0,0,0,0,0,0,0,0,0,0,0
coarse_surface_mesh,setup,8.193010648,8.31757645975,8.506071331,1.02266223487,7.15840181308,0,0,0,0,0,0,136208,0,0,0,0,0,0,0,0,0,0,0
coarse_volume_mesh,setup,14.197670911,14.4854646798,14.99491123,1.03516950001,12.6191746529,0,0,0,0,0,0,230152,0,0,0,0,0,0,0,0,0,0,0
coarse_mesh_save,io,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
submesh_initialization,setup,0.000115981000363,0.000240520500142,0.000369025000055,1.53427670338,0.000310558085709,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0
metis_partition,compute,0.120507712,0.121770405875,0.125329154,1.02922506581,0.105472480575,0,0,0,0,0,0,2684,0,0,0,0,0,0,0,0,0,0,0
face_map_setup,compute,0.0075457590001,0.00772357349996,0.00779612099996,1.00939299665,0.00656093330627,0,0,0,0,0,0,1692,0,0,0,0,0,0,0,0,0,0,0
face_local_extract,compute,0.162201236,0.1708734965,0.176022256,1.03013199592,0.148133960727,0,0,0,0,0,0,6787,0,0,0,0,0,0,0,0,0,0,0
face_pre_collective_wait,synchronization,2.21209998017e-05,0.008621678,0.017648991,2.04704826601,0.014852752141,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
face_collective_setup,compute,0.000108401000034,0.000120709125042,0.000153001999934,1.26752637698,0.000128760946283,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0
face_allgatherv,communication,0.0620107690002,0.0623788961251,0.0626191169999,1.00385099593,0.0526979827963,0,0,0,0,0,0,8411,0,0,0,0,0,8,8,4859624,38876992,607936,4859624
