experiment,processes,page_cache_policy,cold_cache_state,cold_repetitions,warm_repetitions,cold_total_wall_max_s,warm_total_wall_max_s,cold_over_warm,cold_penalty_percent,cold_speedup,warm_speedup,cold_parallel_efficiency_percent,warm_parallel_efficiency_percent,warm_total_time_cv_percent,cold_communication_max_s,warm_communication_max_s,cold_communication_fraction_max_percent,warm_communication_fraction_max_percent,cold_arrival_wait_max_s,warm_arrival_wait_max_s,cold_arrival_wait_fraction_max_percent,warm_arrival_wait_fraction_max_percent,cold_communication_plus_wait_fraction_max_percent,warm_communication_plus_wait_fraction_max_percent,cold_io_max_s,warm_io_max_s,cold_io_fraction_max_percent,warm_io_fraction_max_percent,cold_physical_read_total_bytes,warm_physical_read_total_bytes,cold_physical_write_total_bytes,warm_physical_write_total_bytes,cold_cache_miss_rate_percent,warm_cache_miss_rate_percent,cold_ipc,warm_ipc
core_timing,1024,evict-first,cold,1,5,61.401847835,46.613158613,1.3172642588926715,31.72642588926715,1.0,1.0,100.0,100.0,0.24276173496578557,0.97125313,0.987312653,1.58179788434,2.11150328522,7.606334097,7.764814431,12.3877934707,16.616949811,13.3122365974,17.6532307325,17.385551485,1.905159018,28.3143783095,4.09904496065,889569280.0,0.0,0.0,0.0,nan,nan,nan,nan
core_timing,2048,evict-first,cold,1,5,46.911234417,42.061672778,1.1152964520597126,11.529645205971262,1.3088943106717479,1.1082098151213,65.4447155335874,55.410490756065,0.5316304660402372,1.812920902,1.852949136,3.86457726924,4.39520636489,5.545257746,5.508861283,11.8207457444,13.1399369052,13.290887508,14.3847954572,7.32208731,1.895380222,15.6083876304,4.51278430953,1798238208.0,0.0,0.0,0.0,nan,nan,nan,nan
core_timing,4096,evict-first,cold,1,5,62.507473374,42.689350469,1.4642404414045012,46.424044140450114,0.9823121063879078,1.0919153864111701,24.557802659697696,27.297884660279255,0.23198815730586864,8.080210209,4.165083918,12.9267906265,9.75672825246,10.295163054,7.676955865,16.470291468,17.9754001423,23.3694367081,19.9831391958,15.670915874,1.948498976,25.0704676227,4.58710598298,3602386944.0,0.0,0.0,0.0,nan,nan,nan,nan
core_timing,8192,evict-first,cold,1,5,93.117327381,46.550106274,2.0003676647460105,100.03676647460105,0.6594030301553593,1.0013545047272046,8.242537876941991,12.516931309090056,8.592138554290733,32.808491409,8.101457416,35.2334977085,17.3976546809,34.087207184,13.141082794,36.6067284605,28.2405001084,47.1372074806,29.3830963628,18.747078222,1.923437743,20.1327494563,4.13771970066,7092727808.0,11837440.0,0.0,0.0,nan,nan,nan,nan
