arrival_wait_fraction_avg_percent,arrival_wait_fraction_max_percent,cache_available_ranks,cache_miss_rate_percent,cache_misses_total,cache_references_total,communication_avg_s,communication_fraction_avg_percent,communication_fraction_max_percent,communication_max_s,communication_plus_wait_fraction_avg_percent,communication_plus_wait_fraction_max_percent,compute_avg_s,compute_max_s,core_only,cycles_total,experiment,instructions_total,io_avg_s,io_counter_available_ranks,io_fraction_max_percent,io_max_s,ipc,local_volume_elements_avg,local_volume_elements_max,logical_read_total_bytes,logical_write_total_bytes,major_faults_total,minor_faults_total,peak_rss_avg_mib,peak_rss_max_mib,physical_read_total_bytes,physical_write_total_bytes,postprocess_avg_s,postprocess_max_s,processes,profile_coverage_percent,repeat,setup_avg_s,setup_max_s,source_file,synchronization_avg_s,synchronization_max_s,timestamp,total_wall_avg_s,total_wall_max_s,unprofiled_avg_s,unprofiled_max_s,volume_alltoall_max_s,volume_alltoall_p95_s,volume_alltoall_p99_s,volume_alltoall_wait_max_s,volume_alltoall_wait_p95_s,volume_alltoall_wait_p99_s,volume_directed_edges,volume_edge_density,volume_graph_capture,volume_imbalance_max_over_avg,volume_payload_max_s,volume_payload_p95_s,volume_payload_p99_s,volume_receive_bytes_avg,volume_receive_bytes_max,volume_receive_bytes_p95,volume_receive_bytes_p99,volume_receive_neighbors_avg,volume_receive_neighbors_max,volume_receive_neighbors_p95,volume_receive_neighbors_p99,volume_send_bytes_avg,volume_send_bytes_max,volume_send_bytes_p95,volume_send_bytes_p99,volume_send_neighbors_avg,volume_send_neighbors_max,volume_send_neighbors_p95,volume_send_neighbors_p99,volume_waitall_max_s,volume_waitall_p95_s,volume_waitall_p99_s
6.9269140325,12.3877934707,0,0,0,0,0.579218883612,0.954736932791,1.58179788434,0.97125313,7.88165096529,13.3122365974,14.2341413566,17.684116255,1,0,core_timing,0,2.44613174661,1024,28.3143783095,17.385551485,0,2356607.5,3682816,1059940061,0,34,108907009,866.082275391,1025.83984375,889569280,0,0,0,1024,73.8370025769,1,23.3334561416,24.56424229,/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/strong_scaling_suite_pp16_20260813-042903/modes/core_timing/p01024/repeat_01_20260813-043014/run_summary.csv,4.20241353925,7.606334097,20260813-043014,60.6679037669,61.401847835,15.8725420992,16.842812789,0.0126370170001,0.01090224735,0.01176823525,0.866790091,0.68734432825,0.76891320976,6866,0.00655432856794,0,1.56276172422,0.113845821,0.10234107005,0.10900619791,10456354.9219,20682360,15256182,16755546,6.705078125,15,11,13,10456354.9219,20661240,15246966,16730982,6.705078125,15,11,13,0.110274989,0.099068179,0.10663490207
9.47507541123,16.616949811,0,0,0,0,0.561434959665,1.22028075692,2.03757304689,0.952122789,10.6953561681,17.8137773233,14.2324520692,17.755814226,1,0,core_timing,0,1.76632460964,1024,4.35752737095,2.036197485,0,2356607.5,3682816,1059934295,0,0,113126244,866.381847382,1023.3984375,11550720,0,0,0,1024,96.0138071129,2,23.2551087843,24.630294676,/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/strong_scaling_suite_pp16_20260813-042903/modes/core_timing/p01024/repeat_02_20260813-043105/run_summary.csv,4.35935628025,7.764814431,20260813-043105,46.008671077,46.728277568,1.83399437393,2.38867166,0.01700336,0.014616438,0.0146939505198,0.98399268,0.8024969154,0.8722379892,6866,0.00655432856794,0,1.56276172422,0.0989905629999,0.0883039055499,0.09500063182,10456354.9219,20682360,15256182,16755546,6.705078125,15,11,13,10456354.9219,20661240,15246966,16730982,6.705078125,15,11,13,0.0972292490001,0.0864756546999,0.09298152916
9.26412772808,16.5167082924,0,0,0,0,0.603596574109,1.31877317078,2.1818887283,1.014100852,10.5829008989,17.584715825,14.2301848049,17.704793933,1,0,core_timing,0,1.76256792101,1024,4.09904496065,1.905159018,0,2356607.5,3682816,1059934209,0,0,113247052,866.48008728,1024.75,0,0,0,0,1024,96.3115455635,3,23.2448639993,24.440664679,/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/strong_scaling_suite_pp16_20260813-042903/modes/core_timing/p01024/repeat_03_20260813-043155/run_summary.csv,4.24014977153,7.676655429,20260813-043155,45.7695521476,46.478119569,1.68818907677,2.399344424,0.0294182110001,0.0292476505501,0.02929833466,0.948691667,0.7686450274,0.849523639,6866,0.00655432856794,0,1.56276172422,0.10838066,0.0929249198001,0.10449466737,10456354.9219,20682360,15256182,16755546,6.705078125,15,11,13,10456354.9219,20661240,15246966,16730982,6.705078125,15,11,13,0.106817998,0.0906040066499,0.10250966252
9.50542785285,16.6944189873,0,0,0,0,0.589096850526,1.2847658543,2.14022501071,0.99709618,10.7901937071,17.6912750619,14.2300742094,17.707129027,1,0,core_timing,0,1.76411343216,1024,4.0536103224,1.888511417,0,2356607.5,3682816,1059934209,0,0,113147585,866.431995392,1024.4140625,0,0,0,0,1024,96.3739534271,4,23.2480782847,24.45974021,/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/strong_scaling_suite_pp16_20260813-042903/modes/core_timing/p01024/repeat_04_20260813-043245/run_summary.csv,4.35847325198,7.777659506,20260813-043245,45.8524678684,46.588380895,1.66263183972,2.179026664,0.0212363370001,0.01798638635,0.0180304711201,0.971332606,0.78935198355,0.86143378458,6866,0.00655432856794,0,1.56276172422,0.106732898,0.0970476282,0.10416216856,10456354.9219,20682360,15256182,16755546,6.705078125,15,11,13,10456354.9219,20661240,15246966,16730982,6.705078125,15,11,13,0.105202019,0.0950649928,0.10185931571
9.47767905875,16.7561329444,0,0,0,0,0.578339244534,1.25612821916,2.11150328522,0.987312653,10.7338072779,17.6532307325,14.2304229685,17.694166915,1,0,core_timing,0,1.76305340197,1024,4.11071295884,1.922118211,0,2356607.5,3682816,1059934209,0,0,112983811,866.454780579,1025.14453125,0,0,0,0,1024,95.9587858143,5,23.245312274,24.652424638,/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/strong_scaling_suite_pp16_20260813-042903/modes/core_timing/p01024/repeat_05_20260813-043335/run_summary.csv,4.36365783616,7.834959191,20260813-043335,46.0414180424,46.758755239,1.86063231725,2.429717824,0.0208485620001,0.0199992687,0.02001709787,0.958956353,0.7877464194,0.84788940069,6866,0.00655432856794,0,1.56276172422,0.113779569,0.1012075172,0.10714707811,10456354.9219,20682360,15256182,16755546,6.705078125,15,11,13,10456354.9219,20661240,15246966,16730982,6.705078125,15,11,13,0.111567998,0.0993101863501,0.10482448149
9.34012604929,16.5067964518,0,0,0,0,0.585585772953,1.27630485155,2.1077560119,0.982491653,10.6164309008,17.6392565354,14.2327573373,17.731100864,1,0,core_timing,0,1.76345860121,1024,4.01487585413,1.87146045,0,2356607.5,3682816,1059934209,0,0,113177857,866.510433197,1026.41796875,0,0,0,0,1024,96.137807303,6,23.2421378479,24.516777684,/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/strong_scaling_suite_pp16_20260813-042903/modes/core_timing/p01024/repeat_06_20260813-043425/run_summary.csv,4.28537502259,7.694339212,20260813-043425,45.8813403586,46.613158613,1.77202577663,2.387854147,0.0211195080001,0.02104636045,0.02106939587,0.866129332,0.69040615525,0.74969014218,6866,0.00655432856794,0,1.56276172422,0.112560018,0.0914028565,0.10804606364,10456354.9219,20682360,15256182,16755546,6.705078125,15,11,13,10456354.9219,20661240,15246966,16730982,6.705078125,15,11,13,0.111570344,0.0896641131001,0.10594968998
6.82950519185,11.8207457444,0,0,0,0,0.97525899419,2.09432832367,3.86457726924,1.812920902,8.92383351552,13.290887508,11.099747766,13.966000887,1,0,core_timing,0,2.11828259516,2048,15.6083876304,7.32208731,0,1246533.5,1933824,2119880137,0,0,163680220,551.340820312,617.19140625,1798238208,0,0,0,2048,87.3846813755,1,23.3185750519,24.583768613,/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/strong_scaling_suite_pp16_20260813-042903/modes/core_timing/p02048/repeat_01_20260813-043202/run_summary.csv,3.18027325942,5.545257746,20260813-043202,46.5666716707,46.911234417,5.87453400407,6.556707617,0.018402423,0.0180484173,0.0181272129,0.685461011,0.57815309905,0.61731136214,13632,0.00325170981925,0,1.55136143553,0.0971160490001,0.0791195298,0.0940834643501,7141893.69141,11833320,9847512,10832654.4,6.65625,15,11,12,7141893.69141,11808960,9846036,10824190.8,6.65625,15,10,12,0.0955835889999,0.0774169818001,0.09240155457
7.22265593408,12.8925515411,0,0,0,0,0.974484501559,2.33937895539,4.31581375456,1.812652117,9.56203488947,14.3847954572,11.0993292176,13.762885855,1,0,core_timing,0,1.76474891326,2048,4.51278430953,1.895380222,0,1246533.5,1933824,2119868417,0,0,165424098,551.382490158,619.875,0,0,0,0,2048,96.2071620101,2,23.2285494959,24.543917723,/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/strong_scaling_suite_pp16_20260813-042903/modes/core_timing/p02048/repeat_02_20260813-043249/run_summary.csv,3.00864733849,5.414902536,20260813-043249,41.6556923927,42.000239586,1.57993292602,2.259319063,0.014746519,0.0133394137999,0.01337031027,0.462133635,0.35499302205,0.3922115727,13632,0.00325170981925,0,1.55136143553,0.0781171600001,0.0708326289,0.0760562623601,7141893.69141,11833320,9847512,10832654.4,6.65625,15,11,12,7141893.69141,11808960,9846036,10824190.8,6.65625,15,10,12,0.0771799280001,0.0693206083999,0.07431394921
7.40071818753,13.4088513687,0,0,0,0,1.00426109215,2.40830022135,4.36978328394,1.838003946,9.80901840889,14.6858597936,11.0997921128,13.748235467,1,0,core_timing,0,1.76371743852,2048,4.48095489913,1.884764587,0,1246533.5,1933824,2119868417,0,0,164938505,551.350032806,616.84765625,0,0,0,0,2048,96.3549300677,3,23.2261320113,24.453853666,/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/strong_scaling_suite_pp16_20260813-042903/modes/core_timing/p02048/repeat_03_20260813-043336/run_summary.csv,3.08609917643,5.639987186,20260813-043336,41.6999958413,42.061672778,1.51999401017,2.132445922,0.0358321159999,0.0357247832999,0.0357630037701,0.49189031,0.40027558165,0.44015423804,13632,0.00325170981925,0,1.55136143553,0.092890934,0.0742107788001,0.0880216816201,7141893.69141,11833320,9847512,10832654.4,6.65625,15,11,12,7141893.69141,11808960,9846036,10824190.8,6.65625,15,10,12,0.0918679000001,0.0726756713001,0.0861157475301
7.041217962,12.9651315492,0,0,0,0,1.01810968144,2.4277702376,4.39520636489,1.857861256,9.4689881996,14.2489038556,11.0969021087,13.814743016,1,0,core_timing,0,1.76339222024,2048,4.48139540304,1.89429351,0,1246533.5,1933824,2119868417,0,0,165802305,551.3782444,619.63671875,0,0,0,0,2048,95.529191066,4,23.2299107358,24.840854862,/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/strong_scaling_suite_pp16_20260813-042903/modes/core_timing/p02048/repeat_04_20260813-043423/run_summary.csv,2.95280503287,5.480383305,20260813-043423,41.93599813,42.270171222,1.87487835097,2.494588563,0.0343336000001,0.02499726645,0.0250405292699,0.47143062,0.35810222935,0.39742234057,13632,0.00325170981925,0,1.55136143553,0.094434091,0.0755763755501,0.0918328439599,7141893.69141,11833320,9847512,10832654.4,6.65625,15,11,12,7141893.69141,11808960,9846036,10824190.8,6.65625,15,10,12,0.093157457,0.0740574552502,0.09003953848
