rank,host,stage,category,time_s,calls,cache_references,cache_misses,cache_miss_rate_percent,instructions,cycles,ipc,minor_faults,major_faults,rchar_bytes,wchar_bytes,physical_read_bytes,physical_write_bytes,voluntary_context_switches,involuntary_context_switches,send_messages,receive_messages,send_bytes,receive_bytes
0,cn4335,geometry_load,io,2.106784908,1,0,0,0,0,0,0,5896,0,1035097,0,10432512,0,201,2,0,0,0,0
0,cn4335,coarse_local_size,setup,0.503417165,1,0,0,0,0,0,0,7538,0,0,0,0,0,208,128,0,0,0,0
0,cn4335,coarse_edge_mesh,setup,0.0150189870001,1,0,0,0,0,0,0,521,0,0,0,0,0,2,0,0,0,0,0
0,cn4335,coarse_surface_mesh,setup,8.50476155,1,0,0,0,0,0,0,14171,0,0,0,0,0,24,24,0,0,0,0
0,cn4335,coarse_volume_mesh,setup,14.095194084,1,0,0,0,0,0,0,32272,0,0,0,0,0,85297,2600507,0,0,0,0
0,cn4335,coarse_mesh_save,io,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,cn4335,submesh_initialization,setup,0.000187281999843,1,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0
0,cn4335,metis_partition,compute,0.3871746,1,0,0,0,0,0,0,2190,0,0,0,0,0,0,1,0,0,0,0
0,cn4335,face_map_setup,compute,0.00765176499999,1,0,0,0,0,0,0,578,0,0,0,0,0,0,0,0,0,0,0
0,cn4335,face_local_extract,compute,0.164972523,1,0,0,0,0,0,0,833,0,0,0,0,0,0,1,0,0,0,0
0,cn4335,face_pre_collective_wait,synchronization,0.0360527779999,1,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0
0,cn4335,face_collective_setup,compute,0.000145881000208,1,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
0,cn4335,face_allgatherv,communication,0.0876263489999,1,0,0,0,0,0,0,852,0,0,0,0,0,2,0,1,1,18952,4859624
0,cn4335,face_global_merge,compute,0.0787646109998,1,0,0,0,0,0,0,521,0,0,0,0,0,0,0,0,0,0,0
0,cn4335,part_face_create,compute,0.0199448609997,1,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
0,cn4335,surface_refine,compute,0.00621818900026,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
0,cn4335,refined_surface_save,io,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,cn4335,local_volume_mesh,compute,5.964454169,1,0,0,0,0,0,0,802,0,0,0,0,0,58059,1759233,0,0,0,0
0,cn4335,volume_refine,compute,0.209613337,1,0,0,0,0,0,0,3620,0,0,0,0,0,0,0,0,0,0,0
0,cn4335,refined_volume_save,io,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,cn4335,adjacency_build,compute,0.00472887200021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,cn4335,vertex_numbering_local,compute,0.00447910900039,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,cn4335,vertex_count_allgather,communication,2.517247005,1,0,0,0,0,0,0,11,0,0,0,0,0,0,2,1,1,4,1024
0,cn4335,element_count_allgather,communication,0.000481704999856,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1024
0,cn4335,vertex_exchange_prepare,compute,8.09999983176e-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,cn4335,vertex_exchange,communication,0.000534106000032,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,1,55836,352
0,cn4335,vertex_exchange_unpack,compute,1.69999998434e-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,cn4335,partition_result_io,io,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,cn4335,volume_exchange_pack,compute,0.0537790150001,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,cn4335,volume_size_exchange,communication,0.0593111560001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,8,8
0,cn4335,volume_payload_prepare,compute,4.66599999527e-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
