algorithm	timing	repeat	exit_code	directory
baseline	natural	0	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260906-231740/p8192/baseline_natural/repeat_0
balance	natural	0	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260906-231740/p8192/balance_natural/repeat_0
sparse	natural	0	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260906-231740/p8192/sparse_natural/repeat_0
combined	natural	0	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260906-231740/p8192/combined_natural/repeat_0
baseline	split	0	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260906-231740/p8192/baseline_split/repeat_0
balance	split	0	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260906-231740/p8192/balance_split/repeat_0
sparse	split	0	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260906-231740/p8192/sparse_split/repeat_0
combined	split	0	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260906-231740/p8192/combined_split/repeat_0
balance	natural	1	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260906-231740/p8192/balance_natural/repeat_1
sparse	natural	1	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260906-231740/p8192/sparse_natural/repeat_1
combined	natural	1	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260906-231740/p8192/combined_natural/repeat_1
baseline	natural	1	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260906-231740/p8192/baseline_natural/repeat_1
balance	split	1	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260906-231740/p8192/balance_split/repeat_1
sparse	split	1	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260906-231740/p8192/sparse_split/repeat_1
combined	split	1	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260906-231740/p8192/combined_split/repeat_1
baseline	split	1	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260906-231740/p8192/baseline_split/repeat_1
sparse	natural	2	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260906-231740/p8192/sparse_natural/repeat_2
combined	natural	2	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260906-231740/p8192/combined_natural/repeat_2
baseline	natural	2	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260906-231740/p8192/baseline_natural/repeat_2
balance	natural	2	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260906-231740/p8192/balance_natural/repeat_2
sparse	split	2	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260906-231740/p8192/sparse_split/repeat_2
combined	split	2	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260906-231740/p8192/combined_split/repeat_2
baseline	split	2	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260906-231740/p8192/baseline_split/repeat_2
balance	split	2	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260906-231740/p8192/balance_split/repeat_2
combined	natural	3	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260906-231740/p8192/combined_natural/repeat_3
baseline	natural	3	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260906-231740/p8192/baseline_natural/repeat_3
balance	natural	3	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260906-231740/p8192/balance_natural/repeat_3
sparse	natural	3	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260906-231740/p8192/sparse_natural/repeat_3
combined	split	3	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260906-231740/p8192/combined_split/repeat_3
baseline	split	3	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260906-231740/p8192/baseline_split/repeat_3
balance	split	3	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260906-231740/p8192/balance_split/repeat_3
sparse	split	3	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260906-231740/p8192/sparse_split/repeat_3
baseline	natural	4	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260906-231740/p8192/baseline_natural/repeat_4
balance	natural	4	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260906-231740/p8192/balance_natural/repeat_4
sparse	natural	4	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260906-231740/p8192/sparse_natural/repeat_4
combined	natural	4	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260906-231740/p8192/combined_natural/repeat_4
baseline	split	4	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260906-231740/p8192/baseline_split/repeat_4
balance	split	4	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260906-231740/p8192/balance_split/repeat_4
sparse	split	4	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260906-231740/p8192/sparse_split/repeat_4
combined	split	4	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260906-231740/p8192/combined_split/repeat_4
balance	natural	5	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260906-231740/p8192/balance_natural/repeat_5
sparse	natural	5	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260906-231740/p8192/sparse_natural/repeat_5
combined	natural	5	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260906-231740/p8192/combined_natural/repeat_5
baseline	natural	5	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260906-231740/p8192/baseline_natural/repeat_5
balance	split	5	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260906-231740/p8192/balance_split/repeat_5
sparse	split	5	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260906-231740/p8192/sparse_split/repeat_5
combined	split	5	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260906-231740/p8192/combined_split/repeat_5
baseline	split	5	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260906-231740/p8192/baseline_split/repeat_5
