rank,host,stage,category,time_s,calls,cache_references,cache_misses,cache_miss_rate_percent,instructions,cycles,ipc,minor_faults,major_faults,rchar_bytes,wchar_bytes,physical_read_bytes,physical_write_bytes,voluntary_context_switches,involuntary_context_switches,send_messages,receive_messages,send_bytes,receive_bytes
1,cn10242,coarse_mesh_save,io,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,cn10242,submesh_initialization,setup,0.000121322000041,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1,cn10242,metis_partition,compute,0.113917025,1,0,0,0,0,0,0,478,0,0,0,0,0,0,0,0,0,0,0
1,cn10242,face_map_setup,compute,0.00732240000002,1,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0
1,cn10242,face_local_extract,compute,0.171128171,1,0,0,0,0,0,0,780,0,0,0,0,0,0,0,0,0,0,0
1,cn10242,face_pre_collective_wait,synchronization,2.89599999519e-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,cn10242,face_collective_setup,compute,0.000156822000008,1,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
1,cn10242,face_allgatherv,communication,0.046953913,1,0,0,0,0,0,0,236,0,0,0,0,0,0,0,1,1,2429904,4859624
1,cn10242,face_global_merge,compute,0.077712789,1,0,0,0,0,0,0,362,0,0,0,0,0,0,0,0,0,0,0
1,cn10242,part_face_create,compute,0.031711426,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
1,cn10242,surface_refine,compute,0.253861495,1,0,0,0,0,0,0,7981,0,0,0,0,0,0,1,0,0,0,0
1,cn10242,refined_surface_save,io,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,cn10242,local_volume_mesh,compute,216.968971551,1,0,0,0,0,0,0,141028,0,0,0,0,0,384916,6095898,0,0,0,0
1,cn10242,volume_refine,compute,38.151971744,1,0,0,0,0,0,0,803002,0,0,0,0,0,1,39,0,0,0,0
1,cn10242,refined_volume_save,io,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,cn10242,adjacency_build,compute,0.00290809199998,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
1,cn10242,vertex_numbering_local,compute,0.216087943,1,0,0,0,0,0,0,1697,0,0,0,0,0,0,0,0,0,0,0
1,cn10242,vertex_count_allgather,communication,54.975933528,1,0,0,0,0,0,0,26,0,0,0,0,0,0,59,1,1,4,8
1,cn10242,element_count_allgather,communication,4.93809999398e-05,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,4,8
1,cn10242,vertex_exchange_prepare,compute,7.95609998931e-05,1,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
1,cn10242,vertex_exchange,communication,0.002232585,1,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,1,0,237116
1,cn10242,vertex_exchange_unpack,compute,0.00448426900005,1,0,0,0,0,0,0,933,0,0,0,0,0,0,0,0,0,0,0
1,cn10242,partition_result_io,io,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,cn10242,volume_exchange_pack,compute,8.580436293,2,0,0,0,0,0,0,1284,0,0,0,0,0,0,9,0,0,0,0
1,cn10242,volume_size_exchange,communication,7.54610000513e-05,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,4,4
1,cn10242,volume_payload_prepare,compute,0.000174962000074,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,cn10242,volume_payload_exchange,communication,0.00121249300003,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,1,2525280,2507160
1,cn10242,volume_exchange_unpack,compute,12.236267136,1,0,0,0,0,0,0,303361,0,0,0,0,0,0,12,0,0,0,0
1,cn10242,final_mesh_save,io,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,cn10242,testout_io,io,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,cn10242,final_count_exchange,communication,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,cn10242,quality_evaluation,postprocess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
