algorithm,timing,ranks,partition_seed,successful_repeats,core_median,core_cv,face_pipeline_seconds_median,face_exchange_seconds_median,vertex_wait_seconds_median,compute_imbalance_median,element_imbalance_median,volume_elements_sum_median,face_payload_receive_bytes_median,predicted_actual_correlation_median,compute_wait_correlation_median,cut_before_median,cut_after_median,partition_moves_median,task_count_median,active_workers_median,compute_max_seconds_median,compute_mean_seconds_median,task_cross_node_faces_before_median,task_cross_node_faces_after_median,task_cross_node_faces_limit_median,task_moved_between_nodes_median,task_completion_wait_max_seconds_median,task_dispatch_max_seconds_median,task_geometry_setup_max_seconds_median,task_merge_max_seconds_median,metis_partition_max_seconds_median,task_control_receive_bytes_median,speedup_vs_baseline,speedup_vs_sparse,adoption_rate,skipped_runs,rejection_counts
baseline,natural,4096,41,5,36.69876713000008,0.0038107796222162007,3.247533945999976,3.1291362460001437,,1.2943823843040325,1.8439787003630983,3718962176,19900160280,,,0,0,0,16384,4095,27.824146147999954,21.49338942201661,25319,25319,27850,0,21.138425446999918,1.285519301000022,0.4992008159999841,0.02068940700019084,3.0274347649997253,1342914508,1.0,0.9223900530796916,0.0,0,"{""error_or_net_gain"": 0, ""feature_range"": 0, ""max_closure"": 0, ""no_moves"": 0, ""nominal_gain"": 0, ""total_closure"": 0}"
baseline,natural,8192,41,5,28.419203648999996,0.016598884409356033,6.422926416999985,6.304622084000016,,1.5708949425540888,2.0233013996644638,3718962176,39805180184,,,0,0,0,16384,8191,16.860099786999967,10.732799075403124,31046,31046,34150,0,13.886510941999973,1.7363448019998486,0.4951516940000147,0.015518036999992546,3.0568029139999453,2685304780,1.0,0.8042093219175925,0.0,0,"{""error_or_net_gain"": 0, ""feature_range"": 0, ""max_closure"": 0, ""no_moves"": 0, ""nominal_gain"": 0, ""total_closure"": 0}"
baseline,split,1024,41,5,105.72765820399991,0.0026675430618372494,0.8738835020001261,0.7349272510000446,6.21032008200018,2.393633733665471,1.2139526444057063,3718962176,4971395352,,0.03491498108092902,0,0,0,16384,1023,94.80268368600082,39.60498941303816,15206,15206,16726,0,67.51192129100014,0.43229263499961235,0.4523045060000186,0.03819970699987607,2.982861515999957,336121804,1.0,0.9958616063343062,0.0,0,"{""error_or_net_gain"": 0, ""feature_range"": 0, ""max_closure"": 0, ""no_moves"": 0, ""nominal_gain"": 0, ""total_closure"": 0}"
baseline,split,2048,41,5,58.49175329000002,0.00555422999319581,1.6765322920000472,1.5467422950000582,4.071575134000341,1.1850260207984726,1.3731156377321543,3718962176,9947650328,,-0.1524486996767211,0,0,0,16384,2047,50.34678934499982,42.507884890104535,19938,19938,21931,0,35.49188839499993,0.8000938840002618,0.44007292299988876,0.016986315999929502,2.9894118780000554,671719372,1.0,0.9829220181510478,0.0,0,"{""error_or_net_gain"": 0, ""feature_range"": 0, ""max_closure"": 0, ""no_moves"": 0, ""nominal_gain"": 0, ""total_closure"": 0}"
baseline,split,4096,41,5,36.706511901,0.007723012783171838,3.3002104869999584,3.150603343999933,4.496760571999857,1.2984142988275822,1.8439787003630983,3718962176,19900160280,,-0.11284519198015544,0,0,0,16384,4095,27.901572566999675,21.49197621502784,25319,25319,27850,0,21.112366103,1.2986322889997837,0.4691517619999104,0.027173188999995546,3.023667684999964,1342914508,1.0,0.9265663950508355,0.0,0,"{""error_or_net_gain"": 0, ""feature_range"": 0, ""max_closure"": 0, ""no_moves"": 0, ""nominal_gain"": 0, ""total_closure"": 0}"
baseline,split,8192,41,5,28.64528600099993,0.007518353591213222,6.488836526000114,6.335249191999992,7.059761570999854,1.5746879652521,2.0233013996644638,3718962176,39805180184,,-0.024751990555413536,0,0,0,16384,8191,16.894937918000323,10.733614861195825,31046,31046,34150,0,14.165054650999991,1.6054682730000422,0.49538478400006625,0.008200969999961671,3.058543061999899,2685304780,1.0,0.7859640405131256,0.0,0,"{""error_or_net_gain"": 0, ""feature_range"": 0, ""max_closure"": 0, ""no_moves"": 0, ""nominal_gain"": 0, ""total_closure"": 0}"
combined,natural,1024,41,5,112.29485359299997,0.0285747645009681,0.32251382100002957,0.25412590899986753,,2.4343960028266767,2.138338602989868,3718962176,31053568,,,0,0,0,16384,1023,96.20864589700005,39.509684000519066,15206,16726,16726,779,81.26596522800003,0.13984922100001995,0.43603476199996294,0.06048995400010426,2.9568408239999826,336121804,0.9407969671602617,0.9342551968164271,0.0,0,"{""error_or_net_gain"": 0, ""feature_range"": 0, ""max_closure"": 0, ""no_moves"": 0, ""nominal_gain"": 0, ""total_closure"": 0}"
combined,natural,2048,41,5,69.84597690500004,0.03853225871427127,0.3110729709997031,0.25900448300004086,,1.4470596639864368,1.5459533966499799,3718962176,44312072,,,0,0,0,16384,2047,61.72993916700011,42.65736189046507,19938,21931,21931,1587,51.306042333999926,0.1480399529996248,0.47872851400006766,0.024235276000013073,2.971018799000035,671719372,0.8352228541573143,0.8233233983857848,0.0,0,"{""error_or_net_gain"": 0, ""feature_range"": 0, ""max_closure"": 0, ""no_moves"": 0, ""nominal_gain"": 0, ""total_closure"": 0}"
combined,natural,4096,41,5,44.800368837000406,0.05232119602119961,0.41705399100010254,0.31059595799996487,,1.7516937774319754,2.1530002073352628,3718962176,65229136,,,0,0,0,16384,4095,37.72407978499973,21.52165460617802,25319,27850,27850,2739,30.538695852000046,0.1975623150001411,0.4804139809999697,0.018400015000224812,3.037637408000137,1342914508,0.8191621650152743,0.7555870328693138,0.0,0,"{""error_or_net_gain"": 0, ""feature_range"": 0, ""max_closure"": 0, ""no_moves"": 0, ""nominal_gain"": 0, ""total_closure"": 0}"
combined,natural,8192,41,5,20.831547863000083,0.07839501881818645,0.42776753900034237,0.3579035370000838,,1.3053142262686395,2.4225481641467494,3718962176,97433896,,,0,0,0,16384,8191,13.896734658999776,10.65857108324404,31046,34115,34150,9471,6.876401855999575,0.27995163999958095,0.5091848949999758,0.011117350000063198,3.0839519809999274,2685304780,1.3642386939223425,1.0971334749730293,0.0,0,"{""error_or_net_gain"": 0, ""feature_range"": 0, ""max_closure"": 0, ""no_moves"": 0, ""nominal_gain"": 0, ""total_closure"": 0}"
