algorithm,timing,ranks,partition_seed,repeat,stage,mean_seconds,max_seconds,calls_sum
sparse,natural,4096,-1,3,element_count_allgather,0.0029167107980934137,0.0052895999997417675,4096
sparse,natural,4096,-1,3,face_local_extract,0.17834796998681468,0.19284325599983276,4096
sparse,natural,4096,-1,3,face_map_setup,0.008349960589601135,0.010394327000085468,4096
sparse,natural,4096,-1,3,face_pipeline_total,0.7469742884523903,0.7726086349998695,4096
sparse,natural,4096,-1,3,face_sparse_context,0.016898973894535874,0.1836328220001633,4096
sparse,natural,4096,-1,3,face_sparse_deliver,0.0386447493500941,0.03994984700011628,4096
sparse,natural,4096,-1,3,face_sparse_directory,0.3381378278020053,0.3606783999998697,4096
sparse,natural,4096,-1,3,face_sparse_match,0.16248676997827283,0.23030761800009714,4096
sparse,natural,4096,-1,3,face_sparse_total,0.5572584830471182,0.7244960160001028,4096
sparse,natural,4096,-1,3,local_volume_mesh,5.60477804284692,9.063101103999998,4096
sparse,natural,4096,-1,3,metis_partition,2.511368238323975,2.512602006999714,4096
sparse,natural,4096,-1,3,metis_seed,0.0005041001125488664,2.064794061000157,1
sparse,natural,4096,-1,3,part_face_create,0.011435976665038927,0.034675126999900385,4096
sparse,natural,4096,-1,3,partition_cost_balance,9.555926757776056e-06,0.03914107599985073,1
sparse,natural,4096,-1,3,partition_cost_setup,9.634476757802712e-05,0.3946281679995991,1
sparse,natural,4096,-1,3,partition_distribution,2.5106189738056677,2.5124586060001093,4096
sparse,natural,4096,-1,3,submesh_initialization,0.00013600389086754205,0.0002950429998236359,4096
sparse,natural,4096,-1,3,surface_refine,0.005249564815671071,0.008253304000390926,4096
sparse,natural,4096,-1,3,vertex_count_allgather,3.458155425517338,5.8128516219999256,4096
sparse,natural,4096,-1,3,vertex_exchange,0.011497962097657743,0.046426344999872526,4096
sparse,natural,4096,-1,3,vertex_exchange_prepare,9.589811035026763e-05,0.0007199490000857622,4096
