rank,host,total_wall_seconds,coarse_points,coarse_surface_elements,coarse_volume_elements,facemap_entries,physical_boundary_faces,partition_boundary_faces,local_points_before_adjacency,local_surface_elements_before_adjacency,local_volume_elements_before_adjacency,shared_vertices,adjacent_processes,vertex_send_items,vertex_receive_items,volume_send_items,volume_receive_items,local_points_after_adjacency,local_surface_elements_after_adjacency,local_volume_elements_after_adjacency,peak_rss_mib,hardware_cache_available,process_io_available
0,cn4335,39.508102985,8067,12694,26411,18116,12694,5422,35621,21504,180480,2553,2,2538,16,4936,4953,37651,21504,185433,464.2890625,0,1
1,cn4336,38.77150473,8067,12694,26411,18116,12694,5422,44341,25088,227328,5073,4,3870,1255,9833,9794,48592,25088,237122,253.53515625,0,1
2,cn4337,39.257432231,8067,12694,26411,18116,12694,5422,36893,25600,181760,8449,11,5523,3025,16523,16608,43993,25600,198368,275.078125,0,1
3,cn4338,38.446620196,8067,12694,26411,18116,12694,5422,36179,21504,183744,2041,4,1089,969,3855,3840,37933,21504,187584,279.50390625,0,1
4,cn4339,39.389493634,8067,12694,26411,18116,12694,5422,31247,20480,155840,7328,12,5883,1621,14479,14531,37537,20480,170371,265.671875,0,1
5,cn4340,39.133606502,8067,12694,26411,18116,12694,5422,35469,23552,176384,4001,5,984,3049,7806,7753,38859,23552,184137,272.5234375,0,1
6,cn4341,39.551706214,8067,12694,26411,18116,12694,5422,39659,24576,200000,7800,12,5720,2194,15276,15328,46130,24576,215328,279.3125,0,1
7,cn4342,39.7984235,8067,12694,26411,18116,12694,5422,54325,27648,283264,2841,3,1260,1599,5446,5457,56692,27648,288721,326.3125,0,1
8,cn4343,39.550788235,8067,12694,26411,18116,12694,5422,39219,23040,199744,6577,8,6542,162,12876,12916,44961,23040,212660,278.67578125,0,1
9,cn4344,39.766154596,8067,12694,26411,18116,12694,5422,51609,26624,268544,3081,5,714,2416,5960,5921,54277,26624,274465,322.359375,0,1
10,cn4345,39.070728075,8067,12694,26411,18116,12694,5422,24825,16896,122752,6753,9,5986,913,13515,13430,30587,16896,136182,275.3515625,0,1
11,cn4346,39.260265368,8067,12694,26411,18116,12694,5422,35359,21504,178880,6017,10,2218,3919,11876,11893,40400,21504,190773,272.8046875,0,1
12,cn4347,39.314060183,8067,12694,26411,18116,12694,5422,35135,20480,179136,4737,9,4571,249,9271,9246,39168,20480,188382,272.5703125,0,1
13,cn4348,39.076563557,8067,12694,26411,18116,12694,5422,29045,22016,140032,9495,12,7085,2710,18819,18828,37220,22016,158860,262.6484375,0,1
14,cn4349,39.350194387,8067,12694,26411,18116,12694,5422,36311,26112,177344,9512,13,2205,7450,18807,18871,44445,26112,196215,273.78515625,0,1
15,cn4350,38.80552185,8067,12694,26411,18116,12694,5422,27901,18944,138112,8017,9,3,8016,15995,16022,34717,18944,154134,260.71875,0,1
16,cn4351,39.635463976,8067,12694,26411,18116,12694,5422,42505,23040,219392,1889,2,1891,0,3626,3623,44014,23040,223015,251.1875,0,1
17,cn4352,39.210681825,8067,12694,26411,18116,12694,5422,29933,18944,150272,4016,3,2112,1921,7754,7722,33337,18944,157994,231.55859375,0,1
18,cn4353,39.457521893,8067,12694,26411,18116,12694,5422,34199,19968,174272,2417,3,2438,15,4638,4647,36242,19968,178919,270.87890625,0,1
19,cn4354,39.674372472,8067,12694,26411,18116,12694,5422,44474,28160,223104,7082,8,3592,3631,13649,13601,50635,28160,236705,286.05859375,0,1
20,cn4355,39.914934755,8067,12694,26411,18116,12694,5422,55999,28160,292544,2993,5,2964,32,5721,5662,58580,28160,298206,328.69140625,0,1
21,cn4356,39.832941086,8067,12694,26411,18116,12694,5422,53099,27136,276672,3217,5,1376,1890,6220,6213,55878,27136,282885,300.09375,0,1
22,cn4357,39.428393431,8067,12694,26411,18116,12694,5422,32585,19456,165504,5536,6,3365,2207,10892,10878,37290,19456,176382,274.03125,0,1
23,cn4358,39.565912589,8067,12694,26411,18116,12694,5422,39591,23040,202048,7120,8,3701,3519,13985,14089,45497,23040,216137,285.7421875,0,1
24,cn4359,39.486264685,8067,12694,26411,18116,12694,5422,34379,23552,169920,8775,11,7090,1818,17322,17347,41680,23552,187267,271.3125,0,1
25,cn4360,39.543543158,8067,12694,26411,18116,12694,5422,37783,25088,187968,9392,10,4320,5190,18547,18660,45581,25088,206628,276.4453125,0,1
