rank,host,total_wall_seconds,coarse_points,coarse_surface_elements,coarse_volume_elements,facemap_entries,physical_boundary_faces,partition_boundary_faces,local_points_before_adjacency,local_surface_elements_before_adjacency,local_volume_elements_before_adjacency,shared_vertices,adjacent_processes,vertex_send_items,vertex_receive_items,volume_send_items,volume_receive_items,local_points_after_adjacency,local_surface_elements_after_adjacency,local_volume_elements_after_adjacency,peak_rss_mib,hardware_cache_available,process_io_available
0,cn3344,47.613463812,8067,12694,26411,15125,12694,2431,161733,72192,859520,12193,6,12174,84,23652,23794,172008,72192,883314,379.484375,1,1
1,cn3344,47.545324003,8067,12694,26411,15125,12694,2431,144801,66048,767360,9553,5,5148,4485,18620,18518,152964,66048,785878,371.1171875,1,1
2,cn3344,47.461701525,8067,12694,26411,15125,12694,2431,135157,51712,731648,1241,2,412,831,2315,2315,136246,51712,733963,350.74609375,1,1
3,cn3344,47.640027714,8067,12694,26411,15125,12694,2431,192229,104448,992192,8403,6,3726,4728,16011,15944,199387,104448,1008136,385.0546875,1,1
4,cn3344,47.493727881,8067,12694,26411,15125,12694,2431,121017,56320,639488,10728,4,10683,65,20902,20936,130116,56320,660424,351.296875,1,1
5,cn3344,47.561571305,8067,12694,26411,15125,12694,2431,155381,79872,809600,8321,5,4657,3714,15990,15950,162272,79872,825550,374.6640625,1,1
6,cn3344,47.602250839,8067,12694,26411,15125,12694,2431,152307,72192,803008,13688,5,3278,10441,26574,26571,163752,72192,829579,374.453125,1,1
7,cn3344,47.640018914,8067,12694,26411,15125,12694,2431,181304,97792,936896,9202,5,1513,7706,17517,17516,189078,97792,954412,379.3984375,1,1
8,cn3344,47.577760545,8067,12694,26411,15125,12694,2431,145325,73216,759552,12961,5,13019,53,25463,25444,156105,73216,784996,373.46484375,1,1
9,cn3344,47.584327614,8067,12694,26411,15125,12694,2431,172751,95744,889152,7337,3,3916,3455,14339,14262,178890,95744,903414,376.75390625,1,1
10,cn3344,47.508364301,8067,12694,26411,15125,12694,2431,128071,67072,665280,10338,5,6746,3625,20236,20294,136685,67072,685574,371.05859375,1,1
11,cn3344,47.516188487,8067,12694,26411,15125,12694,2431,166453,49664,925952,3441,1,0,3441,6778,6802,169148,49664,932754,354.12890625,1,1
12,cn3344,47.602712266,8067,12694,26411,15125,12694,2431,172240,86528,900160,8778,5,5534,3280,16735,16739,179599,86528,916899,374.94921875,1,1
13,cn3344,47.464671185,8067,12694,26411,15125,12694,2431,109881,51712,579712,9024,5,4600,4473,17653,17538,117672,51712,597250,350.828125,1,1
14,cn3344,47.574205797,8067,12694,26411,15125,12694,2431,149713,71168,788992,13049,5,3187,9896,25619,25726,160567,71168,814718,371.97265625,1,1
15,cn3344,47.518195734,8067,12694,26411,15125,12694,2431,144149,74752,749952,6641,4,0,6641,12932,12963,149639,74752,762915,371.71875,1,1
16,cn3345,47.603723274,8067,12694,26411,15125,12694,2431,96975,48640,507072,13736,6,13589,187,27251,27177,108335,48640,534249,366.84765625,1,1
17,cn3345,47.460213817,8067,12694,26411,15125,12694,2431,100697,46592,532480,11081,4,7356,3896,21915,21949,109928,46592,554429,349.0703125,1,1
18,cn3345,47.484594122,8067,12694,26411,15125,12694,2431,104903,54784,545216,12913,6,7752,5294,25362,25358,115746,54784,570574,351.25,1,1
19,cn3345,47.524074924,8067,12694,26411,15125,12694,2431,129382,73728,662528,11514,6,6414,5164,22632,22451,138918,73728,684979,370.890625,1,1
20,cn3345,47.586996159,8067,12694,26411,15125,12694,2431,173571,88576,905536,9609,6,4545,5161,18795,18866,181585,88576,924402,378,1,1
21,cn3345,47.523951422,8067,12694,26411,15125,12694,2431,146405,73216,765952,10017,6,3454,6578,19596,19677,154547,73216,785629,372.015625,1,1
22,cn3345,47.585908646,8067,12694,26411,15125,12694,2431,159309,79872,833280,10153,6,3956,6232,19894,19926,167585,79872,853206,375.484375,1,1
23,cn3345,47.520936567,8067,12694,26411,15125,12694,2431,137021,64512,722944,8601,6,0,8601,16857,16808,144374,64512,739752,353.0859375,1,1
24,cn3345,47.542180455,8067,12694,26411,15125,12694,2431,130433,69632,675328,14920,7,14836,125,29162,29216,142843,69632,704544,370.703125,1,1
25,cn3345,47.499809259,8067,12694,26411,15125,12694,2431,141689,66048,748800,6081,4,4076,2099,11870,11834,146884,66048,760634,371.1796875,1,1
26,cn3345,47.584797913,8067,12694,26411,15125,12694,2431,170049,81408,895360,7626,3,2647,5010,14734,14716,176269,81408,910076,374.42578125,1,1
27,cn3345,47.56225719,8067,12694,26411,15125,12694,2431,167980,77824,888128,4882,4,1272,3658,9258,9257,172214,77824,897385,373.84375,1,1
28,cn3345,47.592436323,8067,12694,26411,15125,12694,2431,170885,77824,905856,9369,5,5310,4139,18324,18385,178638,77824,924241,374.80078125,1,1
29,cn3345,47.535185754,8067,12694,26411,15125,12694,2431,148829,72192,782208,8721,5,2675,6080,17072,17054,155972,72192,799262,373.64453125,1,1
30,cn3345,47.516945161,8067,12694,26411,15125,12694,2431,145873,68096,770560,9777,4,4601,5225,19182,19039,154041,68096,789599,374.1171875,1,1
31,cn3345,47.462321782,8067,12694,26411,15125,12694,2431,101627,53248,527680,14792,6,0,14792,29125,29348,113774,53248,557028,350.98828125,1,1
32,cn3346,47.561125117,8067,12694,26411,15125,12694,2431,139795,75776,722112,13065,4,7531,5568,25690,25754,150600,75776,747866,377.328125,1,1
33,cn3346,47.527421866,8067,12694,26411,15125,12694,2431,158717,74240,838144,8073,4,2944,5178,15850,15796,165460,74240,853940,374.54296875,1,1
34,cn3346,47.553386513,8067,12694,26411,15125,12694,2431,153949,74240,809600,12520,6,7229,5343,24661,24721,164272,74240,834321,374.97265625,1,1
35,cn3346,47.535827978,8067,12694,26411,15125,12694,2431,156169,76288,819840,10425,5,5834,4685,20433,20438,164870,76288,840278,374.5546875,1,1
36,cn3346,47.506122482,8067,12694,26411,15125,12694,2431,102675,57344,528064,17744,7,14175,3838,35100,35215,117103,57344,563279,353.265625,1,1
37,cn3346,47.442425229,8067,12694,26411,15125,12694,2431,121451,66048,627008,8857,3,3324,5551,17443,17353,128790,66048,644361,371.1171875,1,1
38,cn3346,47.546534462,8067,12694,26411,15125,12694,2431,125387,67072,649280,12897,5,10182,2771,25324,25378,135988,67072,674658,370.8984375,1,1
