algorithm	timing	repeat	exit_code	directory	partition_seed
baseline	natural	0	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260909-124223/p4096/baseline_seed41_natural/repeat_0	41
balance	natural	0	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260909-124223/p4096/balance_seed41_natural/repeat_0	41
sparse	natural	0	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260909-124223/p4096/sparse_seed41_natural/repeat_0	41
combined	natural	0	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260909-124223/p4096/combined_seed41_natural/repeat_0	41
baseline	split	0	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260909-124223/p4096/baseline_seed41_split/repeat_0	41
balance	split	0	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260909-124223/p4096/balance_seed41_split/repeat_0	41
sparse	split	0	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260909-124223/p4096/sparse_seed41_split/repeat_0	41
combined	split	0	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260909-124223/p4096/combined_seed41_split/repeat_0	41
balance	natural	1	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260909-124223/p4096/balance_seed41_natural/repeat_1	41
sparse	natural	1	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260909-124223/p4096/sparse_seed41_natural/repeat_1	41
combined	natural	1	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260909-124223/p4096/combined_seed41_natural/repeat_1	41
baseline	natural	1	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260909-124223/p4096/baseline_seed41_natural/repeat_1	41
balance	split	1	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260909-124223/p4096/balance_seed41_split/repeat_1	41
sparse	split	1	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260909-124223/p4096/sparse_seed41_split/repeat_1	41
combined	split	1	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260909-124223/p4096/combined_seed41_split/repeat_1	41
baseline	split	1	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260909-124223/p4096/baseline_seed41_split/repeat_1	41
sparse	natural	2	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260909-124223/p4096/sparse_seed41_natural/repeat_2	41
combined	natural	2	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260909-124223/p4096/combined_seed41_natural/repeat_2	41
baseline	natural	2	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260909-124223/p4096/baseline_seed41_natural/repeat_2	41
balance	natural	2	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260909-124223/p4096/balance_seed41_natural/repeat_2	41
sparse	split	2	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260909-124223/p4096/sparse_seed41_split/repeat_2	41
combined	split	2	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260909-124223/p4096/combined_seed41_split/repeat_2	41
baseline	split	2	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260909-124223/p4096/baseline_seed41_split/repeat_2	41
balance	split	2	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260909-124223/p4096/balance_seed41_split/repeat_2	41
combined	natural	3	0	/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/mesh_algorithms_20260909-124223/p4096/combined_seed41_natural/repeat_3	41
