experiment,processes,repetitions,core_only,total_wall_max_s,speedup,ideal_speedup,parallel_efficiency_percent,total_time_cv_percent,profile_coverage_percent,unprofiled_max_s,communication_fraction_max_percent,arrival_wait_fraction_max_percent,communication_plus_wait_fraction_max_percent,communication_max_s,synchronization_max_s,io_fraction_max_percent,io_max_s,io_valid_repetitions,io_counter_available_ranks,cache_valid_repetitions,cache_available_ranks,cache_miss_rate_percent,ipc,minor_faults_total,major_faults_total,logical_read_total_bytes,logical_write_total_bytes,physical_read_total_bytes,physical_write_total_bytes,peak_rss_max_mib,local_volume_elements_avg,local_volume_elements_max,volume_imbalance_max_over_avg,setup_max_s,compute_max_s,postprocess_max_s
core_cache,1,6,1,720.9145731755,1.0,1.0,100.0,0.3005956315081653,99.2288417669,5.5688909975000005,0.00658048285538,2.5024331637350002e-06,0.00658282493763,0.047519005000199996,1.80100000193e-05,0.243556304964,1.7528492,6,1.0,6,1.0,2.892243296525,0.618902372999,3815186.5,0.0,1035184.0,0.0,667648.0,0.0,12560.5664062,46570944.0,46570944.0,1.0,22.908438288,690.6119911705,0.0
core_cache,8,6,1,118.34111388150001,6.0918352847124835,8.0,76.14794105890604,1.3950406194337908,98.8777070612,1.7873193029999999,0.7335962852385001,17.6372847087,17.8288269652,0.8694657105004999,20.810277266,1.501966522165,1.775481279,6,8.0,0,0.0,nan,nan,1942283.5,0.0,8280737.0,0.0,0.0,0.0,1701.96875,6091584.0,8020864.0,1.31671236907,23.709304888,91.03587673850001,0.0
core_cache,16,6,1,82.3170067975,8.757784098600078,16.0,54.73615061625049,0.5479633012428512,98.73354163844999,1.5121043925,0.48075016606849996,22.21119978035,22.688199889750003,0.3963678190005,18.280995863999998,2.186671706515,1.796728453,6,16.0,6,16.0,2.4881682468050004,0.595919215526,2365439.0,0.0,16562881.0,0.0,0.0,0.0,996.931640625,2953740.0,3571520.0,1.20915178723,24.899413586,54.8034127035,0.0
core_cache,32,6,1,58.4853385755,12.326415315948896,32.0,38.5200478623403,0.4855250096755329,98.4975874699,1.3309712745,0.5964536086495,20.3515119072,20.865495466299997,0.3502129945,11.961224992,3.083690865085,1.809462905,6,32.0,6,32.0,2.33636925064,0.6083908621975,3402428.0,0.0,33125761.0,0.0,0.0,0.0,595.5625,1482478.0,1918144.0,1.29387687372,24.998470201499998,31.23819716,0.0
core_cache,64,6,1,46.4516335295,15.519681836757568,64.0,24.2495028699337,1.231658208452804,98.03457446145,1.418271917,0.6078894043635,15.685016756949999,15.956373001349998,0.2863932000005,7.3402516865,3.9087746052299996,1.81900661,6,64.0,6,64.0,2.279761178495,0.6048465481375,5659984.5,0.0,66251521.0,0.0,0.0,0.0,531.458984375,754856.0,1099584.0,1.45668047946,25.1769568215,19.036633839,0.0
core_cache,128,6,1,40.6769148175,17.72294129016266,128.0,13.846047882939578,1.5683489978394654,98.19378696545,1.2703957154999999,0.5317268969635001,13.699701948000001,14.302489836100001,0.2156297799995,5.671210197000001,4.517500877830001,1.8399570920000001,6,128.0,6,128.0,2.238161329865,0.6025260045165,9976195.5,0.0,132503041.0,0.0,0.0,0.0,357.640625,383532.0,585152.0,1.5256927714,25.086898228000003,13.540126585,0.0
core_cache,256,6,1,37.274763724500005,19.340553799450547,256.0,7.55490382791037,0.6592245203852546,97.77034437035,1.5147932665,0.410028353252,10.314990202250002,10.72558204185,0.15264632849999998,3.8478788780000004,4.980829645955,1.8547224395000002,6,256.0,6,256.0,2.1781693045050003,0.6017661821165,17203434.5,0.0,265006081.0,0.0,0.0,0.0,264.80859375,196490.0,292544.0,1.48884930531,25.0954756895,10.0822138345,0.0
