rank,host,total_wall_seconds,coarse_points,coarse_surface_elements,coarse_volume_elements,facemap_entries,physical_boundary_faces,partition_boundary_faces,local_points_before_adjacency,local_surface_elements_before_adjacency,local_volume_elements_before_adjacency,shared_vertices,adjacent_processes,vertex_send_items,vertex_receive_items,volume_send_items,volume_receive_items,local_points_after_adjacency,local_surface_elements_after_adjacency,local_volume_elements_after_adjacency,peak_rss_mib,hardware_cache_available,process_io_available
0,cn2408,89.436372581,8067,12694,26411,14320,12694,1626,264125,116224,1406592,11841,4,11773,108,23308,23279,274025,116224,1429871,822.0234375,0,1
1,cn2409,86.615241941,8067,12694,26411,14320,12694,1626,299818,157184,1557504,14682,5,9842,4998,28694,28657,311944,157184,1586161,872.46875,0,1
2,cn2410,87.140243178,8067,12694,26411,14320,12694,1626,307855,147968,1620032,11553,3,4920,6681,22812,22766,317264,147968,1642798,884.4765625,0,1
3,cn2411,87.38138404,8067,12694,26411,14320,12694,1626,317077,137216,1691776,12346,5,6204,6160,23946,24040,327519,137216,1715816,905.2265625,0,1
4,cn2412,87.532294259,8067,12694,26411,14320,12694,1626,238497,123392,1241344,15337,4,15338,65,30379,30294,251102,123392,1271638,747.74609375,0,1
5,cn2413,87.530326071,8067,12694,26411,14320,12694,1626,236229,115712,1239680,18929,3,11186,7808,37346,37365,251620,115712,1277045,745.94140625,0,1
6,cn2414,84.339195501,8067,12694,26411,14320,12694,1626,201973,88576,1075968,17632,4,9406,8226,34737,34842,216458,88576,1110810,699.4140625,0,1
7,cn2415,84.941089759,8067,12694,26411,14320,12694,1626,234985,121344,1223552,21945,4,0,21945,43360,43302,252933,121344,1266854,742.91796875,0,1
8,cn2416,89.128338914,8067,12694,26411,14320,12694,1626,250959,128000,1309248,13985,4,13984,50,27508,27446,262566,128000,1336694,765.85546875,0,1
9,cn2417,91.230704362,8067,12694,26411,14320,12694,1626,359023,154112,1918144,13593,4,6767,6878,26659,26667,370141,154112,1944811,966.15625,0,1
10,cn2418,88.905050425,8067,12694,26411,14320,12694,1626,285629,127488,1518208,11970,5,2206,9811,23199,23259,295619,127488,1541467,822.39453125,0,1
11,cn2419,87.553912513,8067,12694,26411,14320,12694,1626,252771,102400,1359680,6233,2,0,6233,12155,12146,257977,102400,1371826,773.6484375,0,1
12,cn2420,90.150408161,8067,12694,26411,14320,12694,1626,303629,122880,1633536,12089,4,12117,51,23487,23427,314019,122880,1656963,858.015625,0,1
13,cn2421,90.844743626,8067,12694,26411,14320,12694,1626,346359,160768,1831360,14457,5,7844,6668,28139,28141,358308,160768,1859501,944.6875,0,1
14,cn2422,88.517078104,8067,12694,26411,14320,12694,1626,255255,133632,1326016,11169,4,3503,7682,21667,21737,264462,133632,1347753,803.828125,0,1
15,cn2423,89.738423753,8067,12694,26411,14320,12694,1626,316789,136192,1691904,10673,4,0,10673,20634,20664,325565,136192,1712568,901.13671875,0,1
16,cn2424,88.996491487,8067,12694,26411,14320,12694,1626,287761,124416,1535872,17017,6,13665,3462,33471,33443,301879,124416,1569315,826.07421875,0,1
17,cn2425,86.264669775,8067,12694,26411,14320,12694,1626,283629,139776,1487104,18449,6,7727,10758,36270,36275,298790,139776,1523379,848.90234375,0,1
18,cn2426,85.979955941,8067,12694,26411,14320,12694,1626,282623,123392,1506624,8377,5,6344,2130,16268,16268,289597,123392,1522892,817.06640625,0,1
19,cn2427,85.84625437,8067,12694,26411,14320,12694,1626,276724,110080,1491264,4234,3,0,4234,7986,7955,280316,110080,1499219,815.6640625,0,1
20,cn2428,88.551178759,8067,12694,26411,14320,12694,1626,269887,116224,1441088,18008,5,10749,7375,35508,35562,284844,116224,1476650,805.9296875,0,1
21,cn2429,88.091128666,8067,12694,26411,14320,12694,1626,278670,130560,1471488,15466,5,2736,12778,30329,30252,291564,130560,1501740,810.2734375,0,1
22,cn2430,89.438983977,8067,12694,26411,14320,12694,1626,316939,144896,1679296,14746,5,8107,6673,28613,28740,329043,144896,1708036,906.37890625,0,1
23,cn2431,89.388774797,8067,12694,26411,14320,12694,1626,316421,139776,1683968,10642,3,5230,5447,20659,20626,325349,139776,1704594,908.96875,0,1
24,cn2432,87.850638324,8067,12694,26411,14320,12694,1626,228675,103936,1212736,14961,5,14886,111,29526,29611,240885,103936,1242347,738.30859375,0,1
25,cn2433,87.227949295,8067,12694,26411,14320,12694,1626,261595,120832,1383872,14705,4,8049,6769,29090,28958,273822,120832,1412830,784.0390625,0,1
26,cn2434,90.082480156,8067,12694,26411,14320,12694,1626,345600,149504,1844416,10610,5,3736,6950,20684,20653,354435,149504,1865069,945.1875,0,1
27,cn2435,87.653746696,8067,12694,26411,14320,12694,1626,268769,121344,1426560,10561,5,0,10561,20729,20680,277620,121344,1447240,795.421875,0,1
28,cn2436,87.683234082,8067,12694,26411,14320,12694,1626,276795,129024,1462848,15658,3,14737,937,30847,30823,289685,129024,1493671,809.00390625,0,1
29,cn2437,85.825388812,8067,12694,26411,14320,12694,1626,211533,98304,1118336,17841,3,0,17841,35195,35272,225808,98304,1153608,710.17578125,0,1
30,cn2438,87.341189536,8067,12694,26411,14320,12694,1626,260987,131072,1364928,13642,4,4388,9284,26586,26662,272271,131072,1391590,780.61328125,0,1
31,cn2439,88.347727942,8067,12694,26411,14320,12694,1626,312829,125952,1684352,6097,3,0,6097,11882,11861,317947,125952,1696213,865.015625,0,1
