stage,category,time_min_s,time_avg_s,time_max_s,max_over_avg,max_percent_of_total,cache_references_total,cache_misses_total,cache_miss_rate_percent,instructions_total,cycles_total,ipc,minor_faults_total,major_faults_total,rchar_total_bytes,wchar_total_bytes,physical_read_total_bytes,physical_write_total_bytes,send_messages_total,receive_messages_total,send_total_bytes,receive_total_bytes,send_max_rank_bytes,receive_max_rank_bytes
geometry_load,io,1.706170569,1.75188304416,2.071832562,1.18263177951,2.27098165742,0,0,0,0,0,0,190798,0,33122945,0,0,0,0,0,0,0,0,0
coarse_local_size,setup,0.445936332,0.463899433,0.513732647,1.10742245076,0.563113757142,0,0,0,0,0,0,286030,0,0,0,0,0,0,0,0,0,0,0
coarse_edge_mesh,setup,0.0121448579999,0.0126046650312,0.012831623,1.0180058707,0.0140650267799,0,0,0,0,0,0,16433,0,0,0,0,0,0,0,0,0,0,0
coarse_surface_mesh,setup,8.003404611,8.24633485137,8.911616225,1.08067600766,9.76822034568,0,0,0,0,0,0,530373,0,0,0,0,0,0,0,0,0,0,0
coarse_volume_mesh,setup,13.172855476,13.3809929719,13.707599706,1.0244082584,15.0252042904,0,0,0,0,0,0,987829,0,0,0,0,0,0,0,0,0,0,0
coarse_mesh_save,io,0,0.00919184009375,0.294138883,32,0.322412158338,0,0,0,0,0,0,1139,0,106,3191042,106496,3194880,0,0,0,0,0,0
submesh_initialization,setup,0.000112661999992,0.000127405999997,0.000157602000058,1.23700610695,0.000172751050384,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0
metis_partition,compute,0.132196401,0.142544040656,0.178170243,1.24993119446,0.195296358004,0,0,0,0,0,0,20223,0,0,0,0,0,0,0,0,0,0,0
face_map_setup,compute,0.00671590800005,0.007403835125,0.00855718999992,1.15577803334,0.00937972589356,0,0,0,0,0,0,8415,0,0,0,0,0,0,0,0,0,0,0
face_local_extract,compute,0.152266292,0.159751069781,0.164939609,1.03247890124,0.18079396641,0,0,0,0,0,0,21456,0,0,0,0,0,0,0,0,0,0,0
face_pre_collective_wait,synchronization,3.78610000098e-05,0.0387050293125,0.056814379,1.46788104826,0.0622755018689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
face_collective_setup,compute,0.000108640999997,0.000116720093754,0.000129841999978,1.11242199867,0.000142322698138,0,0,0,0,0,0,504,0,0,0,0,0,0,0,0,0,0,0
