experiment,processes,repetitions,stage,category,time_avg_s,time_max_s,max_over_avg,max_percent_of_total,cache_valid_repetitions,cache_miss_rate_percent,ipc,io_valid_repetitions,minor_faults_total,major_faults_total,logical_read_total_bytes,logical_write_total_bytes,physical_read_total_bytes,physical_write_total_bytes,send_messages_total,receive_messages_total,send_total_bytes,receive_total_bytes,send_max_rank_bytes,receive_max_rank_bytes
strong_scaling_full_io_l2_r2_20260811-160928,1,3,quality_evaluation,postprocess,169.054633849,169.054633849,1.0,9.86602881785,0,nan,nan,3,1143027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_full_io_l2_r2_20260811-160928,1,3,refined_surface_save,io,0.870857181,0.870857181,1.0,0.0508232270738,0,nan,nan,3,0.0,0.0,120.0,13660306.0,0.0,13664256.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_full_io_l2_r2_20260811-160928,1,3,refined_volume_save,io,115.193375416,115.193375416,1.0,6.73215664687,0,nan,nan,3,892.0,0.0,122.0,2386225683.0,0.0,2386235392.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_full_io_l2_r2_20260811-160928,1,3,submesh_initialization,setup,0.000128680999751,0.000128680999751,1.0,7.55067678909e-06,0,nan,nan,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_full_io_l2_r2_20260811-160928,1,3,surface_refine,compute,0.524614053,0.524614053,1.0,0.030669218842,0,nan,nan,3,12414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_full_io_l2_r2_20260811-160928,1,3,testout_io,io,0.034863844,0.034863844,1.0,0.00202435882522,0,nan,nan,3,53.0,0.0,390.0,505.0,532480.0,8192.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_full_io_l2_r2_20260811-160928,1,3,vertex_count_allgather,communication,0.00010458099996,0.00010458099996,1.0,6.10334739669e-06,0,nan,nan,3,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,4.0,4.0
strong_scaling_full_io_l2_r2_20260811-160928,1,3,vertex_exchange,communication,4.79999926029e-07,4.79999926029e-07,1.0,2.787106742e-08,0,nan,nan,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_full_io_l2_r2_20260811-160928,1,3,vertex_exchange_prepare,compute,1.39999997373e-06,1.39999997373e-06,1.0,8.12905858034e-08,0,nan,nan,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_full_io_l2_r2_20260811-160928,1,3,vertex_exchange_unpack,compute,1.54000008479e-06,1.54000008479e-06,1.0,8.9419650985e-08,0,nan,nan,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_full_io_l2_r2_20260811-160928,1,3,vertex_numbering_local,compute,0.319924604,0.319924604,1.0,0.0186029193008,0,nan,nan,3,9113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_full_io_l2_r2_20260811-160928,1,3,volume_exchange_pack,compute,3.390290268,3.390290268,1.0,0.19893368939,0,nan,nan,3,1131371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_full_io_l2_r2_20260811-160928,1,3,volume_exchange_unpack,compute,27.353758881,27.353758881,1.0,1.58828794649,0,nan,nan,3,526803.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_full_io_l2_r2_20260811-160928,1,3,volume_payload_exchange,communication,0.000643646999833,0.000643646999833,1.0,3.75632403815e-05,0,nan,nan,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_full_io_l2_r2_20260811-160928,1,3,volume_payload_prepare,compute,2.00000158657e-07,2.00000158657e-07,1.0,1.16129502593e-08,0,nan,nan,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_full_io_l2_r2_20260811-160928,1,3,volume_refine,compute,67.578098806,67.578098806,1.0,3.92390238751,0,nan,nan,3,2936314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_full_io_l2_r2_20260811-160928,1,3,volume_size_exchange,communication,0.000801507999995,0.000801507999995,1.0,4.67760087118e-05,0,nan,nan,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_full_io_l2_r2_20260811-160928,2,3,adjacency_build,compute,0.00286134649991,0.00289089700004,1.00546263788,0.00029202973829,0,nan,nan,3,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_full_io_l2_r2_20260811-160928,2,3,coarse_edge_mesh,setup,0.0137096335001,0.0150583710001,1.0943839711,0.00151844115712,0,nan,nan,3,1004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_full_io_l2_r2_20260811-160928,2,3,coarse_local_size,setup,0.4881718975,0.501523552,1.02735031363,0.0510172584473,0,nan,nan,3,15824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_full_io_l2_r2_20260811-160928,2,3,coarse_mesh_save,io,0.1414351215,0.282870243,2.0,0.028774848632,0,nan,nan,3,552.0,0.0,106.0,3191042.0,0.0,3194880.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_full_io_l2_r2_20260811-160928,2,3,coarse_surface_mesh,setup,8.535590766,8.711296148,1.01600347863,0.886152694567,0,nan,nan,3,34463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_full_io_l2_r2_20260811-160928,2,3,coarse_volume_mesh,setup,14.274565274,14.341550692,1.00676213217,1.45605841657,0,nan,nan,3,53732.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_full_io_l2_r2_20260811-160928,2,3,element_count_allgather,communication,0.00252626149995,0.00500496299992,1.981178681,0.000504685520691,0,nan,nan,3,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,16.0,4.0,8.0
strong_scaling_full_io_l2_r2_20260811-160928,2,3,face_allgatherv,communication,0.049224523,0.0492315840002,1.00014344476,0.00500806080729,0,nan,nan,3,1611.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4859624.0,9719248.0,2429904.0,4859624.0
strong_scaling_full_io_l2_r2_20260811-160928,2,3,face_collective_setup,compute,0.000149442000065,0.000152221999997,1.00521941732,1.53496118414e-05,0,nan,nan,3,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_full_io_l2_r2_20260811-160928,2,3,face_global_merge,compute,0.07736639,0.0795368270001,1.0019055419,0.00805892758246,0,nan,nan,3,382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_full_io_l2_r2_20260811-160928,2,3,face_local_extract,compute,0.1702448565,0.173443473,1.01116804665,0.0175888759014,0,nan,nan,3,1561.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_full_io_l2_r2_20260811-160928,2,3,face_map_setup,compute,0.00715008049997,0.00741395399996,1.01748952336,0.000747600978251,0,nan,nan,3,406.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_full_io_l2_r2_20260811-160928,2,3,face_pre_collective_wait,synchronization,0.00430318450003,0.00857990900022,1.99385106545,0.000872787395872,0,nan,nan,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_full_io_l2_r2_20260811-160928,2,3,final_count_exchange,communication,9.8449210105,19.6897794,1.99999363926,1.98545854763,0,nan,nan,3,36.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,4.0,4.0
strong_scaling_full_io_l2_r2_20260811-160928,2,3,final_mesh_save,io,66.8802263765,75.318070577,1.12616351136,7.59484928604,0,nan,nan,3,126202.0,0.0,257.0,2725667613.0,131072.0,2725683200.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_full_io_l2_r2_20260811-160928,2,3,geometry_load,io,1.8724984345,1.945376418,1.03892018394,0.197892543827,0,nan,nan,3,13398.0,0.0,2070191.0,0.0,1007616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_full_io_l2_r2_20260811-160928,2,3,local_volume_mesh,compute,253.457611309,282.137947793,1.1145348839,28.4403512446,0,nan,nan,3,199749.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_full_io_l2_r2_20260811-160928,2,3,metis_partition,compute,0.117562679,0.126621323,1.0412309369,0.012880497306,0,nan,nan,3,514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_full_io_l2_r2_20260811-160928,2,3,part_face_create,compute,0.0315588095,0.0324158889998,1.01519881477,0.00329749177343,0,nan,nan,3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_full_io_l2_r2_20260811-160928,2,3,partition_result_io,io,304.918274262,346.433494852,1.13553696012,34.933318935,0,nan,nan,3,6000857.0,0.0,248.0,3011407845.0,94208.0,3011452928.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_full_io_l2_r2_20260811-160928,2,3,quality_evaluation,postprocess,98.420070312,110.841925442,1.12798119661,11.2121762677,0,nan,nan,3,1235679.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_full_io_l2_r2_20260811-160928,2,3,refined_surface_save,io,0.4304625865,0.435611847,1.02737496084,0.0443124198105,0,nan,nan,3,11.0,0.0,224.0,13799625.0,0.0,13803520.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_full_io_l2_r2_20260811-160928,2,3,refined_volume_save,io,65.229100912,73.151127743,1.1112607264,7.40380130147,0,nan,nan,3,1379.0,0.0,234.0,2722928700.0,0.0,2722942976.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_full_io_l2_r2_20260811-160928,2,3,submesh_initialization,setup,0.000120501500021,0.000123181000049,1.02114669477,1.2417014214e-05,0,nan,nan,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_full_io_l2_r2_20260811-160928,2,3,surface_refine,compute,0.2844952595,0.287091974,1.01671722965,0.0291183618634,0,nan,nan,3,14775.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_full_io_l2_r2_20260811-160928,2,3,testout_io,io,0.010596994,0.0122200750002,1.27061463094,0.00123182020696,0,nan,nan,3,43.0,0.0,643.0,599.0,12288.0,16384.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_full_io_l2_r2_20260811-160928,2,3,vertex_count_allgather,communication,18.0217829205,36.04343708,1.99999285526,3.63451254495,0,nan,nan,3,26.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,16.0,4.0,8.0
strong_scaling_full_io_l2_r2_20260811-160928,2,3,vertex_exchange,communication,0.0184583934999,0.034731019,1.88158406094,0.00350217222553,0,nan,nan,3,92.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,237116.0,237116.0,237116.0,237116.0
strong_scaling_full_io_l2_r2_20260811-160928,2,3,vertex_exchange_prepare,compute,4.86705000071e-05,9.15609999765e-05,1.87380323709,9.22962338109e-06,0,nan,nan,3,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_full_io_l2_r2_20260811-160928,2,3,vertex_exchange_unpack,compute,0.00183312299987,0.00366510599997,1.9993781106,0.000372831264437,0,nan,nan,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_full_io_l2_r2_20260811-160928,2,3,vertex_numbering_local,compute,0.243676147,0.255041128,1.04663969428,0.0257089105485,0,nan,nan,3,51904.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_full_io_l2_r2_20260811-160928,2,3,volume_exchange_pack,compute,8.206998127,9.274773584,1.15460770534,0.937911684601,0,nan,nan,3,462234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_full_io_l2_r2_20260811-160928,2,3,volume_exchange_unpack,compute,10.371774627,11.995461086,1.13062727617,1.20958646931,0,nan,nan,3,246489.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_full_io_l2_r2_20260811-160928,2,3,volume_payload_exchange,communication,0.00983003399983,0.00983960399981,1.04456629865,0.00100092930487,0,nan,nan,3,107.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5032440.0,5032440.0,2525280.0,2525280.0
strong_scaling_full_io_l2_r2_20260811-160928,2,3,volume_payload_prepare,compute,0.000295633499945,0.000296383999967,1.02411230231,2.98763960264e-05,0,nan,nan,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_full_io_l2_r2_20260811-160928,2,3,volume_refine,compute,37.3899526785,40.836911389,1.09260227833,4.11942870731,0,nan,nan,3,2766720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strong_scaling_full_io_l2_r2_20260811-160928,2,3,volume_size_exchange,communication,46.220942606,92.441805551,1.99997088695,9.35864061428,0,nan,nan,3,36.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,8.0,4.0,4.0
