experiment,processes,repeat,timestamp,total_wall_avg_s,total_wall_max_s,unprofiled_avg_s,unprofiled_max_s,profile_coverage_percent,setup_avg_s,setup_max_s,compute_avg_s,compute_max_s,postprocess_avg_s,postprocess_max_s,communication_avg_s,communication_max_s,synchronization_avg_s,synchronization_max_s,communication_fraction_avg_percent,communication_fraction_max_percent,io_avg_s,io_max_s,io_fraction_max_percent,io_counter_available_ranks,cache_available_ranks,cache_references_total,cache_misses_total,cache_miss_rate_percent,instructions_total,cycles_total,ipc,minor_faults_total,major_faults_total,logical_read_total_bytes,logical_write_total_bytes,physical_read_total_bytes,physical_write_total_bytes,peak_rss_avg_mib,peak_rss_max_mib,local_volume_elements_avg,local_volume_elements_max,volume_imbalance_max_over_avg,core_only,source_file
strong_scaling_full_io_l2_r2_20260811-160928,16,2,20260811-161420,141.338866451,143.94656325,3.91132485881,4.530763111,97.2326615056,22.2804439021,22.785623019,42.1926391328,50.946302604,11.7138655684,15.581617199,16.0974363616,37.506188423,0.0185279914375,0.0370091020001,11.4023585711,26.0736839905,45.1246286361,53.717313099,37.3175377628,16,0,0,0,0,0,0,0,4710634,0,16572882,7171146724,61440,7171510272,1477.31713867,1708.22265625,2953740,3571520,1.20915178723,0,/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/strong_scaling_full_io_l2_r2_20260811-160928/p00016/repeat_02_20260811-161420/run_summary.csv
strong_scaling_full_io_l2_r2_20260811-160928,16,3,20260811-161645,140.826574072,143.404613136,3.63763043488,4.124531205,97.4169431737,22.1705496754,22.577109245,41.77776053,50.871945795,11.4903948801,15.269794383,16.6164537922,37.406070811,0.0103383716875,0.019528295,11.8065729238,26.0950730996,45.123446388,53.528369267,37.3268112486,16,0,0,0,0,0,0,0,4863651,0,16572881,7171146724,61440,7171514368,1475.87207031,1710.140625,2953740,3571520,1.20915178723,0,/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/strong_scaling_full_io_l2_r2_20260811-160928/p00016/repeat_03_20260811-161645/run_summary.csv
strong_scaling_full_io_l2_r2_20260811-160928,32,1,20260811-161103,87.9860812438,91.230704362,2.89835862544,3.486010251,96.7058896311,22.1039593273,23.144438739,22.8034339489,29.153540419,5.73474477466,8.142112693,10.9766158293,20.806838796,0.0387050293125,0.056814379,12.5193902295,22.8494579525,23.4302637089,29.67260268,32.5247984081,32,0,0,0,0,0,0,0,6411024,0,33145473,7192540711,237568,7193264128,825.717529297,966.15625,1482478,1918144,1.29387687372,0,/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/strong_scaling_full_io_l2_r2_20260811-160928/p00032/repeat_01_20260811-161103/run_summary.csv
strong_scaling_full_io_l2_r2_20260811-160928,32,2,20260811-161236,87.8386891094,91.301401642,2.55319788469,3.446390774,97.0933105781,22.3079679006,23.047322273,22.7882349295,29.299238605,5.66353418709,7.814321539,11.1185445245,20.57987648,0.0232369234688,0.0432851229999,12.6843667192,22.5711838004,23.3839727596,29.53209075,32.3457145442,32,0,0,0,0,0,0,0,6082405,0,33145438,7192540711,131072,7193260032,826.402954102,968.875,1482478,1918144,1.29387687372,0,/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/strong_scaling_full_io_l2_r2_20260811-160928/p00032/repeat_02_20260811-161236/run_summary.csv
strong_scaling_full_io_l2_r2_20260811-160928,32,3,20260811-161408,87.3849070302,91.085515719,2.54012060359,3.081800251,97.093181546,22.272160491,23.061574718,22.7754390964,28.810325377,5.68465943491,7.696676662,10.7342849932,20.874411197,0.0292284361563,0.0444937990001,12.3173598223,22.9551044751,23.3490139749,30.020402861,32.9584815149,32,0,0,0,0,0,0,0,5886159,0,33145439,7192540711,131072,7193264128,825.616333008,965.9921875,1482478,1918144,1.29387687372,0,/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/strong_scaling_full_io_l2_r2_20260811-160928/p00032/repeat_03_20260811-161408/run_summary.csv
strong_scaling_full_io_l2_r2_20260811-160928,64,1,20260811-161036,61.5331475727,63.679758388,2.23764264427,2.782311471,96.3635166857,22.190000147,23.549164187,13.6695439905,17.678292045,3.08661732544,5.572253762,7.58320051614,14.048019251,0.0690812917812,0.092283176,12.4360318134,22.190939689,12.6970616576,17.210792619,27.0271010046,64,0,0,0,0,0,0,0,8234680,4,66292846,7230370049,130621440,7231827968,503.392944336,699.87890625,754856,1099584,1.45668047946,0,/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/strong_scaling_full_io_l2_r2_20260811-160928/p00064/repeat_01_20260811-161036/run_summary.csv
strong_scaling_full_io_l2_r2_20260811-160928,64,2,20260811-161141,61.1771934342,63.270652143,2.18033588791,2.786001072,96.436031525,22.2085980979,23.407087974,13.6286189583,17.552334529,3.06331650341,5.020875208,7.36714638273,13.794923416,0.0579348569375,0.07689296,12.1370086185,21.8909515121,12.671242747,17.09308914,27.0158257597,64,0,0,0,0,0,0,0,7821789,0,66290326,7230370049,10780672,7231832064,503.0234375,701.6953125,754856,1099584,1.45668047946,0,/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/strong_scaling_full_io_l2_r2_20260811-160928/p00064/repeat_02_20260811-161141/run_summary.csv
strong_scaling_full_io_l2_r2_20260811-160928,64,3,20260811-161246,61.1942300618,63.611036626,1.81669805298,2.36763573,97.0312592361,22.2515963021,23.299434479,13.6678134547,17.892945471,3.07106297303,5.520487529,7.66573737925,14.130346187,0.0598047812813,0.0825955219999,12.624625153,22.3354574153,12.6615171184,17.419135568,27.383825971,64,0,0,0,0,0,0,0,7971864,0,66290282,7230370049,262144,7231819776,503.054016113,701.78125,754856,1099584,1.45668047946,0,/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/strong_scaling_full_io_l2_r2_20260811-160928/p00064/repeat_03_20260811-161246/run_summary.csv
strong_scaling_full_io_l2_r2_20260811-160928,256,1,20260811-194630,53.2082175429,53.87232413,13.5492203161,14.967336827,74.5354741396,22.7830034143,34.243334957,7.76516064173,9.483720299,0.853747450195,1.770461763,2.77933584253,4.712033752,0.10315652577,0.155950896,5.41738194101,8.89350946961,5.37459335232,20.271080663,37.6280047137,256,0,0,0,0,0,0,0,19825973,0,265170746,7578032441,3314053120,7583772672,280.228973389,464.7421875,196490,292544,1.48884930531,0,/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/strong_scaling_full_io_l2_r2_20260811-160928/p00256/repeat_01_20260811-194630/run_summary.csv
strong_scaling_full_io_l2_r2_20260811-160928,256,2,20260811-194712,39.2281658356,39.914934755,1.26068130366,1.561267811,96.7862853722,22.0064219652,23.058809511,7.70234213437,9.466491867,0.839705522535,1.706303083,2.77677873204,4.742906546,0.0336382780703,0.0574749449997,7.16428349437,11.953442082,4.60859789981,5.864734734,14.6930836039,256,0,0,0,0,0,0,0,19141715,0,265158952,7578032441,1048576,7583760384,279.438415527,464.2890625,196490,292544,1.48884930531,0,/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/strong_scaling_full_io_l2_r2_20260811-160928/p00256/repeat_02_20260811-194712/run_summary.csv
strong_scaling_full_io_l2_r2_20260811-160928,256,3,20260811-194758,39.510811484,40.176633547,1.41913620669,1.830552739,96.4082332066,22.0166420217,23.089946364,7.70253323955,9.539563988,0.844138117164,1.744603889,2.83326394679,4.785773105,0.0727296199609,0.0988807859999,7.35493263136,12.0878397472,4.62236833217,5.928608272,14.7563589793,256,0,0,0,0,0,0,0,18609182,0,265158952,7578032441,1048576,7583739904,278.957107544,464.5234375,196490,292544,1.48884930531,0,/vol8/home/hnu_lhz/cjz/NETGEN/test_code_expansion/strong_scaling_results/strong_scaling_full_io_l2_r2_20260811-160928/p00256/repeat_03_20260811-194758/run_summary.csv
